@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,10'

@attribute RI numeric
@attribute Al numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517665,1.29152,72.61,1
1.51566,1.21127,72.7388,1
1.522267,0.78113,71.35,1
1.51967,0.29,72.022,1
1.517779,1.29152,72.9796,1
1.52197,0.89027,71.3612,1
1.519009,1.3493,71.9492,1
1.518485,1.26905,71.9604,2
1.518189,0.55964,74.4524,2
1.51664,1.61894,72.9572,2
1.517096,1.78907,72.722,2
1.516891,1.70882,73.2092,2
1.52664,0.7715,73.2092,2
1.518508,1.07003,72.8284,2
1.518121,1.42955,72.918,2
1.521264,0.82928,71.5012,3
1.516435,1.3493,72.89,3
1.519692,1.65104,73.7524,5
1.519146,1.85969,72.6884,5
1.519169,2.09081,72.7388,6
1.516139,1.78907,73.0972,7
1.515091,2.25131,73.5004,7
1.522472,2.05871,70.258,7
