@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.515888,3.43036,73.282,1
1.518986,3.34954,72.078,1
1.519191,3.57853,72.078,1
1.517756,3.47975,72.9684,1
1.52172,3.8614,71.7924,1
1.517506,3.55159,72.75,1
1.518075,2.86911,72.8396,1
1.516458,3.55159,72.8116,2
1.517073,3.6818,72.0612,2
1.517893,3.90181,72.33,2
1.516139,3.52016,72.8788,2
1.522221,0,72.6716,2
1.517073,3.47975,72.5204,2
1.515911,3.52016,72.862,2
1.531242,0,69.81,2
1.517756,3.40791,72.0388,3
1.516093,3.39893,72.6884,3
1.515137,2.68053,69.8884,5
1.520581,1.61191,72.1788,5
1.519692,0,73.478,6
1.516526,0,75.1804,7
1.516458,0,73.1084,7
1.516093,0,73.0524,7
