@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,6,10'

@attribute RI numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.65935,0.57132,1
1.517847,3.66833,0.60858,1
1.517938,3.5022,0.63963,1
1.517437,3.60098,0.57753,1
1.517528,3.47077,0.60237,1
1.52172,3.74017,0.18009,1
1.517369,3.61894,0.58995,1
1.518713,3.65935,0.57753,2
1.516458,3.60996,0.65826,2
1.515888,3.40791,0.06831,2
1.516526,3.56955,0.63963,2
1.516617,3.51118,0.6831,2
1.518417,3.74017,0.63963,2
1.516731,3.64139,0.65205,2
1.516594,3.17892,0.57753,2
1.516458,3.39893,0.52164,3
1.516708,3.56955,0.5589,3
1.5132,0,6.21,5
1.518531,2.19112,0,6
1.516389,0,0,7
1.523656,1.83192,0.3105,7
1.51623,0,0.08073,7
