@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R2-3,6,10'

@attribute Na numeric
@attribute Mg numeric
@attribute K numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
13.90205,3.73119,0.0621,1
13.72915,3.83895,0.16767,1
12.7915,3.60996,0.63963,1
13.88875,3.52914,0.50922,1
13.3102,3.57853,0.11799,1
12.55875,3.52016,0.57132,1
12.45235,2.71196,0.5589,1
13.01095,3.5022,0.60237,2
11.4482,0,0.8073,2
13.78235,2.28092,0.49059,2
13.3368,3.56955,0.60858,2
13.35675,3.43036,0.50922,2
13.98185,1.35149,0.39123,2
13.0176,3.56057,0.72036,2
13.6427,3.65037,0.0621,3
13.3767,0,0.32913,5
14.0018,2.38868,0,6
14.38085,0,0,7
14.2013,0,0.03726,7
14.95275,0,0,7
