@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R4,7,10'

@attribute Al numeric
@attribute Ca numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
0.79076,10.2452,1
1.35893,7.82948,1
1.33967,8.75484,1
0.87101,9.85236,1
1.27868,8.48584,1
1.27868,9.1422,1
1.26905,8.37824,1
1.25942,8.20608,2
1.60931,8.10924,2
1.55153,8.04468,2
1.16954,10.78848,2
1.24979,8.12,2
1.47128,8.03392,2
1.43918,8.78712,2
1.53869,7.9048,2
0.5789,9.64792,3
1.53869,8.99156,3
1.56116,11.617,5
1.61894,9.26056,6
2.54021,9.4112,7
2.08118,8.61496,7
2.34119,8.94852,7
