@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.526663,13.9885,9.82008,0,1
1.517551,13.39,8.27064,0,1
1.522221,13.21045,10.2452,0,1
1.52172,13.5097,9.54032,0,1
1.522107,13.72915,9.74476,0,1
1.522996,13.3102,10.17516,0,1
1.517825,12.69175,8.75484,0,1
1.517506,12.81145,8.59344,0,1
1.517528,12.57205,8.5504,0,1
1.517847,13.7745,8.48584,0,1
1.519055,13.6028,8.75484,0,1
1.516184,13.52965,7.77568,0,1
1.517506,12.8181,8.51812,0,1
1.518371,13.1373,9.06688,0,1
1.518235,12.8713,8.43204,0,1
1.519009,13.48975,9.00232,0,1
1.515706,12.71835,8.08772,0,1
1.517551,12.99765,8.39976,0,1
1.51787,12.73165,8.75484,0,1
1.519191,14.417,8.30292,0,1
1.517642,12.9777,8.52888,0,1
1.51566,13.29025,8.57192,0,1
1.51869,13.1905,8.83016,0,1
1.517688,12.45235,9.05612,0,1
1.517938,12.7915,8.7656,0,1
1.519761,13.80895,8.66876,0.68985,1
1.517938,13.21045,8.43204,0,1
1.517847,12.67845,8.70104,0,1
1.518986,13.58285,8.90548,0,1
1.517483,12.858,8.37824,0,1
1.512152,12.991,8.34596,0,1
1.517369,12.7782,8.70104,0,1
1.515957,12.7915,8.0662,0,1
1.521515,13.11735,9.82008,0,1
1.518075,13.4299,9.0346,0,1
1.521515,13.05085,9.85236,0,1
1.51762,13.88875,7.82948,0,1
1.52213,14.20795,9.5726,0,1
1.52197,14.3609,9.15296,0,1
1.520991,13.68925,9.40044,0,1
1.51762,12.81145,8.389,0,1
1.52213,14.20795,9.5726,0,1
1.5191,13.90205,8.89472,0,1
1.517961,12.7383,8.67952,0,1
1.517346,13.0176,8.4428,0,1
1.517779,13.21045,9.02384,0,1
1.517688,12.65185,8.69028,0,1
1.517551,13.4831,8.03392,0,1
1.517437,13.2969,8.1738,0,1
1.517756,12.85135,8.56116,0.09135,1
1.51967,14.7732,9.00232,0,1
1.517779,13.21045,8.59344,0,1
1.515888,12.87795,8.04468,0,1
1.517665,13.21045,8.21684,0,1
1.51762,12.79815,8.56116,0,1
1.522267,14.16805,9.69096,0,1
1.517415,13.2703,8.0662,0,1
1.51926,13.19715,9.1422,0,1
1.521014,13.6427,8.75484,0,1
1.517688,12.55875,8.53964,0,1
1.52172,13.4831,9.60488,0,1
1.517209,13.3767,8.43204,0,1
1.5191,13.88875,8.77636,0.11025,1
1.515934,13.09075,7.82948,0,2
1.515957,13.0176,7.9048,0,2
1.518189,12.6186,9.42196,0,2
1.516868,13.2304,8.09848,0,2
1.516321,13.3368,7.89404,0,2
1.516526,13.5629,7.9586,0,2
1.518713,12.93115,8.5504,0,2
1.518462,13.40995,8.2814,0,2
1.52475,11.4482,13.24176,0,2
1.516048,12.8979,8.27064,0,2
1.518417,12.93115,8.95928,0,2
1.517301,12.3526,9.22828,0,2
1.521765,13.19715,8.51812,0,2
1.515934,13.09075,8.04468,0,2
1.531242,10.73,13.29556,3.15,2
1.516458,13.40995,8.09848,0,2
1.518599,13.35675,8.6042,0,2
1.515911,12.858,7.96936,0,2
1.516389,12.5521,8.07696,0,2
1.515729,14.85965,7.35604,0,2
1.516891,13.33015,8.10924,0,2
1.521765,13.7491,11.14356,0,2
1.518121,12.95775,8.78712,0.1386,2
1.517073,13.4831,7.99088,0,2
1.518121,13.33015,8.12,0,2
1.524089,13.8289,10.78848,0,2
1.520809,13.78235,9.85236,0,2
1.516298,12.7117,8.23836,0,2
1.517073,13.7225,7.88328,0,2
1.516184,13.01095,8.12,0,2
1.522221,14.4274,11.52016,0,2
1.520672,13.5496,9.5726,0.2709,2
1.52664,11.22875,14.6836,0,2
1.516594,12.991,8.80864,0,2
1.515911,13.23705,8.21684,0,2
1.516617,12.85135,8.2276,0.5985,2
1.517893,13.1905,8.4428,0,2
1.516731,12.7915,7.9048,0,2
1.517096,12.99765,8.18456,0,2
1.518052,12.99765,8.37824,0,2
1.515934,13.25035,7.86176,0,2
1.518189,13.7225,10.99292,0,2
1.51828,13.23705,8.31368,0,2
1.515911,13.0176,7.9586,0,2
1.516458,13.4033,8.07696,0,2
1.516458,13.4432,8.03392,0,2
1.518417,13.0176,9.13144,0,2
1.515888,13.11735,8.389,0,2
1.514089,14.24785,7.07628,0,2
1.51844,13.25035,8.42128,0,2
1.527392,11.0226,14.96336,0,2
1.518485,13.6427,8.32444,0,2
1.516663,12.9378,8.6042,0,2
1.520194,13.98185,10.56252,0,2
1.516731,13.2969,8.03392,0,2
1.518394,12.85135,8.67952,0,2
1.527255,13.8023,11.63852,0,2
1.518918,13.46315,8.20608,0,2
1.518007,13.7092,8.20608,0,2
1.518508,13.19715,8.41052,0.09135,2
1.515683,13.23705,8.03392,0,2
1.517118,12.89125,8.10924,0,2
1.516549,12.7516,8.78712,0.11025,2
1.53393,12.2994,16.19,0,2
1.51664,12.93115,8.03392,0,2
1.516139,13.922,7.93708,0,2
1.515911,12.8181,7.96936,0,2
1.516891,12.6718,8.53964,0,2
1.526139,13.70255,13.43544,0,2
1.518326,13.33015,8.99156,0,3
1.517779,13.6427,8.927,0,3
1.517688,13.64935,8.6042,0,3
1.516549,13.40995,8.64724,0,3
1.516093,13.42325,8.32444,0,3
1.517961,13.50305,8.80864,0,3
1.517756,13.52965,8.78712,0,3
1.519351,13.6427,8.89472,0.1512,3
1.51664,13.1373,8.37824,0,3
1.516458,13.03755,8.58268,0,3
1.516435,12.15975,8.52888,0,3
1.522107,14.188,9.1422,0,3
1.516708,13.23705,8.4428,0,3
1.521264,14.321,9.48652,0,3
1.521219,14.0284,9.64792,0,3
1.516093,13.33015,8.3352,0,3
1.52172,11.56125,11.41256,0,5
1.521515,11.02925,11.617,0,5
1.5132,12.99765,6.92564,0,5
1.513155,13.0176,6.95792,0,5
1.521196,12.97105,11.27268,0,5
1.520581,12.85135,9.70172,0.2394,5
1.519146,12.73165,10.08908,0,5
1.519943,13.2703,11.31572,0,5
1.515137,14.00845,5.87116,2.1987,5
1.520421,13.3767,12.49932,0,5
1.519692,12.63855,11.53092,0,5
1.516663,12.858,10.17516,0,5
1.519055,14.0018,9.5726,0,6
1.51115,17.38,6.64588,0,6
1.519374,13.789,9.76628,0,6
1.51828,14.46065,9.26056,0,6
1.519169,14.1481,10.88532,0,6
1.518531,14.08825,9.32512,0,6
1.512995,14.4008,7.59276,0,6
1.519692,14.5604,11.21888,0,6
