@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,10'

@attribute RI numeric
@attribute Mg numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517642,3.53812,1
1.512152,3.47077,1
1.51762,3.65935,1
1.517779,3.38995,1
1.517551,3.60098,1
1.52213,3.82099,1
1.521515,3.57853,1
1.516298,3.33158,2
1.516663,3.60996,2
1.518394,3.66833,2
1.515911,3.52016,2
1.527392,0,2
1.518052,3.79854,2
1.516389,3.47975,2
1.518462,3.88834,2
1.516093,3.52914,3
1.519351,3.53812,3
1.513155,0,5
1.52172,1.88131,5
1.51115,0,6
1.520649,0,7
1.517187,0,7
1.518303,0,7
