@relation 'glass-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,10'

@attribute RI numeric
@attribute Mg numeric
@attribute Si numeric
@attribute TypeGlass {1,2,3,4,5,6,7}

@data
1.517551,3.60996,73.2372,1
1.51746,3.5022,73.2708,1
1.521515,3.65037,72.218,1
1.517209,3.47975,73.0412,1
1.523201,3.72221,71.7476,1
1.51762,3.592,73.2876,1
1.517551,3.42138,73.198,1
1.516276,3.57853,72.8284,2
1.517437,3.25076,73.5508,2
1.518462,3.96916,72.442,2
1.518121,3.97814,72.4924,2
1.516253,3.57853,72.722,2
1.527779,0,72.022,2
1.516731,3.56057,73.142,2
1.516936,3.57853,72.61,3
1.523679,0,72.218,5
1.518872,0.78126,72.498,6
1.515455,0,73.3884,7
1.516845,0,73.58,7
1.516572,0,73.1084,7
