@relation balance-weka.filters.unsupervised.attribute.Remove-V-R3-5

@attribute Right-weight numeric
@attribute Right-distance numeric
@attribute Balance_scale {L,B,R}

@data
1,4,R
5,2,R
3,2,R
4,1,B
4,5,R
5,5,R
3,3,R
4,5,R
2,1,B
2,3,R
3,1,R
3,2,R
5,3,R
3,1,L
3,2,R
1,1,L
2,4,R
3,1,L
5,1,L
5,5,R
2,3,L
3,4,R
4,5,R
1,4,L
4,1,L
1,3,B
2,1,L
4,3,R
2,4,R
3,3,L
4,3,B
4,5,R
2,1,L
2,5,L
3,1,L
5,5,R
1,4,L
2,3,L
3,3,L
3,4,B
2,1,L
2,1,L
3,3,R
4,2,R
5,4,R
3,1,L
3,2,L
3,4,R
4,4,R
5,3,R
5,4,R
5,5,R
1,3,L
1,4,L
2,1,L
2,2,L
3,5,L
4,1,L
4,2,L
4,5,L
5,2,L
5,4,L
