@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R3-6,9-10,13,20-21'

@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A20 numeric
@attribute Class {0,1}

@data
-1.4684,-1.7003,0.451,-0.9695,0.1058,-1.9614,1,1.1082,1
0.3038,0.8198,-1.1173,-1.2455,-0.0337,-0.2093,-0.9364,0.5475,1
2.3894,-0.1118,-0.3478,-2.6549,-0.307,0.489,0.5454,-0.1617,1
-0.0582,0.2355,-2.5652,0.1738,0.0293,-1.2361,1.1256,-0.682,0
-0.0895,0.2723,-1.291,-0.295,-0.8133,-0.2513,-0.051,-1.495,1
0.9922,0.2963,1.334,0.0906,-0.8572,-0.1038,0.6771,-0.8582,0
-1.8932,-0.3938,-2.4024,-0.0639,-0.1816,0.1309,-2.5376,-1.0239,1
-0.9779,0.3747,0.1138,0.2766,-1.5568,-1.4798,-1.4087,-0.5839,1
-0.8878,-0.3607,0.7786,0.1961,0.6493,-0.1774,1.0745,0.3668,0
0.5378,-0.5044,-0.4964,-1.4642,0.2223,-0.6832,-1.3826,0.5221,1
1.506,1.6261,-0.0431,0.705,-0.0285,0.7425,3.0643,-0.5752,0
0.4311,1.0366,0.5216,0.1456,0.7045,1.7517,-1.2468,2.146,0
-0.8493,0.4209,0.6339,1.1662,1.0731,-1.0151,-0.3233,1.7572,0
1.1413,1.3723,0.9572,0.9785,1.191,0.0637,1.1407,-0.1437,0
-1.0582,-2.2433,-0.7991,2.1589,-0.7543,-1.1126,-0.468,-0.3979,1
0.1319,-0.2899,-0.201,-1.5022,-0.8921,-0.7995,-2.1244,0.678,1
-0.5127,-0.5227,-1.5675,-1.5134,0.5638,0.0051,0.9821,2.1945,1
0.0331,-2.4193,-2.1792,0.3653,-0.6922,-0.2311,-1.0514,-1.4472,1
-1.2674,-0.5634,1.146,1.3287,0.9443,2.3776,1.06,1.4622,0
1.613,1.5118,-0.4556,0.0418,-0.5151,0.8868,0.661,0.2307,0
2.0203,1.6376,-1.463,-0.7972,-1.6119,0.4042,0.8973,-1.3535,0
0.6715,2.2028,0.742,0.4112,-0.4467,-0.0968,0.4253,0.7467,0
1.3199,1.148,2.0749,0.6717,1.4412,-1.1808,0.8357,1.0061,0
0.0847,1.8272,0.2029,1.4855,0.3118,-0.5024,0.4094,0.8515,0
0.4914,1.3811,0.8639,-0.7844,-1.045,-0.5759,-0.4241,-0.6448,0
1.4885,0.8901,1.6513,-0.8579,-0.3463,-1.0226,0.7053,-0.4373,0
-0.1891,1.2984,2.3601,1.693,1.7101,-1.6856,0.302,1.0568,0
0.2878,-1.8926,-0.7261,-1.2269,-0.8619,-0.7522,-2.0997,-1.5108,1
3.9924,1.7232,0.8794,0.9721,-0.6954,-1.035,-0.5765,1.7604,0
-0.3797,-0.8001,-0.1305,0.2953,-0.1129,-1.2169,-1.5908,-1.1853,1
-1.5161,-0.4421,1.7838,0.0191,2.1083,0.3006,-0.7778,1.6898,0
1.6441,3.3676,-0.4654,1.054,0.3801,1.0609,-0.1022,1.0645,0
0.1479,0.1711,-0.9495,-0.4522,-1.5558,1.1097,1.0954,1.1192,0
0.2132,-2.1722,-0.3904,-1.0673,-0.3395,-0.2616,0.1406,0.6485,1
0.4926,0.2938,2.2316,-0.6224,0.5974,-0.4658,1.098,1.2036,0
-0.2389,-0.1211,-1.2234,0.23,-0.0967,-0.1922,-0.0374,-1.1896,1
-0.7807,-1.3698,-0.7249,-2.1882,-0.2767,-1.035,0.2554,-2.0476,1
-0.0964,-0.8318,-0.4026,-0.6497,-1.0624,-0.8573,-0.5639,-0.049,1
-1.306,0.117,-0.882,-0.8159,-1.0964,1.2854,-2.662,1.0756,1
-2.1586,-3.296,0.2315,-0.8332,-2.3213,0.0767,-0.4993,-1.7122,1
0.9371,0.2995,0.8025,1.1714,-0.8522,-0.5148,-0.9278,-0.2398,0
0.6502,-0.1962,2.1845,0.107,-0.2027,2.1472,2.0297,0.652,0
1.0606,-1.3264,1.2503,-1.0483,-1.7002,2.0497,-0.4995,0.6604,0
0.9813,0.2345,0.7042,-0.2193,1.3955,1.9049,0.7651,2.2152,0
