@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,7,9,12-14,16,18,21'

@attribute A1 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A16 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-1.2444,-1.4684,-1.7003,0.451,-0.5761,0.1058,-0.88,1,-1.756,0.6034,-0.9101,1
0.0851,0.3038,0.8198,-1.1173,-1.7079,-0.0337,-0.198,-0.9364,-1.8025,-1.9476,-0.7416,1
-2.8472,2.3894,-0.1118,-0.3478,-1.6038,-0.307,0.1147,0.5454,0.4672,-0.8842,0.5606,1
0.3431,-0.0582,0.2355,-2.5652,0.7949,0.0293,0.925,1.1256,-0.1299,0.5627,-1.4884,0
-0.3764,-0.0895,0.2723,-1.291,0.8359,-0.8133,-2.3484,-0.051,-1.1298,-0.4865,-0.6627,1
0.4123,0.9922,0.2963,1.334,0.7321,-0.8572,1.2222,0.6771,0.7853,1.1651,-0.6161,0
-0.9541,-1.8932,-0.3938,-2.4024,0.8246,-0.1816,-2.3523,-2.5376,-1.5101,-0.9179,-0.2994,1
-0.3529,-0.9779,0.3747,0.1138,0.0106,-1.5568,0.6476,-1.4087,-1.0544,0.8722,0.8136,1
1.8369,-0.8878,-0.3607,0.7786,-0.3068,0.6493,2.2576,1.0745,1.7456,1.2108,-0.251,0
0.7602,0.5378,-0.5044,-0.4964,-1.1987,0.2223,-0.7613,-1.3826,-0.7436,-2.1783,-2.1696,1
-0.6503,1.506,1.6261,-0.0431,0.5947,-0.0285,1.5872,3.0643,0.4377,1.2818,1.7417,0
-0.2743,0.4311,1.0366,0.5216,0.4528,0.7045,-0.5591,-1.2468,1.9436,0.024,-0.2392,0
1.5585,-0.8493,0.4209,0.6339,-0.12,1.0731,-0.189,-0.3233,0.6602,1.2655,2.121,0
-0.492,1.1413,1.3723,0.9572,1.1406,1.191,0.2165,1.1407,0.0426,0.5584,0.3929,0
-0.2384,-1.0582,-2.2433,-0.7991,1.461,-0.7543,-0.5094,-0.468,-0.7892,-0.4033,1.2427,1
-1.2865,0.1319,-0.2899,-0.201,-0.8033,-0.8921,-1.5156,-2.1244,-0.5414,-0.6546,-0.4702,1
2.1935,-0.5127,-0.5227,-1.5675,-2.1444,0.5638,-0.2321,0.9821,0.423,-1.4563,-0.1985,1
1.3889,0.0331,-2.4193,-2.1792,-1.8794,-0.6922,-0.3008,-1.0514,-1.5865,-1.4074,-0.46,1
1.7382,-1.2674,-0.5634,1.146,-0.9547,0.9443,1.2009,1.06,0.4079,-1.1271,-0.9843,0
-1.0553,1.613,1.5118,-0.4556,0.7234,-0.5151,-0.2538,0.661,-0.9298,-0.6706,0.4641,0
-0.2265,2.0203,1.6376,-1.463,-0.1226,-1.6119,-0.9064,0.8973,2.3214,0.275,1.5926,0
