@relation 'twonorm-weka.filters.unsupervised.attribute.Remove-V-R1,7,9-10,13-14,17-18,21'

@attribute A1 numeric
@attribute A7 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute Class {0,1}

@data
-0.7537,-0.6401,1.7196,1.1263,-0.1665,-1.8475,-1.7109,-1.2593,1
-1.4365,1.0827,0.4351,1.1018,-0.9876,0.1904,-1.015,-1.2867,1
0.2844,0.7213,1.9412,2.4296,-1.0615,2.4175,0.253,0.1893,0
0.8624,1.5866,-0.9764,-0.5752,-0.3514,0.6058,1.0751,-0.0934,0
-0.8383,0.9251,0.8492,1.3108,2.5981,0.6158,-1.6729,0.7613,0
-0.3637,-0.7093,0.0637,-0.4637,-0.5719,0.4296,0.004,-0.1008,1
0.0071,-0.3223,-2.9905,0.0529,0.2933,1.1313,0.7367,-2.0777,1
0.1336,-1.5423,1.193,-2.0758,1.5476,-0.9685,0.0965,0.3261,0
3.3239,0.1866,-0.0545,0.6817,1.5477,-0.0589,1.4156,1.017,0
1.8207,1.9815,0.5582,0.0298,0.8313,-0.9396,0.6262,0.1847,0
1.7911,2.998,-0.3629,-0.3369,0.2776,1.7855,1.9589,1.1795,0
2.2218,0.2618,-0.192,0.8729,2.4408,1.1234,-0.7069,-0.1143,0
0.8637,0.9546,0.1298,1.5494,0.1118,0.3191,1.2678,1.3558,0
-1.454,1.9813,0.469,-1.9398,-1.6507,0.4375,0.3044,-1.1176,0
0.7752,-0.2016,-1.4266,0.3129,-1.4668,-0.8032,0.1737,-1.1898,1
-1.3683,1.3658,-0.3272,0.6712,-0.9811,2.1594,-0.217,0.3295,0
-0.0995,-0.202,-1.4282,0.8069,1.2813,0.2822,-0.7039,-0.537,1
-0.0107,-2.9487,-0.0924,0.3396,-0.0231,-1.2427,-0.5954,-1.22,1
1.3799,-1.8407,0.8754,-1.0955,1.1025,1.3926,0.7231,-0.6497,0
-0.2227,0.353,-0.0605,-1.3386,1.1592,-1.6584,-1.3031,0.2995,1
-0.6982,-0.6505,1.0092,-0.1906,-0.496,1.8578,1.0097,1.3302,0
-1.1053,-0.7652,0.867,0.9934,-0.1818,-0.1832,0.6638,0.5542,0
0.9575,0.2943,0.5858,0.1017,-0.4635,1.2005,0.4568,1.4992,0
-0.9261,0.1783,-2.0371,-1.8503,-1.235,0.17,-2.4868,0.015,1
0.3304,2.1515,0.3565,-0.2866,0.9575,0.7345,-0.3795,2.0225,0
1.3544,0.703,1.1447,0.4504,-1.2991,-0.1897,2.101,-1.5142,0
0.2017,-0.49,0.6349,-0.7206,0.1587,-1.9957,-0.611,-0.9211,1
-0.0981,0.9768,1.2438,-1.049,0.7428,2.0452,0.8259,0.7571,0
1.2283,-0.1259,1.9046,0.4138,1.1441,0.636,1.4296,0.213,0
-0.3047,-1.8501,2.3788,-0.4957,1.2634,1.0285,-0.2825,1.1889,0
-1.5027,0.3122,-0.3686,-0.6433,-0.1637,-0.2384,-0.5813,0.248,0
-0.6729,1.4576,1.6579,-0.895,0.9326,-0.3834,0.6427,1.0755,0
1.0549,-0.6497,0.7684,-1.6345,2.4652,0.5179,2.5643,2.5943,0
2.1337,0.7055,0.2136,0.7809,1.2404,0.2631,-0.0054,-0.1104,0
1.2488,2.4391,1.8329,0.4866,1.4673,1.3856,0.6027,1.4015,0
-0.8597,1.3712,0.0392,0.0709,0.2245,1.2309,0.3456,1.965,0
1.5455,0.1175,0.0775,0.99,0.4981,-1.3447,-0.476,0.5774,0
-0.5836,-1.6608,-1.8174,0.1854,-0.6165,0.2277,-0.1443,1.2722,1
2.2452,-0.0511,1.3491,0.4474,0.6113,0.5263,0.5366,0.4397,0
-1.7792,-0.4536,1.0867,-0.9138,-0.4074,-0.1131,-0.1774,-1.4964,1
1.6636,-0.0042,0.8816,1.2263,0.6411,-0.1927,1.9443,-0.7361,0
-1.045,0.6326,0.2087,-1.1095,1.5065,0.9371,-0.535,1.6001,0
0.082,-0.4101,0.0129,0.56,1.1457,-0.1178,0.1371,-0.0779,0
-0.1776,-1.9134,-0.648,-0.0715,-0.9704,1.2835,0.446,0.5454,1
-1.49,0.8977,2.6761,-0.1199,0.4945,-0.0837,-0.1169,-0.7924,0
-1.8101,-0.0813,-1.0974,0.188,-0.6537,-0.4614,-0.7168,-2.3881,1
1.8796,1.8708,1.0216,1.1759,1.1945,0.9129,-0.0566,-1.6077,0
0.219,-0.7192,-0.7686,-0.1397,-0.0365,-1.2456,1.3447,0.6204,1
-1.0211,0.2992,0.7733,-1.1293,-0.9414,-1.5207,-2.7266,0.5672,1
-0.8538,-0.4432,-0.9099,-0.3912,-2.6308,-0.2077,-0.0537,-1.0539,1
-0.7421,0.59,-1.0501,0.2667,1.4096,-2.0881,1.0759,0.9208,1
0.1767,1.0592,1.7909,0.301,-0.2659,1.2832,0.7976,0.1184,0
