@relation automobile

@attribute Normalized-losses numeric
@attribute Length numeric
@attribute Width numeric
@attribute Height numeric
@attribute Curb-weight numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,188.8,67.2,56.2,2935,four,-2
103,188.8,67.2,56.2,2912,four,-2
103,188.8,67.2,56.2,3045,four,-2
74,188.8,67.2,57.5,3042,four,-1
93,190.9,70.3,56.5,3515,five,-1
110,174.6,64.6,59.8,2535,four,-1
93,202.6,71.7,56.3,3770,five,-1
74,188.8,67.2,57.5,3157,four,-1
95,188.8,68.9,55.5,3062,four,-1
65,175.6,66.5,54.9,2480,four,-1
65,175.6,66.5,53.9,2414,four,-1
95,188.8,68.9,55.5,2952,four,-1
74,174.6,64.6,59.8,2535,four,-1
90,187.8,66.5,54.1,3131,six,-1
95,188.8,68.9,55.5,3217,six,-1
95,188.8,68.9,55.5,3012,six,-1
65,175.6,66.5,54.9,2414,four,-1
65,175.6,66.5,53.9,2458,four,-1
95,188.8,68.8,55.5,3049,four,-1
65,175.6,66.5,54.9,2326,four,-1
74,188.8,67.2,57.5,3034,four,-1
108,184.6,66.5,55.1,3060,six,0
145,199.6,69.6,52.8,4066,six,0
78,157.1,63.9,58.3,2024,four,0
91,166.3,64.4,53,2081,four,0
188,176.8,64.8,54.3,2765,six,0
91,166.3,64.4,52.8,2140,four,0
161,186.7,68.4,56.7,3075,four,0
106,173.4,65.2,54.7,2302,four,0
102,172,65.4,52.5,2145,four,0
192,176.8,64.8,54.3,2395,four,0
85,175.4,65.2,54.1,2304,four,0
115,177.8,66.5,55.5,2410,four,0
85,175.4,65.2,54.1,2465,four,0
106,167.5,65.2,53.3,2289,four,0
106,167.5,65.2,53.3,2236,four,0
115,177.8,66.5,55.5,2410,four,0
91,166.3,64.4,52.8,2122,four,0
188,176.8,64.8,54.3,2710,six,0
89,173.5,65.4,53,2455,four,0
106,173.4,65.2,54.7,2324,four,0
77,169.7,63.6,59.1,2280,four,0
81,169.7,63.6,59.1,2290,four,0
161,186.7,68.4,56.7,3252,four,0
102,172,65.4,52.5,2340,four,0
115,177.8,66.5,55.5,2425,four,0
91,166.3,64.4,52.8,2109,four,0
118,175,66.1,54.4,2670,four,0
89,173.5,65.4,53,2290,four,0
91,169.7,63.6,59.1,3110,four,0
161,186.7,68.4,56.7,3020,four,0
85,173.6,65.4,54.9,2420,four,0
85,175.4,62.5,54.1,2372,four,0
128,181.7,66.5,55.1,3095,six,0
161,186.7,68.4,56.7,3075,four,0
161,186.7,68.4,56.7,3197,four,0
161,186.7,68.3,56,3130,four,0
81,158.8,63.6,52,1909,four,0
161,186.7,68.4,56.7,3252,four,0
102,172,65.4,52.5,2190,four,0
91,166.3,64.4,52.8,2275,four,0
93,187.5,70.3,54.9,3495,five,0
102,172,65.4,54.3,2385,four,0
91,166.3,64.4,53,2094,four,0
128,165.3,63.8,54.5,2017,four,1
168,168.7,64,52.6,2169,four,1
128,165.3,63.8,54.5,1918,four,1
113,166.8,64.2,54.1,1945,four,1
113,166.8,64.2,54.1,1950,four,1
129,177.8,66.5,53.7,2385,four,1
74,158.7,63.6,54.5,2015,four,1
148,157.3,63.8,50.6,1989,four,1
101,150,64,52.6,1956,four,1
122,165.3,63.8,54.5,1971,four,1
168,168.7,64,52.6,2300,four,1
129,177.8,66.5,53.7,2385,four,1
158,192.7,71.4,55.7,2844,five,1
125,172.4,65.4,51.6,2365,four,1
125,172.4,65.4,51.6,2405,four,1
101,150,64,52.6,1837,four,1
104,159.1,64.2,54.1,1905,four,1
231,178.5,67.9,49.7,3139,six,1
103,170.2,63.8,53.5,2037,four,1
118,157.3,63.8,50.8,1876,four,1
103,170.2,63.8,53.5,2024,four,1
107,169.1,66,51,2293,four,1
161,157.3,63.8,50.8,2145,four,1
119,157.3,63.8,50.8,2128,four,1
154,167.3,63.8,50.8,1989,four,1
118,157.3,63.8,50.8,2128,four,1
87,158.7,63.6,54.5,1985,four,1
104,159.1,64.2,54.1,1900,four,1
128,165.3,63.8,54.5,1889,four,1
154,157.3,63.8,50.6,1967,four,1
158,192.7,71.4,55.9,3086,five,1
125,172.4,65.4,51.6,2403,four,1
128,165.6,63.8,53.3,2028,four,1
154,167.3,63.8,50.8,2191,four,1
98,155.9,63.6,52,1874,four,1
148,157.3,63.8,50.6,1967,four,1
128,165.3,63.8,54.5,1951,four,1
168,168.7,64,52.6,2204,four,1
87,158.7,63.6,54.5,2040,four,1
122,165.3,63.8,54.5,1938,four,1
119,157.3,63.8,50.8,1918,four,1
101,150,64,52.6,1940,four,1
134,176.2,65.6,53,2975,four,2
168,162.4,63.8,53.3,2008,four,2
94,171.7,65.5,55.7,2319,four,2
137,144.6,63.9,50.8,1713,four,2
134,176.2,65.6,52,2540,four,2
83,157.3,63.8,55.7,2240,four,2
121,141.1,60.3,53.2,1488,three,2
161,157.3,64.4,50.8,1918,four,2
83,156.9,63.4,53.7,2050,four,2
104,186.6,66.5,56.1,2758,four,2
104,186.6,66.5,56.1,2695,four,2
104,186.6,66.5,56.1,2847,four,2
164,176.6,66.2,54.3,2337,four,2
94,171.7,65.5,55.7,2264,four,2
192,176.8,64.8,54.3,2395,four,2
161,157.3,64.4,50.8,2004,four,2
94,171.7,65.5,55.7,2275,four,2
134,176.2,65.6,52,2551,four,2
122,171.7,65.5,55.7,2209,four,2
137,144.6,63.9,50.8,1819,four,2
94,171.7,65.5,55.7,2212,four,2
134,176.2,65.6,52,2679,four,2
83,157.9,63.6,53.7,2120,four,2
164,176.6,66.4,54.3,2824,five,2
94,171.7,65.5,55.7,2300,four,2
134,176.2,65.6,52,2714,four,2
122,171.7,65.5,55.7,2261,four,2
194,170.7,67.9,49.7,3071,six,3
197,183.5,67.7,52,2976,six,3
145,173.2,66.3,50.2,2811,four,3
256,165.7,64,51.4,2221,four,3
197,183.5,67.7,52,3016,six,3
142,180.3,70.5,50.8,3685,eight,3
150,186.6,66.5,56.1,2707,four,3
150,186.6,66.5,56.1,2658,four,3
153,173,65.4,49.4,2370,four,3
186,168.9,68.3,50.2,2778,four,3
153,173,65.4,49.4,2328,four,3
194,170.7,67.9,49.7,3139,six,3
150,186.6,66.5,56.1,2808,four,3
