@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Wheel-base numeric
@attribute Curb-weight numeric
@attribute Engine-size numeric
@attribute Stroke numeric
@attribute Compression-ratio numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,volvo,104.3,2912,141,3.15,9.5,28,-2
103,volvo,104.3,2935,141,3.15,9.5,28,-2
137,mitsubishi,96.3,2403,110,3.46,7.5,30,-1
90,toyota,104.5,3131,171,3.35,9.2,24,-1
74,volvo,104.3,3042,141,3.15,9.5,28,-1
93,mercedes-benz,115.6,3770,183,3.64,21.5,25,-1
95,volvo,109.1,3049,141,3.15,8.7,25,-1
65,toyota,102.4,2326,122,3.54,8.7,34,-1
65,toyota,102.4,2414,122,3.54,8.7,32,-1
65,toyota,102.4,2414,122,3.54,8.7,32,-1
95,volvo,109.1,3062,141,3.15,9.5,25,-1
95,volvo,109.1,2952,141,3.15,9.5,28,-1
74,plymouth,103.3,2535,122,3.46,8.5,30,-1
93,mercedes-benz,110,3515,183,3.64,21.5,25,-1
74,volvo,104.3,3157,130,3.15,7.5,22,-1
74,volvo,104.3,3034,141,3.15,9.5,28,-1
93,mercedes-benz,110,3750,183,3.64,21.5,25,-1
110,dodge,103.3,2535,122,3.46,8.5,30,-1
95,volvo,109.1,3217,145,3.4,23,27,-1
65,toyota,102.4,2458,122,3.54,8.7,32,-1
161,peugot,107.9,3020,120,3.19,8.4,24,0
161,peugot,107.9,3075,120,3.19,8.4,24,0
91,toyota,95.7,2275,110,3.35,22.5,36,0
91,toyota,95.7,2275,110,3.35,22.5,47,0
106,nissan,97.2,2302,120,3.47,8.5,34,0
145,jaguar,113,4066,258,4.17,8.1,19,0
102,subaru,97,2385,108,2.64,9,25,0
85,subaru,96.9,2650,108,2.64,7.7,23,0
89,subaru,97,2290,108,2.64,9,32,0
106,nissan,97.2,2324,120,3.47,8.5,34,0
106,honda,96.5,2236,110,3.58,9,33,0
85,subaru,96.9,2420,108,2.64,9,29,0
108,nissan,100.4,3060,181,3.27,9,25,0
192,bmw,101.2,2395,108,2.8,8.8,29,0
85,honda,96.5,2465,110,3.58,9,28,0
128,nissan,100.4,3095,181,3.27,9,22,0
188,bmw,101.2,2710,164,3.19,9,28,0
81,chevrolet,94.5,1909,90,3.11,9.6,43,0
85,honda,96.5,2372,110,3.58,9,33,0
91,toyota,95.7,3110,92,3.03,9,32,0
188,bmw,101.2,2765,164,3.19,9,28,0
161,peugot,107.9,3252,152,3.52,21,33,0
118,mazda,104.9,2670,140,3.16,8,27,0
93,mercedes-benz,106.7,3495,183,3.64,21.5,25,0
91,toyota,95.7,2140,98,3.03,9,34,0
161,peugot,107.9,3197,152,3.52,21,33,0
115,mazda,98.8,2410,122,3.39,8.6,32,0
77,toyota,95.7,2280,92,3.03,9,37,0
85,honda,96.5,2304,110,3.58,9,33,0
102,subaru,97.2,2340,108,2.64,9,32,0
81,toyota,95.7,2290,92,3.03,9,32,0
161,peugot,107.9,3075,120,2.19,8.4,24,0
161,peugot,107.9,3252,152,3.52,21,33,0
78,honda,96.5,2024,92,3.41,9.2,34,0
89,subaru,97,2455,108,2.64,9,31,0
106,honda,96.5,2289,110,3.58,9,33,0
108,nissan,100.4,3296,181,3.27,9,22,0
110,honda,96.5,2010,92,3.41,9.2,34,0
91,toyota,95.7,2122,98,3.03,9,34,0
161,peugot,108,3130,134,3.21,7,24,0
102,subaru,97,2510,108,2.64,7.7,29,0
115,mazda,98.8,2425,122,3.39,8.6,32,0
91,toyota,95.7,2109,98,3.03,9,37,0
168,toyota,94.5,2204,98,3.03,9,34,1
148,dodge,93.7,1967,90,3.23,9.4,38,1
104,mazda,93.1,1905,91,3.15,9,38,1
158,audi,105.8,2844,136,3.4,8.5,25,1
154,plymouth,93.7,1989,90,3.23,9.4,38,1
154,plymouth,93.7,2191,98,3.23,9.4,38,1
74,toyota,95.7,2015,92,3.03,9,38,1
128,nissan,94.5,1918,97,3.29,9.4,37,1
98,chevrolet,94.5,1874,90,3.11,9.6,43,1
125,mitsubishi,96.3,2403,110,3.46,7.5,30,1
118,dodge,93.7,2128,98,3.39,7.6,30,1
128,nissan,94.5,2017,103,3.47,21.9,50,1
168,toyota,94.5,2169,98,3.03,9,34,1
118,dodge,93.7,1876,90,3.23,9.41,41,1
129,mazda,98.8,2385,122,3.39,8.6,32,1
103,nissan,94.5,2037,97,3.29,9.4,37,1
101,honda,93.7,1940,92,3.41,9.2,34,1
