@relation automobile

@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Curb-weight numeric
@attribute Engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute Bore numeric
@attribute Compression-ratio numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
four,104.3,188.8,3045,ohc,3.62,7.5,-2
four,104.3,188.8,2935,ohc,3.78,9.5,-2
four,104.3,188.8,2912,ohc,3.78,9.5,-2
four,109.1,188.8,3217,ohc,3.01,23,-1
four,102.4,175.6,2458,ohc,3.31,8.7,-1
four,104.3,188.8,3034,ohc,3.78,9.5,-1
four,102.4,175.6,2414,ohc,3.31,8.7,-1
four,109.1,188.8,3049,ohc,3.78,8.7,-1
four,102.4,175.6,2480,ohc,3.27,22.5,-1
four,109.1,188.8,3062,ohc,3.78,9.5,-1
four,109.1,188.8,3012,ohcv,3.58,8.8,-1
four,103.3,174.6,2535,ohc,3.35,8.5,-1
four,109.1,188.8,2952,ohc,3.78,9.5,-1
four,102.4,175.6,2414,ohc,3.31,8.7,-1
four,104.3,188.8,3157,ohc,3.62,7.5,-1
four,104.5,187.8,3131,dohc,3.27,9.2,-1
four,103.3,174.6,2535,ohc,3.34,8.5,-1
four,110,190.9,3515,ohc,3.58,21.5,-1
four,115.6,202.6,3770,ohc,3.58,21.5,-1
four,104.3,188.8,3042,ohc,3.78,9.5,-1
four,102.4,175.6,2326,ohc,3.31,8.7,-1
two,96.5,167.5,2289,ohc,3.15,9,0
four,98.8,177.8,2410,ohc,3.39,8.6,0
four,97.2,172,2340,ohcf,3.62,9,0
four,97.2,173.4,2324,ohc,3.33,8.5,0
four,100.4,181.7,3095,ohcv,3.43,9,0
four,95.7,166.3,2094,ohc,3.19,9,0
two,106.7,187.5,3495,ohc,3.58,21.5,0
four,97,173.5,2290,ohcf,3.62,9,0
four,95.7,169.7,2280,ohc,3.05,9,0
four,101.2,176.8,2765,ohc,3.31,9,0
four,96.5,175.4,2465,ohc,3.15,9,0
four,107.9,186.7,3020,l,3.46,8.4,0
four,97.2,172,2190,ohcf,3.62,9.5,0
four,98.8,177.8,2410,ohc,3.39,8.6,0
four,95.7,169.7,2290,ohc,3.05,9,0
four,95.7,166.3,2275,ohc,3.27,22.5,0
four,100.4,184.6,3060,ohcv,3.43,9,0
four,94.5,158.8,1909,ohc,3.03,9.6,0
four,101.2,176.8,2395,ohc,3.5,8.8,0
four,95.7,166.3,2109,ohc,3.19,9,0
four,107.9,186.7,3075,l,3.46,8.4,0
four,95.7,166.3,2122,ohc,3.19,9,0
four,96.5,175.4,2372,ohc,3.15,9,0
two,96.5,167.5,2236,ohc,3.15,9,0
four,107.9,186.7,3252,l,3.7,21,0
four,96.5,157.1,2024,ohc,2.92,9.2,0
four,107.9,186.7,3197,l,3.7,21,0
four,97.2,172,2145,ohcf,3.62,9.5,0
four,108,186.7,3130,l,3.61,7,0
four,96.5,175.4,2304,ohc,3.15,9,0
four,95.7,166.3,2140,ohc,3.19,9,0
four,104.9,175,2670,ohc,3.76,8,0
four,113,199.6,4066,dohc,3.63,8.1,0
four,107.9,186.7,3075,l,3.46,8.4,0
four,98.8,177.8,2425,ohc,3.39,8.6,0
four,97,173.5,2455,ohcf,3.62,9,0
