@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Aspiration {std,turbo}
@attribute Num-of-doors {four,two}
@attribute Body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute Engine-location {front,rear}
@attribute Width numeric
@attribute Stroke numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,turbo,four,sedan,front,67.2,3.15,-2
volvo,std,four,sedan,front,67.2,3.15,-2
volvo,std,four,sedan,front,67.2,3.15,-2
volvo,turbo,four,sedan,front,68.9,3.15,-1
volvo,turbo,four,wagon,front,67.2,3.15,-1
volvo,turbo,four,sedan,front,68.9,3.4,-1
volvo,turbo,four,sedan,front,68.8,3.15,-1
toyota,std,four,hatchback,front,66.5,3.54,-1
toyota,turbo,four,sedan,front,66.5,3.35,-1
volvo,std,four,sedan,front,68.9,3.15,-1
toyota,std,four,sedan,front,66.5,3.54,-1
toyota,std,four,sedan,front,66.5,3.54,-1
toyota,std,four,sedan,front,66.5,3.35,-1
volvo,std,four,wagon,front,67.2,3.15,-1
toyota,std,four,hatchback,front,66.5,3.54,-1
mercedes-benz,turbo,four,sedan,front,70.3,3.64,-1
mercedes-benz,turbo,four,sedan,front,71.7,3.64,-1
volvo,std,four,sedan,front,68.9,2.87,-1
volvo,std,four,wagon,front,67.2,3.15,-1
plymouth,std,four,wagon,front,64.6,3.46,-1
dodge,std,four,wagon,front,64.6,3.46,-1
toyota,std,four,hatchback,front,64.4,3.03,0
nissan,std,four,sedan,front,65.2,3.47,0
toyota,std,four,hatchback,front,64.4,3.35,0
subaru,std,four,sedan,front,65.4,2.64,0
subaru,std,four,sedan,front,65.4,2.64,0
bmw,std,two,sedan,front,64.8,3.19,0
peugot,turbo,four,sedan,front,68.4,3.52,0
mazda,std,four,sedan,front,66.5,3.39,0
toyota,std,four,wagon,front,63.6,3.03,0
nissan,std,four,hatchback,front,65.2,3.47,0
chevrolet,std,four,sedan,front,63.6,3.11,0
peugot,std,four,sedan,front,68.4,3.19,0
peugot,std,four,sedan,front,68.4,2.19,0
honda,std,four,sedan,front,65.2,3.58,0
subaru,std,four,wagon,front,65.4,2.64,0
subaru,std,four,sedan,front,65.4,2.64,0
mazda,std,four,sedan,front,66.5,3.39,0
honda,std,four,sedan,front,65.2,3.58,0
mazda,std,four,sedan,front,66.1,3.16,0
honda,std,four,wagon,front,63.9,3.41,0
toyota,std,four,hatchback,front,64.4,3.03,0
honda,std,two,hatchback,front,65.2,3.58,0
toyota,std,four,sedan,front,64.4,3.03,0
toyota,std,four,wagon,front,63.6,3.03,0
nissan,std,four,sedan,front,66.5,3.27,0
subaru,std,four,wagon,front,65.4,2.64,0
peugot,std,four,sedan,front,68.4,3.19,0
subaru,std,four,wagon,front,65.4,2.64,0
subaru,std,four,sedan,front,65.4,2.64,0
toyota,std,four,wagon,front,63.6,3.03,0
nissan,std,four,sedan,front,66.5,3.27,0
toyota,std,four,sedan,front,64.4,3.03,0
peugot,turbo,four,sedan,front,68.4,3.52,0
honda,std,four,sedan,front,62.5,3.58,0
bmw,std,four,sedan,front,64.8,2.8,0
honda,std,two,hatchback,front,65.2,3.58,0
jaguar,std,four,sedan,front,69.6,4.17,0
bmw,std,four,sedan,front,64.8,3.19,0
peugot,turbo,four,sedan,front,68.4,3.52,0
