@relation automobile

@attribute Normalized-losses numeric
@attribute Wheel-base numeric
@attribute Length numeric
@attribute Curb-weight numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,104.3,188.8,3045,22,-2
103,104.3,188.8,2935,28,-2
103,104.3,188.8,2912,28,-2
74,104.3,188.8,3034,28,-1
137,96.3,172.4,2403,30,-1
95,109.1,188.8,3049,25,-1
65,102.4,175.6,2414,32,-1
93,110,190.9,3515,25,-1
74,103.3,174.6,2535,30,-1
65,102.4,175.6,2326,34,-1
93,110,190.9,3750,25,-1
95,109.1,188.8,3217,27,-1
95,109.1,188.8,3012,23,-1
65,102.4,175.6,2458,32,-1
93,115.6,202.6,3770,25,-1
74,104.3,188.8,3042,28,-1
110,103.3,174.6,2535,30,-1
90,104.5,187.8,3131,24,-1
65,102.4,175.6,2480,33,-1
74,104.3,188.8,3157,22,-1
106,96.5,167.5,2236,33,0
91,95.7,166.3,2140,34,0
106,97.2,173.4,2302,34,0
85,96.9,173.6,2650,23,0
89,97,173.5,2455,31,0
81,94.5,158.8,1909,43,0
188,101.2,176.8,2710,28,0
102,97,172,2510,29,0
108,100.4,184.6,3296,22,0
91,95.7,166.3,2275,36,0
106,97.2,173.4,2324,34,0
91,95.7,166.3,2109,37,0
102,97,172,2385,25,0
161,107.9,186.7,3075,24,0
91,95.7,166.3,2122,34,0
102,97.2,172,2340,32,0
85,96.5,175.4,2304,33,0
145,113,199.6,4066,19,0
115,98.8,177.8,2410,32,0
85,96.5,175.4,2465,28,0
161,107.9,186.7,3252,33,0
91,95.7,166.3,2094,47,0
161,108,186.7,3130,24,0
85,96.5,175.4,2372,33,0
81,95.7,169.7,2290,32,0
78,96.5,157.1,2024,34,0
115,98.8,177.8,2425,32,0
102,97.2,172,2190,33,0
89,97,173.5,2290,32,0
115,98.8,177.8,2410,32,0
85,96.9,173.6,2420,29,0
188,101.2,176.8,2765,28,0
192,101.2,176.8,2395,29,0
161,107.9,186.7,3252,33,0
128,100.4,181.7,3095,22,0
110,96.5,163.4,2010,34,0
108,100.4,184.6,3060,25,0
161,107.9,186.7,3075,24,0
91,95.7,166.3,2081,37,0
161,107.9,186.7,3197,33,0
106,96.5,167.5,2289,33,0
93,106.7,187.5,3495,25,0
102,97.2,172,2145,37,0
158,105.8,192.7,2844,25,1
128,94.5,165.6,2028,37,1
158,105.8,192.7,3086,20,1
104,93.1,159.1,1905,38,1
118,93.7,157.3,1876,38,1
168,94.5,168.7,2169,34,1
128,94.5,165.3,1951,37,1
103,94.5,170.2,2037,37,1
154,93.7,157.3,1967,38,1
107,96.5,169.1,2293,31,1
125,96.3,172.4,2405,32,1
128,94.5,165.3,1918,37,1
148,93.7,157.3,1989,38,1
231,99.2,178.5,3139,25,1
128,94.5,165.3,2017,50,1
128,94.5,165.3,1889,37,1
103,94.5,170.2,2024,37,1
148,93.7,157.3,1967,38,1
104,93.1,159.1,1890,31,1
104,93.1,159.1,1900,38,1
74,95.7,158.7,2015,38,1
125,96.3,172.4,2365,32,1
125,96.3,172.4,2403,30,1
87,95.7,158.7,1985,39,1
119,93.7,157.3,2128,30,1
154,93.7,167.3,1989,38,1
87,95.7,158.7,2040,38,1
101,93.7,150,1956,34,1
118,93.7,157.3,1876,41,1
113,93.1,166.8,1950,38,1
118,93.7,157.3,2128,30,1
101,93.7,150,1940,34,1
168,94.5,168.7,2265,29,1
129,98.8,177.8,2385,32,1
148,93.7,157.3,1989,38,1
168,94.5,168.7,2300,29,1
168,94.5,168.7,2204,34,1
113,93.1,166.8,1945,38,1
119,93.7,157.3,1918,41,1
129,98.8,177.8,2385,32,1
121,88.4,141.1,1488,53,2
83,93.3,157.3,2240,31,2
161,93.7,157.3,1918,41,2
164,99.8,176.6,2337,30,2
161,93.7,157.3,2004,38,2
134,98.4,176.2,2551,30,2
164,99.4,176.6,2824,22,2
83,93.7,157.9,2120,31,2
104,99.1,186.6,2847,26,2
134,98.4,176.2,2540,30,2
104,99.1,186.6,2695,28,2
161,93.7,157.3,1944,38,2
94,97.3,171.7,2300,32,2
122,97.3,171.7,2209,34,2
134,98.4,176.2,2536,30,2
134,98.4,176.2,2975,30,2
94,97.3,171.7,2212,34,2
83,93.7,156.9,2050,36,2
134,98.4,176.2,2679,30,2
122,97.3,171.7,2261,46,2
94,97.3,171.7,2264,46,2
137,86.6,144.6,1713,54,2
168,95.1,162.4,2008,37,2
94,97.3,171.7,2275,34,2
94,97.3,171.7,2319,42,2
137,86.6,144.6,1819,38,2
194,91.3,170.7,3071,25,3
256,94.5,165.7,2221,29,3
145,95.9,173.2,2811,24,3
153,96.3,173,2370,30,3
153,96.3,173,2328,32,3
197,102.9,183.5,3016,24,3
142,96.6,180.3,3685,18,3
197,102.9,183.5,2976,24,3
194,91.3,170.7,3139,23,3
150,99.1,186.6,2658,28,3
186,94.5,168.9,2778,27,3
