@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Length numeric
@attribute Engine-size numeric
@attribute Compression-ratio numeric
@attribute Peak-rpm numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,rwd,188.8,141,9.5,5400,12940,-2
volvo,rwd,188.8,130,7.5,5100,18420,-2
volvo,rwd,188.8,141,9.5,5400,15985,-2
dodge,fwd,174.6,122,8.5,5000,8921,-1
plymouth,fwd,174.6,122,8.5,5000,8921,-1
toyota,fwd,175.6,122,8.7,4200,9988,-1
toyota,fwd,175.6,110,22.5,4500,10698,-1
volvo,rwd,188.8,141,9.5,5400,16515,-1
toyota,fwd,175.6,122,8.7,4200,8948,-1
toyota,rwd,187.8,171,9.2,5200,15690,-1
mitsubishi,fwd,172.4,110,7.5,5500,9279,-1
mercedes-benz,rwd,190.9,183,21.5,4350,28248,-1
toyota,fwd,175.6,122,8.7,4200,11248,-1
volvo,rwd,188.8,145,23,4800,22470,-1
volvo,rwd,188.8,141,9.5,5400,22625,-1
mercedes-benz,rwd,202.6,183,21.5,4350,31600,-1
volvo,rwd,188.8,130,7.5,5100,18950,-1
toyota,fwd,175.6,122,8.7,4200,10898,-1
volvo,rwd,188.8,173,8.8,5500,21485,-1
volvo,rwd,188.8,141,9.5,5400,16845,-1
mercedes-benz,rwd,190.9,183,21.5,4350,25552,-1
subaru,4wd,172,108,9,4800,9233,0
toyota,fwd,166.3,98,9,4800,6938,0
honda,fwd,163.4,92,9.2,6000,7295,0
honda,fwd,157.1,92,9.2,6000,7295,0
mazda,fwd,177.8,122,8.6,4800,10245,0
peugot,rwd,186.7,152,21,4150,17950,0
toyota,fwd,166.3,98,9,4800,9258,0
toyota,fwd,166.3,98,9,4800,7198,0
toyota,4wd,169.7,92,9,4800,8778,0
subaru,4wd,173.6,108,7.7,4800,11694,0
peugot,rwd,186.7,120,8.4,5000,16630,0
honda,fwd,167.5,110,9,5800,9095,0
toyota,fwd,166.3,110,22.5,4500,7898,0
toyota,4wd,169.7,92,9,4800,7898,0
toyota,fwd,166.3,110,22.5,4500,7788,0
nissan,fwd,173.4,120,8.5,5200,8949,0
subaru,4wd,172,108,7.7,4800,11259,0
subaru,fwd,173.5,108,9,4800,7463,0
toyota,fwd,169.7,92,9,4800,6918,0
nissan,fwd,181.7,181,9,5200,13499,0
nissan,fwd,184.6,181,9,5200,13499,0
subaru,fwd,173.5,108,9,5200,10198,0
peugot,rwd,186.7,120,8.4,5000,15580,0
toyota,fwd,166.3,98,9,4800,8358,0
honda,fwd,175.4,110,9,5800,8845,0
mazda,fwd,177.8,122,8.6,4800,8495,0
honda,fwd,175.4,110,9,5800,12945,0
peugot,rwd,186.7,152,21,4150,13200,0
subaru,4wd,173.6,108,9,4800,8013,0
jaguar,rwd,199.6,258,8.1,4750,32250,0
bmw,rwd,176.8,164,9,4250,21105,0
mazda,rwd,175,140,8,5000,18280,0
mercedes-benz,rwd,187.5,183,21.5,4350,28176,0
