@relation automobile

@attribute Normalized-losses numeric
@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Num-of-doors {four,two}
@attribute Wheel-base numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Peak-rpm numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,volvo,four,104.3,mpfi,5400,-2
103,volvo,four,104.3,mpfi,5100,-2
103,volvo,four,104.3,mpfi,5400,-2
95,volvo,four,109.1,mpfi,5500,-1
74,volvo,four,104.3,mpfi,5400,-1
65,toyota,four,102.4,idi,4500,-1
95,volvo,four,109.1,mpfi,5400,-1
65,toyota,four,102.4,mpfi,4200,-1
90,toyota,four,104.5,mpfi,5200,-1
65,toyota,four,102.4,mpfi,4200,-1
65,toyota,four,102.4,mpfi,4200,-1
74,plymouth,four,103.3,2bbl,5000,-1
93,mercedes-benz,four,110,idi,4350,-1
95,volvo,four,109.1,mpfi,5400,-1
95,volvo,four,109.1,idi,4800,-1
137,mitsubishi,four,96.3,spdi,5500,-1
93,mercedes-benz,four,115.6,idi,4350,-1
95,volvo,four,109.1,mpfi,5300,-1
65,toyota,four,102.4,mpfi,4200,-1
110,dodge,four,103.3,2bbl,5000,-1
93,mercedes-benz,four,110,idi,4350,-1
102,subaru,four,97,2bbl,4800,0
85,subaru,four,96.9,mpfi,4800,0
91,toyota,four,95.7,2bbl,4800,0
89,subaru,four,97,2bbl,4800,0
77,toyota,four,95.7,2bbl,4800,0
85,honda,four,96.5,1bbl,5800,0
91,toyota,four,95.7,2bbl,4800,0
89,subaru,four,97,mpfi,5200,0
91,toyota,four,95.7,2bbl,4800,0
91,toyota,four,95.7,idi,4500,0
161,peugot,four,107.9,idi,4150,0
192,bmw,four,101.2,mpfi,5800,0
106,nissan,four,97.2,2bbl,5200,0
108,nissan,four,100.4,mpfi,5200,0
108,nissan,four,100.4,mpfi,5200,0
161,peugot,four,107.9,mpfi,5000,0
161,peugot,four,107.9,idi,4150,0
102,subaru,four,97.2,2bbl,4400,0
106,honda,two,96.5,1bbl,5800,0
161,peugot,four,108,mpfi,5600,0
91,toyota,four,95.7,2bbl,4800,0
115,mazda,four,98.8,2bbl,4800,0
81,toyota,four,95.7,2bbl,4800,0
102,subaru,four,97,mpfi,4800,0
91,toyota,four,95.7,idi,4500,0
188,bmw,two,101.2,mpfi,4250,0
161,peugot,four,107.9,mpfi,5000,0
91,toyota,four,95.7,2bbl,4800,0
161,peugot,four,107.9,mpfi,5000,0
