@relation automobile

@attribute Make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute Aspiration {std,turbo}
@attribute Num-of-doors {four,two}
@attribute Drive-wheels {4wd,fwd,rwd}
@attribute Height numeric
@attribute Fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute Peak-rpm numeric
@attribute Price numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
volvo,turbo,four,rwd,56.2,mpfi,5100,18420,-2
volvo,std,four,rwd,56.2,mpfi,5400,15985,-2
volvo,std,four,rwd,56.2,mpfi,5400,12940,-2
toyota,turbo,four,fwd,54.9,idi,4500,10698,-1
toyota,std,four,fwd,54.9,mpfi,4200,10898,-1
volvo,turbo,four,rwd,57.5,mpfi,5100,18950,-1
volvo,turbo,four,rwd,55.5,mpfi,5400,22625,-1
volvo,turbo,four,rwd,55.5,mpfi,5300,19045,-1
mercedes-benz,turbo,four,rwd,56.3,idi,4350,31600,-1
volvo,std,four,rwd,57.5,mpfi,5400,13415,-1
volvo,turbo,four,rwd,55.5,idi,4800,22470,-1
toyota,std,four,fwd,54.9,mpfi,4200,8948,-1
mercedes-benz,turbo,four,rwd,56.5,idi,4350,25552,-1
plymouth,std,four,fwd,59.8,2bbl,5000,8921,-1
toyota,std,four,fwd,53.9,mpfi,4200,9988,-1
mercedes-benz,turbo,four,rwd,58.7,idi,4350,28248,-1
volvo,std,four,rwd,55.5,mpfi,5400,16845,-1
volvo,std,four,rwd,55.5,mpfi,5500,21485,-1
mitsubishi,std,four,fwd,51.6,spdi,5500,9279,-1
toyota,std,four,rwd,54.1,mpfi,5200,15690,-1
volvo,std,four,rwd,57.5,mpfi,5400,16515,-1
subaru,std,four,fwd,52.5,mpfi,5200,9960,0
subaru,std,four,fwd,53,mpfi,5200,10198,0
nissan,std,four,fwd,55.1,mpfi,5200,13499,0
subaru,std,four,4wd,54.3,2bbl,4800,9233,0
honda,std,four,fwd,58.3,1bbl,6000,7295,0
subaru,std,four,fwd,52.5,2bbl,4800,7126,0
peugot,turbo,four,rwd,56.7,idi,4150,17950,0
honda,std,four,fwd,54.1,mpfi,5800,12945,0
toyota,std,four,fwd,52.8,2bbl,4800,9258,0
mazda,std,four,fwd,55.5,2bbl,4800,10245,0
toyota,std,four,fwd,52.8,2bbl,4800,7198,0
toyota,std,four,fwd,53,2bbl,4800,7738,0
honda,std,four,fwd,54.1,1bbl,5800,8845,0
peugot,std,four,rwd,56.7,mpfi,5000,11900,0
bmw,std,four,rwd,54.3,mpfi,4250,21105,0
jaguar,std,four,rwd,52.8,mpfi,4750,32250,0
subaru,std,four,fwd,53,2bbl,4800,7463,0
