@relation automobile

@attribute Normalized-losses numeric
@attribute Aspiration {std,turbo}
@attribute Curb-weight numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,std,2935,28,-2
103,turbo,3045,22,-2
103,std,2912,28,-2
65,std,2458,32,-1
93,turbo,3770,25,-1
74,std,2535,30,-1
95,turbo,3062,25,-1
137,std,2403,30,-1
74,std,3034,28,-1
65,std,2414,32,-1
90,std,3131,24,-1
95,std,3012,23,-1
74,std,3042,28,-1
65,turbo,2480,33,-1
95,turbo,3049,25,-1
95,std,2952,28,-1
74,turbo,3157,22,-1
110,std,2535,30,-1
93,turbo,3750,25,-1
65,std,2326,34,-1
95,turbo,3217,27,-1
81,std,2290,32,0
78,std,2024,34,0
108,std,3296,22,0
106,std,2324,34,0
91,std,2109,37,0
102,std,2190,33,0
91,std,2275,47,0
161,turbo,3197,33,0
188,std,2710,28,0
85,std,2420,29,0
91,std,2094,47,0
128,std,3095,22,0
106,std,2289,33,0
161,turbo,3252,33,0
85,std,2304,33,0
102,std,2385,25,0
77,std,2280,37,0
89,std,2455,31,0
91,std,2122,34,0
102,std,2340,32,0
110,std,2010,34,0
91,std,3110,32,0
106,std,2236,33,0
161,std,3075,24,0
145,std,4066,19,0
161,turbo,3130,24,0
85,std,2372,33,0
108,std,3060,25,0
115,std,2410,32,0
115,std,2410,32,0
91,std,2081,37,0
102,turbo,2510,29,0
81,std,1909,43,0
161,std,3020,24,0
102,std,2145,37,0
106,std,2302,34,0
118,std,2670,27,0
93,turbo,3495,25,0
91,std,2140,34,0
91,std,2275,36,0
85,turbo,2650,23,0
115,std,2425,32,0
192,std,2395,29,0
168,std,2169,34,1
101,std,1837,42,1
231,std,3139,25,1
98,std,1874,43,1
161,turbo,2145,30,1
128,std,2028,37,1
125,std,2365,32,1
154,std,1989,38,1
101,std,1956,34,1
103,std,2037,37,1
168,std,2204,34,1
148,std,1989,38,1
122,std,1971,37,1
122,std,1938,37,1
148,std,1989,38,1
74,std,2015,38,1
113,std,1945,38,1
128,std,1951,37,1
104,std,1900,38,1
104,std,1890,31,1
129,std,2385,32,1
128,std,2017,50,1
107,std,2293,31,1
129,std,2385,32,1
168,std,2265,29,1
154,std,2191,38,1
125,std,2405,32,1
118,std,1876,41,1
125,turbo,2403,30,1
113,std,1950,38,1
128,std,1889,37,1
119,turbo,2128,30,1
154,std,1967,38,1
104,std,1905,38,1
87,std,2040,38,1
158,turbo,3086,20,1
118,std,1876,38,1
118,turbo,2128,30,1
87,std,1985,39,1
119,std,1918,41,1
94,std,2275,34,2
192,std,2395,29,2
122,std,2209,34,2
134,std,2536,30,2
134,std,2540,30,2
121,std,1488,53,2
104,turbo,2847,26,2
161,std,1918,41,2
134,std,2714,30,2
164,std,2337,30,2
168,std,2008,37,2
161,std,1944,38,2
134,std,2551,30,2
134,std,2679,30,2
83,std,2240,31,2
137,std,1819,38,2
134,std,2975,30,2
122,std,2261,46,2
94,std,2212,34,2
83,std,2050,36,2
94,turbo,2319,42,2
94,std,2264,46,2
83,std,2120,31,2
137,std,1713,54,2
104,std,2758,28,2
104,std,2695,28,2
256,std,2221,29,3
197,std,3016,24,3
194,std,3071,25,3
145,turbo,2811,24,3
150,std,2707,28,3
150,std,2658,28,3
197,std,2976,24,3
153,turbo,2370,30,3
150,turbo,2808,26,3
142,std,3685,18,3
194,turbo,3139,23,3
