@relation automobile

@attribute Num-of-doors {four,two}
@attribute Curb-weight numeric
@attribute Bore numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
four,2912,3.78,23,28,-2
four,2935,3.78,24,28,-2
four,3045,3.62,17,22,-2
four,2458,3.31,27,32,-1
four,3062,3.78,19,25,-1
four,3770,3.58,22,25,-1
four,3131,3.27,20,24,-1
four,3157,3.62,17,22,-1
four,2535,3.35,24,30,-1
four,3049,3.78,19,25,-1
four,2535,3.34,24,30,-1
four,3750,3.58,22,25,-1
four,2326,3.31,29,34,-1
four,3034,3.78,23,28,-1
four,3217,3.01,26,27,-1
four,2480,3.27,30,33,-1
four,2414,3.31,27,32,-1
four,2403,3.17,23,30,-1
four,2952,3.78,23,28,-1
four,3012,3.58,18,23,-1
four,3042,3.78,24,28,-1
four,2275,3.27,34,36,0
four,2109,3.19,30,37,0
four,2410,3.39,26,32,0
four,2510,3.62,24,29,0
four,2340,3.62,26,32,0
four,3197,3.7,28,33,0
four,2024,2.92,30,34,0
four,2455,3.62,25,31,0
four,2280,3.05,31,37,0
four,2140,3.19,28,34,0
four,3095,3.43,17,22,0
four,2010,2.91,30,34,0
two,2289,3.15,27,33,0
four,3110,3.05,27,32,0
four,3296,3.43,17,22,0
four,2410,3.39,26,32,0
four,2425,3.39,26,32,0
four,2324,3.33,27,34,0
four,2275,3.27,38,47,0
four,4066,3.63,15,19,0
four,2190,3.62,28,33,0
four,2670,3.76,19,27,0
four,2372,3.15,27,33,0
two,3495,3.58,22,25,0
four,2290,3.05,27,32,0
four,2385,3.62,24,25,0
four,2302,3.33,27,34,0
four,3020,3.46,19,24,0
four,2081,3.19,30,37,0
four,2122,3.19,28,34,0
four,2304,3.15,27,33,0
four,2094,3.19,38,47,0
four,2650,3.62,23,23,0
two,2236,3.15,27,33,0
four,3060,3.43,19,25,0
two,2710,3.31,21,28,0
four,2395,3.5,23,29,0
four,1909,3.03,38,43,0
four,3130,3.61,18,24,0
four,3075,3.46,19,24,0
four,3252,3.7,28,33,0
four,2145,3.62,32,37,0
four,2420,3.62,23,29,0
two,2385,3.39,26,32,1
two,2169,3.19,29,34,1
two,2128,3.03,24,30,1
two,1890,3.03,30,31,1
four,2403,3.17,23,30,1
two,1900,3.03,31,38,1
four,1950,3.08,31,38,1
two,3139,3.43,19,25,1
two,1874,3.03,38,43,1
two,1951,3.15,31,37,1
two,2028,3.15,31,37,1
four,1967,2.97,31,38,1
four,1989,2.97,31,38,1
four,1945,3.03,31,38,1
four,2365,3.35,25,32,1
four,1989,2.97,31,38,1
two,1837,2.91,38,42,1
four,3086,3.13,17,20,1
two,2204,3.19,29,34,1
two,2128,3.03,24,30,1
two,2385,3.39,26,32,1
two,1876,2.97,31,38,1
two,2017,2.99,45,50,1
two,2265,3.24,26,29,1
four,2037,3.15,31,37,1
two,2293,3.15,25,31,1
two,1956,2.91,30,34,1
four,2405,3.35,25,32,1
two,1905,3.03,31,38,1
two,2145,3.03,24,30,1
two,1889,3.15,31,37,1
two,1876,2.97,37,41,1
two,1985,3.05,35,39,1
four,1938,3.15,31,37,1
four,1971,3.15,31,37,1
four,2191,2.97,31,38,1
four,2015,3.05,31,38,1
four,1989,2.97,31,38,1
two,1918,2.97,37,41,1
two,2040,3.05,31,38,1
two,2008,3.15,31,37,2
four,2212,3.19,27,34,2
two,2536,3.62,24,30,2
four,2319,3.01,37,42,2
two,1713,2.91,49,54,2
two,2540,3.62,24,30,2
four,2337,3.19,24,30,2
four,2758,3.54,21,28,2
two,1918,2.97,37,41,2
two,1819,2.91,31,38,2
four,2275,3.19,27,34,2
two,2120,3.62,26,31,2
two,2050,3.62,31,36,2
two,2261,3.01,37,46,2
two,2551,3.62,24,30,2
four,2847,3.54,19,26,2
two,2714,3.62,24,30,2
two,2395,3.5,23,29,2
four,2695,3.54,21,28,2
two,1488,2.91,47,53,2
two,2679,3.62,24,30,2
two,2209,3.19,27,34,2
four,2264,3.01,37,46,2
two,2240,3.62,26,31,2
two,2975,3.62,24,30,2
two,1944,2.97,31,38,2
two,2811,3.6,19,24,3
two,2976,3.27,20,24,3
two,2370,3.17,23,30,3
two,3071,3.43,19,25,3
two,2658,3.54,21,28,3
two,2221,3.19,24,29,3
two,2808,3.54,19,26,3
two,2707,2.54,21,28,3
two,3016,3.27,19,24,3
two,3139,3.43,17,23,3
two,3685,3.46,16,18,3
