@relation automobile

@attribute Normalized-losses numeric
@attribute Length numeric
@attribute Width numeric
@attribute Height numeric
@attribute Num-of-cylinders {eight,five,four,six,three,twelve,two}
@attribute Compression-ratio numeric
@attribute City-mpg numeric
@attribute Highway-mpg numeric
@attribute Symboling {-2,-1,0,1,2,3}

@data
103,188.8,67.2,56.2,four,9.5,24,28,-2
103,188.8,67.2,56.2,four,9.5,23,28,-2
103,188.8,67.2,56.2,four,7.5,17,22,-2
65,175.6,66.5,53.9,four,8.7,27,32,-1
74,174.6,64.6,59.8,four,8.5,24,30,-1
65,175.6,66.5,54.9,four,8.7,29,34,-1
93,202.6,71.7,56.3,five,21.5,22,25,-1
93,190.9,70.3,58.7,five,21.5,22,25,-1
65,175.6,66.5,54.9,four,22.5,30,33,-1
93,190.9,70.3,56.5,five,21.5,22,25,-1
95,188.8,68.9,55.5,six,8.8,18,23,-1
90,187.8,66.5,54.1,six,9.2,20,24,-1
137,172.4,65.4,51.6,four,7.5,23,30,-1
74,188.8,67.2,57.5,four,9.5,24,28,-1
110,174.6,64.6,59.8,four,8.5,24,30,-1
95,188.8,68.9,55.5,four,9.5,23,28,-1
95,188.8,68.9,55.5,six,23,26,27,-1
95,188.8,68.9,55.5,four,9.5,19,25,-1
74,188.8,67.2,57.5,four,7.5,17,22,-1
65,175.6,66.5,53.9,four,8.7,27,32,-1
65,175.6,66.5,54.9,four,8.7,27,32,-1
145,199.6,69.6,52.8,six,8.1,15,19,0
161,186.7,68.4,56.7,four,8.4,19,24,0
91,169.7,63.6,59.1,four,9,27,32,0
161,186.7,68.4,56.7,four,21,28,33,0
81,169.7,63.6,59.1,four,9,27,32,0
161,186.7,68.4,56.7,four,8.4,19,24,0
85,173.6,65.4,54.9,four,9,23,29,0
81,158.8,63.6,52,four,9.6,38,43,0
106,173.4,65.2,54.7,four,8.5,27,34,0
115,177.8,66.5,55.5,four,8.6,26,32,0
108,184.6,66.5,56.1,six,9,17,22,0
192,176.8,64.8,54.3,four,8.8,23,29,0
161,186.7,68.4,56.7,four,21,28,33,0
91,166.3,64.4,52.8,four,9,28,34,0
85,175.4,65.2,54.1,four,9,24,28,0
78,157.1,63.9,58.3,four,9.2,30,34,0
91,166.3,64.4,53,four,22.5,34,36,0
91,166.3,64.4,52.8,four,22.5,38,47,0
85,175.4,65.2,54.1,four,9,27,33,0
102,172,65.4,52.5,four,9.5,28,33,0
77,169.7,63.6,59.1,four,9,31,37,0
91,166.3,64.4,52.8,four,9,30,37,0
128,181.7,66.5,55.1,six,9,17,22,0
93,187.5,70.3,54.9,five,21.5,22,25,0
91,166.3,64.4,53,four,9,30,37,0
161,186.7,68.3,56,four,7,18,24,0
91,166.3,64.4,53,four,9,38,47,0
102,172,65.4,54.3,four,7.7,24,29,0
110,163.4,64,54.5,four,9.2,30,34,0
161,186.7,68.4,56.7,four,8.4,19,24,0
102,172,65.4,52.5,four,9.5,32,37,0
89,173.5,65.4,53,four,9,25,31,0
91,166.3,64.4,52.8,four,9,28,34,0
108,184.6,66.5,55.1,six,9,19,25,0
115,177.8,66.5,55.5,four,8.6,26,32,0
89,173.5,65.4,53,four,9,28,32,0
118,175,66.1,54.4,four,8,19,27,0
161,186.7,68.4,56.7,four,21,28,33,0
85,173.6,65.4,54.9,four,7.7,23,23,0
102,172,65.4,54.3,four,9,24,25,0
106,167.5,65.2,53.3,four,9,27,33,0
188,176.8,64.8,54.3,six,9,21,28,0
122,165.3,63.8,54.5,four,9.4,31,37,1
104,159.1,64.2,54.1,four,9,30,31,1
129,177.8,66.5,53.7,four,8.6,26,32,1
101,150,64,52.6,four,9.2,30,34,1
