@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,18,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
218,178,59.62963,0.318996,6
29,111,5.407407,0.564153,1
1,81,21.333334,0.595282,3
207,115,1.222222,0.933333,5
214,246,17.518518,0.391548,7
245,249,14.740741,0.406212,7
121,60,26.74074,0.4223,1
90,101,20.074074,0.404038,1
180,224,15.185185,0.443375,7
112,90,65.18519,0.278345,4
37,120,1.925926,0.962963,3
54,140,8.333333,0.73447,3
48,81,112.92593,0.19308,2
235,196,47.25926,0.294238,6
147,87,43.333332,0.319706,4
211,107,16.74074,0.547173,5
14,28,110.48148,0.253299,2
28,131,5.185185,0.566138,1
73,19,127.51852,0.185539,2
156,188,61.25926,0.300242,6
22,87,64.03704,0.3097,4
248,53,134.77777,0.121119,2
103,216,14.555555,0.431696,7
212,94,15.62963,0.57666,5
24,205,56.074074,0.303912,6
123,143,0.407407,0.777778,3
71,95,9.518518,0.698902,3
216,78,36.11111,0.33971,4
168,40,0,0,5
202,193,41.703705,0.278387,6
47,175,23.74074,0.351487,7
56,107,7.962963,0.730592,3
51,115,2.703704,0.917989,3
209,94,9.111111,0.619713,5
178,43,125.25926,0.174948,2
114,181,19.925926,0.366581,7
160,187,49.48148,0.297341,6
109,130,13.037037,0.548124,4
219,133,9.851851,0.627269,5
148,116,6.111111,0.544733,1
140,34,105.48148,0.283524,2
169,104,18.518518,0.314713,5
186,218,13.703704,0.401347,7
81,145,13.444445,0.532728,3
133,181,41.25926,0.265619,6
159,40,125.14815,0.193665,2
164,49,126.18519,0.179413,2
175,14,113.81481,0.24216,2
68,115,26.037037,0.523538,3
122,91,22.481482,0.420716,1
42,59,21.814816,0.445142,1
110,196,52.48148,0.29763,6
215,219,13.222222,0.494595,7
20,170,19.555555,0.387467,7
167,45,101.22222,0.297414,2
78,128,49.925926,0.340237,4
167,190,51.074074,0.298958,6
174,115,29.481482,0.421493,5
128,140,27.666666,0.266206,4
178,16,112.96296,0.239899,2
147,111,5.666666,0.59127,1
11,62,66.77778,0.32276,4
173,158,8.37037,0.472975,4
26,120,1.333333,0.984127,3
229,175,33,0.286834,6
173,93,0,0,5
49,240,20.444445,0.445808,7
101,137,1.148148,0.95,3
122,106,23.037037,0.423346,1
97,126,6.481482,0.551587,1
237,137,0.666667,1,3
86,20,65.18519,0.309556,4
201,161,41.814816,0.302983,6
225,244,12.259259,0.480149,7
28,188,29.962963,0.275863,6
66,160,22.851852,0.426014,4
17,98,1.518519,0.916667,3
252,195,47.666668,0.288788,6
161,147,0,0,5
25,18,114.14815,0.225725,2
142,100,22.222221,0.421994,1
69,59,23.851852,0.415301,1
228,91,2.62963,0.939815,3
231,123,5.814815,0.531746,1
65,70,112.51852,0.186099,2
66,160,22.851852,0.426014,4
217,130,21.37037,0.505441,4
184,91,24.074074,0.48999,5
72,118,5.481482,0.545855,1
71,113,5.481482,0.580026,1
169,136,2.074074,0.877513,5
250,87,11.148149,0.659329,5
203,83,17.074074,0.481852,5
88,91,104.888885,0.250204,2
112,77,107.62963,0.250143,2
99,160,28.037037,0.367514,7
20,70,18.592592,0.476884,3
229,124,5.888889,0.545855,1
207,97,2.62963,0.915344,3
112,18,113.77778,0.213257,2
152,152,1.407407,0.439153,5
164,83,66.25926,0.260329,4
187,80,40.51852,0.24473,4
9,76,2.444444,0.872222,3
161,144,0,0,5
113,123,59.333332,0.299164,4
253,150,0,0,5
168,187,58,0.29965,6
166,135,1.407407,0.972222,5
14,136,0,0,3
141,31,126.81481,0.170718,2
16,190,29.62963,0.30039,6
196,100,8.148149,0.738034,3
176,233,12.481482,0.554881,7
100,115,2.740741,0.954365,3
240,75,38.037037,0.464912,3
134,187,59.37037,0.307458,6
228,143,5.296296,0.556437,1
95,191,60.25926,0.320865,6
251,215,12.407408,0.441049,7
212,235,25.88889,0.351881,7
115,81,105.92593,0.26422,2
118,21,65.888885,0.25706,4
134,93,20.925926,0.44338,5
112,30,113.25926,0.225384,2
139,187,60.444443,0.292692,6
165,119,29.481482,0.425713,5
72,31,135.92592,0.107616,2
67,34,54.25926,0.34747,4
170,154,0.074074,0.222222,5
240,79,32.77778,0.489062,3
54,91,3.259259,0.944811,3
87,135,0.962963,1,3
35,42,22.592592,0.462752,1
99,149,21.37037,0.445172,4
120,89,10.481482,0.686685,3
229,124,5.888889,0.545855,1
34,164,11.333333,0.367923,7
198,148,1.777778,0.612963,5
3,91,5.62963,0.829748,3
245,78,30.185184,0.392034,4
136,92,15.407408,0.53355,5
163,177,24.518518,0.321139,7
94,127,2.740741,0.915344,3
114,193,57.814816,0.314092,6
