@relation segment

@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
25,0.222222,1
23.666666,-2.555556,1
6.888889,4.444445,1
6.222222,5.111111,1
29.777779,-3.333333,1
6.666666,5.222222,1
6.444445,3.666667,1
6.666666,4.555555,1
6.666666,5.333334,1
25.666666,-2.444444,1
30.222221,-1.444444,1
38.333336,-12.888889,1
32.22222,-3.555556,1
21.444445,2.888889,1
25.444445,-0.777778,1
23.666666,1.333333,1
7.444445,3.333333,1
21,4.333334,1
25.88889,-1.333333,1
21,2.666667,1
22.555555,2.666667,1
6.222222,3.666667,1
27.222221,-1.888889,1
8.111112,3.333333,1
32.333336,-3.222222,1
30,-0.888889,1
37.666668,-7.555555,1
5.444445,6,1
6.444445,5.777778,1
29.777779,-2.888889,1
26.11111,-1.111111,1
20,2.444444,1
31.333334,-4.777778,1
7,4,1
24.11111,0.444444,1
30.11111,-4.333334,1
6.666666,4.333334,1
7.333334,4.666666,1
16.88889,7.222222,1
6.666666,4,1
29.88889,-3.111111,1
31.666666,-2.555556,1
24,-0.333333,1
35.22222,-6.222222,1
28.222221,-2.777778,1
6.111111,4.666666,1
25.11111,-4,1
23.333334,2.555556,1
7.111111,3.666667,1
7.111111,3.666667,1
30.666666,-3.222222,1
27.88889,0.888889,1
6.888889,3.888889,1
6.666666,3.222222,1
26.222221,0,1
24.88889,-0.444444,1
19.88889,4.222222,1
34.444447,-6,1
5.444445,4.777778,1
7.444445,4,1
5.444445,5.555555,1
20.777779,2.555556,1
30.444445,-2.333333,1
28.444445,-3.444444,1
7.666666,2.888889,1
7,3,1
26.777779,-4.444445,1
29.777779,-5.111111,1
25.222221,-4.222222,1
26.666666,-0.222222,1
28.777779,-1.444444,1
5.333334,4.333334,1
7,4.777778,1
6.444445,5.666666,1
30,-3.888889,1
21.88889,2.777778,1
30.11111,-2,1
6.777778,5,1
35.77778,-8.777778,1
27.777779,-1.666667,1
31.222221,-5.555555,1
23.777779,0.222222,1
21,1.555556,1
8.666667,-4,1
5.777778,3.555556,1
21.11111,4,1
35.88889,-6.111111,1
8.111112,2.333333,1
6.777778,4,1
6.333334,4.444445,1
5.777778,4.555555,1
24.666666,1.444444,1
4,4.888889,1
8,3.555556,1
25,0.777778,1
28.444445,-2,1
21.88889,2.777778,1
31.333334,-2.222222,1
34.444447,-6.666666,1
26,1.777778,1
7.666666,3,1
5.222222,5.111111,1
7.777778,3.222222,1
7.222222,5.111111,1
25.444445,-0.777778,1
31.11111,-5.333334,1
25.444445,-1.222222,1
31.555555,-3.111111,1
7.444445,3,1
22.777779,3.777778,1
7.444445,4,1
23,2.444444,1
8,4.444445,1
28.666666,-4.111111,1
24.11111,2.333333,1
24.555555,0.111111,1
27.333334,-2.777778,1
8.222222,3.222222,1
6.666666,-0.777778,1
27.333334,0.666667,1
27.444445,-2,1
7.222222,4.333334,1
6.333334,4.444445,1
6.222222,4.111111,1
25.777779,-1.777778,1
6.111111,3.888889,1
5.222222,5.888889,1
8.777778,3.444444,1
6.555555,4.777778,1
35.22222,-6.222222,1
8.555555,3,1
21.88889,1.888889,1
28.777779,-4.222222,1
5.555555,0.888889,1
6.222222,4.777778,1
7.555555,1.666667,1
36.22222,-8.444445,1
6.666666,4,1
28.555555,-1.666667,1
6,4.444445,1
7.222222,3.555556,1
36.88889,-8.888889,1
11.888889,-5.888889,1
6.333334,4.888889,1
29.777779,-2.888889,1
17.11111,4.777778,1
5.444445,5.444445,1
25.88889,0.333333,1
5.888889,4.555555,1
30.222221,-4.888889,1
7,3.444444,1
25.11111,0,1
7.333334,4.222222,1
7.666666,2.888889,1
7.222222,4.333334,1
38.22222,-9.222222,1
31.88889,-4.222222,1
20,5.888889,1
22.88889,3,1
29,-3.555556,1
30,-2,1
6.444445,5.777778,1
20.11111,5.333334,1
29.88889,-4.222222,1
30,-0.888889,1
21.444445,2.888889,1
7,3.444444,1
6.888889,4.444445,1
30.444445,-4.666666,1
5.777778,4.555555,1
7.444445,4.777778,1
5,3.777778,1
6.444445,4.444445,1
27.555555,-1.444444,1
7.333334,4.666666,1
32.555557,-5.444445,1
7.333334,4.666666,1
8.222222,4.444445,1
7.444445,4,1
7.222222,4.333334,1
37.666668,-10.777778,1
24.777779,-1.333333,1
8.222222,3.222222,1
28.333334,-2.666667,1
6.444445,4.777778,1
8.666667,3.777778,1
19.88889,5.666666,1
30.333334,-1.666667,1
21.777779,-2.666667,1
26.777779,-2.111111,1
20.666668,3.444444,1
7.222222,4.111111,1
27.555555,-1.444444,1
25.222221,-4.222222,1
24.666666,0.444444,1
27.333334,-1.666667,1
6.333334,0.333333,1
6.555555,4.777778,1
28.88889,-1.444444,1
7.666666,3.444444,1
23,-0.111111,1
6.444445,5.222222,1
6.666666,5,1
29.222221,-2.666667,1
24.444445,0.333333,1
24.11111,-0.888889,1
30.777779,-2.555556,1
6.666666,4.111111,1
28.11111,-3,1
27.11111,-1,1
26.666666,-1.444444,1
29.333334,-2.222222,1
7.888889,4.666666,1
22.11111,2,1
27.222221,-1.333333,1
29.666666,-6.111111,1
8.444445,2.777778,1
34.77778,-7.888889,1
30.88889,-3.555556,1
26.777779,-2.555556,1
32.555557,-7,1
27.88889,-6.333334,1
5.555555,4.666666,1
23.555555,1.888889,1
8.666667,-4,1
8.777778,-4.222222,1
24.11111,1.888889,1
7.333334,4.666666,1
28.444445,-1.333333,1
36,-9.333333,1
6.555555,3.111111,1
6.777778,5.444445,1
23.222221,1.555556,1
6.555555,5.333334,1
7.333334,3.666667,1
22.222221,3.444444,1
25.555555,0.777778,1
27.777779,-2.888889,1
6.111111,5.222222,1
7.555555,5.333334,1
21.11111,4,1
9.222222,-1.111111,1
27.11111,-0.666667,1
7.111111,4.111111,1
31.11111,-5.333334,1
6.222222,4.444445,1
5.444445,5.666666,1
35.11111,-9.222222,1
7.888889,4,1
28,-2.111111,1
26.333334,-0.333333,1
7.333334,4.222222,1
28.777779,-4.111111,1
5.222222,4.888889,1
7.777778,5,1
35.444447,-7.333334,1
26.666666,-0.222222,1
7.222222,4.555555,1
28.777779,-3.111111,1
26.333334,0.888889,1
6.666666,4.111111,1
28.777779,-1.111111,1
31,-4,1
8.222222,2.666667,1
26.88889,-0.444444,1
4.777778,4.555555,1
7.222222,4.555555,1
6.888889,4.333334,1
7.333334,4.444445,1
6.777778,5.666666,1
7.888889,4,1
5.666666,6.777778,1
34.444447,-5.555555,1
6.555555,3.111111,1
6.888889,5.222222,1
34.444447,-4.888889,1
19.444445,6.222222,1
25.88889,-1.333333,1
23.88889,-0.555556,1
23.222221,1.111111,1
7.666666,3.888889,1
6.333334,4.666666,1
35,-6.777778,1
5.666666,5.333334,1
34.444447,-4.888889,1
24.222221,-0.888889,1
27.777779,-3.777778,1
6.888889,4.111111,1
7.222222,5.444445,1
6.777778,3.444444,1
19.11111,4.555555,1
31.11111,-7.777778,1
7.777778,5,1
28.88889,-2.222222,1
30.555555,-3.111111,1
27.333334,-0.777778,1
8,4.555555,1
141.77779,-30.11111,2
125.77778,-38.333332,2
141,-30.88889,2
142.22223,-35.11111,2
141.66667,-31.11111,2
130.88889,-41.666668,2
128.11111,-38.11111,2
128,-25.222221,2
145.33334,-28.666666,2
140.88889,-34,2
131,-40.22222,2
147.22223,-25.444445,2
147.88889,-16.555555,2
123.44444,-37,2
140.22223,-28.777779,2
128.22223,-30.666666,2
130.33334,-46.11111,2
126.111115,-38.11111,2
141.22223,-30.555555,2
142.88889,-35.444443,2
130.66667,-41.22222,2
140.88889,-31.222221,2
118.55556,-47.444443,2
141.77779,-33.666668,2
142.88889,-32.88889,2
146.44444,-18.666666,2
126.22222,-37.333332,2
147.55556,-15.888889,2
146.55556,-14.888889,2
138.44444,-31.666666,2
141,-35.333332,2
140.55556,-30.222221,2
125.22222,-40.444443,2
137.55556,-35.333332,2
140.33334,-26.777779,2
127.333336,-42.77778,2
127.77778,-25.555555,2
126.333336,-43.444443,2
131.11111,-46.88889,2
122.55556,-46.22222,2
124.888885,-32,2
142.44444,-33.666668,2
137.33334,-31.222221,2
125.888885,-40.88889,2
122.44444,-27,2
122,-44.77778,2
146.44444,-22.555555,2
141.88889,-33.444443,2
123.22222,-38.22222,2
145.33334,-27.666666,2
119.333336,-41.666668,2
138.88889,-33.77778,2
121.44444,-43.666668,2
128.11111,-24.444445,2
132.33334,-35.11111,2
132,-40.666668,2
116.888885,-45,2
128.88889,-43.77778,2
141.66667,-29.88889,2
141.88889,-33,2
130.55556,-40.555557,2
118,-43,2
115.55556,-49.11111,2
143.11111,-33.22222,2
128.66667,-41.444443,2
149.88889,-17.222221,2
131.11111,-40.555557,2
128.44444,-47.666668,2
130.11111,-37.444443,2
138.11111,-30.444445,2
129.22223,-31.88889,2
124.55556,-41.444443,2
133,-32.444443,2
138.66667,-34.555557,2
141.66667,-29.88889,2
131.11111,-40.88889,2
127.111115,-36.333332,2
131.22223,-46.22222,2
130.33334,-41.11111,2
147.44444,-19.88889,2
145.77777,-22,2
145.44444,-28.444445,2
142.44444,-36.444443,2
115.888885,-49.666668,2
140.55556,-30.666666,2
142.33334,-30.666666,2
129.55556,-39.77778,2
126.55556,-41.555557,2
118,-43.22222,2
118.666664,-46.77778,2
138.77779,-27.222221,2
145.44444,-23.444445,2
138.88889,-35.88889,2
119.22222,-43.22222,2
132,-32.444443,2
142,-34.88889,2
141.22223,-29.11111,2
125.44444,-38,2
141.66667,-37.666668,2
130.22223,-37.88889,2
140.33334,-33.77778,2
126.55556,-41.555557,2
143.22223,-28.11111,2
129.11111,-39.333332,2
112.111115,-46.88889,2
129,-44.11111,2
140.55556,-33,2
147.22223,-25.444445,2
131.11111,-38.11111,2
116.55556,-46.555557,2
140.88889,-33,2
125.55556,-28.222221,2
126.22222,-39.77778,2
138.88889,-34.22222,2
116.44444,-44.22222,2
140.55556,-33,2
132.11111,-41.11111,2
132.44444,-39.77778,2
146.33334,-20.222221,2
129.33334,-39.333332,2
146.66667,-16.777779,2
139.66667,-31.333334,2
128.33334,-41.88889,2
136.88889,-31.777779,2
146.66667,-19,2
142.77777,-28.444445,2
124.888885,-42.11111,2
142.88889,-27.666666,2
148.88889,-14.111111,2
128.88889,-21.777779,2
145.22223,-23.666666,2
124.111115,-39.22222,2
125.77778,-38.333332,2
143.11111,-33.88889,2
139.77779,-36,2
138.33334,-32.22222,2
141.66667,-34.555557,2
132,-32.444443,2
128.77779,-22,2
128.88889,-40.88889,2
127.333336,-24.555555,2
150.88889,-19.666666,2
141.66667,-30.666666,2
140.44444,-28.777779,2
125.666664,-43.444443,2
141,-30.333334,2
138.77779,-34.444443,2
132.33334,-33.555557,2
140.55556,-27.444445,2
128.77779,-41.666668,2
139.66667,-31.444445,2
139.77779,-33.444443,2
139.77779,-34.666668,2
149.11111,-17.777779,2
140.77779,-36.88889,2
130.55556,-39.333332,2
145.66667,-25.333334,2
149.55556,-19.222221,2
128.88889,-43.77778,2
143.11111,-35.666668,2
125.44444,-38.88889,2
145.33334,-31.444445,2
140.44444,-31,2
125,-44.88889,2
147,-14.888889,2
140,-35.333332,2
135.33334,-35.444443,2
115.333336,-47.666668,2
144.77777,-29,2
127.111115,-28.555555,2
122.22222,-42.666668,2
145.44444,-32.22222,2
131.11111,-40.666668,2
140.66667,-30.333334,2
126.22222,-37.333332,2
146.55556,-16.555555,2
131.44444,-39.11111,2
139.33334,-30.666666,2
145.55556,-17.88889,2
123.22222,-38.77778,2
132.44444,-23,2
146.22223,-15.777778,2
122.22222,-39.11111,2
142.22223,-33.333332,2
129,-40.666668,2
115.666664,-44.444443,2
119.333336,-49.444443,2
127,-40.555557,2
149.88889,-20.11111,2
121.44444,-42,2
122.55556,-36.77778,2
126.111115,-36.22222,2
131.22223,-28.555555,2
142.33334,-32.666668,2
118.77778,-43.333332,2
138.22223,-33.333332,2
143.11111,-32.88889,2
137.77779,-32.555557,2
121.111115,-47.444443,2
147.33334,-22.11111,2
133.33334,-38.666668,2
138.11111,-33.666668,2
127.44444,-37.22222,2
145.44444,-16.88889,2
138.77779,-35.666668,2
146.22223,-18.222221,2
126.22222,-39.77778,2
140.22223,-28,2
124.111115,-38.666668,2
132.88889,-41.22222,2
140.33334,-30.88889,2
132,-40.88889,2
141.33334,-34.22222,2
130.44444,-44.666668,2
138.33334,-29,2
121.44444,-42,2
142,-35.444443,2
139.77779,-36.555557,2
142.66667,-31.666666,2
132.44444,-25,2
135.77779,-36.333332,2
142.55556,-27.555555,2
143.88889,-28.555555,2
118,-43.22222,2
139.33334,-37.77778,2
130.22223,-26.444445,2
132.55556,-38.444443,2
146.55556,-16.555555,2
139,-33,2
127.55556,-27.11111,2
133.77779,-37.77778,2
141.77779,-29.555555,2
141,-30.11111,2
140.11111,-30.333334,2
115.44444,-46.333332,2
129.22223,-31.88889,2
147.22223,-19.444445,2
142.88889,-27.666666,2
121.111115,-43.666668,2
131.11111,-37.77778,2
119.888885,-39.88889,2
