@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,13-14,16,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
248,153,0.37037,0,-1.111111,-1.111111,5
184,145,0.555556,0.111111,-0.666667,-1.333333,5
54,142,1.814815,0.888889,-2.777778,-2.777778,5
48,173,19.222221,24.777779,-8.333333,16.666666,7
239,122,5.555555,3,4.333334,-7.666666,1
184,145,3.407408,2.111111,-3.222222,-3.888889,5
209,249,10.518518,15.888889,-8.888889,16.11111,7
50,199,55.666668,48.11111,-19.666666,-22.666666,6
41,103,61.25926,54.333332,-15.777778,-20.777779,4
98,41,137.14815,133.55556,-19.444445,-10.777778,2
122,123,1.185185,0.222222,-3.555556,-2.888889,3
175,188,55.77778,48.555557,-18.333334,-21.666666,6
200,250,9.222222,13.777778,-8,13.666667,7
187,134,26.703703,22.333334,-19.11111,-13.111111,5
115,111,18.037037,14.333333,-25.11111,-11.111111,3
135,211,17.962963,23.11111,-10.555555,15.444445,7
62,200,61.037037,52.555557,-20.777779,-25.444445,6
182,135,32.703705,28.555555,-12.444445,-12.444445,4
236,102,51.703705,44.555557,-16.444445,-21.444445,4
233,184,11.851851,15.888889,-6.222222,12.111111,7
203,61,7,4.222222,-7.666666,-8.333333,5
243,94,1.185185,0.111111,-2.888889,-3.222222,5
6,174,19.074074,24.333334,-11.888889,15.777778,7
119,85,101.03704,91.77778,-36.77778,-27.777779,2
80,116,21.703703,16.333334,-1.444444,-16.11111,1
20,189,34.11111,29.444445,-12,-14,6
235,86,12.333333,8.111112,-13.666667,-12.666667,5
172,60,123.666664,118.666664,-29,-15,2
181,162,42.185184,38.77778,-17.222221,-10.222222,6
180,141,0.037037,0,-0.111111,-0.111111,5
94,136,2.555556,0.888889,-4.666666,-5,5
66,155,8.259259,6.222222,-7.111111,-6.111111,5
140,73,46.296295,42.11111,-1.888889,-12.555555,4
250,176,53.666668,46.22222,-19.666666,-22.333334,6
83,83,49.851852,44,-11.555555,-17.555555,4
54,133,5.37037,3.444444,-5.111111,-5.777778,5
174,77,135.92592,131.88889,-22.11111,-12.111111,2
157,184,19.444445,24.88889,-12.666667,16.333334,7
200,215,23.037037,29.444445,-17.777779,19.222221,7
227,44,47.814816,42.555557,-14.777778,-15.777778,4
236,193,49.11111,42.77778,-17.333334,-19,6
101,42,137.07408,133.33334,-19.88889,-11.222222,2
160,210,17.481482,22.666666,-11.111111,15.555555,7
189,141,0,0,0,0,5
45,188,33.333332,29,-11,-13,6
148,169,19.592592,25,-13.444445,16.222221,7
75,149,7.518518,5.111111,-5.888889,-7.222222,1
23,113,14.703704,10.111111,7.222222,-13.777778,1
165,186,49.51852,42.333336,-13.222222,-21.555555,6
235,120,1.444444,0.333333,-4.333334,-3.333333,3
115,195,57.11111,49.88889,-17.333334,-21.666666,6
51,64,40,34.666668,-14.333333,-16,4
153,78,30.296297,26.333334,-9.555555,-11.888889,4
138,116,6.481482,3.666667,3.222222,-8.444445,1
170,226,11.888889,17.555555,-5.333334,17,7
189,115,6.666666,3.888889,4.666666,-8.333333,1
64,49,108.888885,100.666664,-35.333332,-24.666666,2
216,17,126.14815,121.55556,-33.444443,-13.777778,2
8,79,16.814816,12.111111,1.555556,-14.111111,1
88,180,50.407406,43.666668,-15.555555,-20.222221,6
217,73,4.851852,3.111111,-9.222222,-5.222222,3
117,110,17.222221,13.444445,-24,-11.333333,3
244,194,49.74074,43.11111,-15.888889,-19.88889,6
188,88,7.333334,4.666667,-6.666666,-8,5
167,53,40.444443,35.77778,-10.666667,-14,4
23,237,5.851852,8.777778,-4.888889,8.777778,7
37,78,43.814816,38.444443,-8.111111,-16.11111,4
94,135,2.185185,0.888889,-4.222222,-3.888889,5
49,95,5.185185,3.888889,-8.888889,-3.888889,3
76,198,14.555555,19.777779,-7.333334,15.666667,7
142,111,28.74074,25.777779,-12.555555,-8.888889,5
233,211,15.444445,18.666668,-9,9.666667,7
57,93,17.925926,13.444445,-14.111111,-13.444445,5
102,50,60.851852,53.77778,-23.555555,-21.222221,4
127,81,42.555557,41,-23,-4.666666,3
112,114,5.259259,3.111111,3.888889,-6.444445,1
230,41,121.48148,115.333336,-33.77778,-18.444445,2
40,35,69.44444,61.22222,-23,-24.666666,4
60,52,111.62963,104.666664,-31.88889,-20.88889,2
203,133,0.592593,0,-1.777778,-1.777778,5
72,111,1.296296,0.333333,-3.888889,-2.888889,3
209,70,36.74074,32.11111,-9.222222,-13.888889,4
47,127,17.592592,13.666667,-25.777779,-11.777778,3
227,69,11.074074,10.333334,-12.555555,-2.222222,3
47,189,29.62963,25.555555,-8.555555,-12.222222,6
62,177,51.074074,43.77778,-14.222222,-21.88889,6
226,144,0,0,0,0,5
186,28,122.51852,117.888885,-34.555557,-13.888889,2
154,249,18,23.666666,-10,17,7
14,95,2.259259,2.222222,-4.777778,-0.111111,3
196,129,6.333334,3.777778,4.666666,-7.666666,1
106,136,0.703704,0.111111,-1.777778,-1.777778,3
5,92,18.703703,13.555555,0.222222,-15.444445,1
196,182,19.88889,24.666666,-9,14.333333,7
245,176,18.481482,23.333334,-10.111111,14.555555,7
177,129,6.407407,3.777778,4.777778,-7.888889,1
127,121,23.11111,17.555555,-4.333334,-16.666666,1
14,66,18.666666,13.444445,-0.333333,-15.666667,1
79,104,65.296295,58.11111,-16.555555,-21.555555,4
36,145,0.851852,0.777778,-1.555556,-0.222222,3
136,139,5.333334,3,3.666667,-7,1
9,92,19.074074,14.333333,-0.888889,-14.222222,1
134,29,112.07407,107.111115,-40.555557,-14.888889,2
128,144,0,0,0,0,5
220,39,113,108.44444,-40.666668,-13.666667,2
57,177,19.592592,24.555555,-11.444445,14.888889,7
24,15,70.07407,61.77778,-27.222221,-24.88889,4
150,94,95.296295,85.77778,-43.22222,-28.555555,2
53,176,50.296295,43.333332,-14.555555,-20.88889,6
177,190,52.407406,45.333332,-15.222222,-21.222221,6
242,65,8.925926,6.333334,-8.444445,-7.777778,5
8,21,125.59259,120.888885,-36.444443,-14.111111,2
188,35,124.55556,119.111115,-30.333334,-16.333334,2
2,114,1.740741,0.555556,-2.888889,-3.555556,3
107,129,6.666666,4,5.333334,-8,1
34,128,5.666666,3,5.333334,-8,1
94,80,58.333332,51.666668,-21.333334,-20,4
218,64,8,5.333334,-5.666666,-8,5
