@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
6,90,18.11111,0.38846,1
108,130,6.62963,0.501014,1
188,133,6.666666,0.53858,1
182,134,5.888889,0.577601,1
62,144,4.814815,0.574603,1
15,123,4.555555,0.61164,1
95,131,5.333334,0.592813,1
145,90,24.851852,0.420598,1
33,104,20.185184,0.380367,1
95,109,17.25926,0.384997,1
97,116,6.62963,0.546517,1
177,126,5.407407,0.623016,1
127,118,22.74074,0.390398,1
21,53,21.555555,0.404138,1
79,57,26.814816,0.440509,1
131,86,24.296297,0.424597,1
19,147,4.148148,0.713228,1
154,128,5.962963,0.563713,1
121,113,20.25926,0.396589,1
89,68,17.703703,0.462002,1
28,112,5.925926,0.544092,1
67,61,23.74074,0.415751,1
64,74,21.148148,0.419204,1
29,66,22.62963,0.438246,1
11,108,17.666666,0.388756,1
99,107,18.62963,0.413785,1
82,109,17.777779,0.376024,1
178,128,5.925926,0.563713,1
89,53,27.074074,0.474773,1
177,129,6.407407,0.541887,1
98,119,21.592592,0.408211,1
147,69,25.666666,0.44486,1
112,114,5.259259,0.534392,1
71,90,22.62963,0.420486,1
16,128,5.555555,0.561508,1
81,98,20.88889,0.389147,1
2,63,18.074074,0.435021,1
91,115,19.925926,0.375321,1
59,111,5.444445,0.60119,1
31,62,21.185184,0.419469,1
127,121,23.11111,0.415524,1
22,116,5.62963,0.575397,1
144,118,6.444445,0.56433,1
58,122,5.62963,0.551587,1
97,75,24.851852,0.40212,1
34,128,5.666666,0.597443,1
69,75,22.74074,0.423501,1
8,79,16.814816,0.422337,1
5,92,18.703703,0.42886,1
137,66,28.407408,0.430558,1
23,85,17.962963,0.399751,1
13,142,4.592593,0.630159,1
68,117,19.88889,0.381277,1
42,56,22.74074,0.440708,1
219,134,4.740741,0.603704,1
14,138,4.962963,0.603836,1
75,103,18.962963,0.388385,1
62,123,5.814815,0.573413,1
199,140,6,0.513889,1
88,115,22.037037,0.397362,1
178,122,5.851852,0.549603,1
38,106,20,0.408155,1
17,64,18.88889,0.441092,1
1,115,16.555555,0.425538,1
97,130,5.851852,0.570106,1
86,88,21.148148,0.405118,1
80,95,21.407408,0.390436,1
30,56,23.703703,0.43596,1
194,118,6.259259,0.543871,1
138,116,6.481482,0.559171,1
19,63,20.925926,0.44725,1
192,142,4.666666,0.662037,1
16,128,5.555555,0.561508,1
227,118,5.62963,0.545635,1
177,131,5.962963,0.515873,1
9,92,19.074074,0.401025,1
141,62,27.37037,0.450305,1
149,64,24.074074,0.446354,1
196,129,6.333334,0.540123,1
136,77,26.407408,0.413217,1
14,110,17.925926,0.368848,1
39,60,22.62963,0.446636,1
75,107,16.703703,0.399311,1
67,64,22.481482,0.426923,1
42,63,22.37037,0.422651,1
96,84,23.851852,0.398791,1
23,142,5.037037,0.574735,1
13,149,5.518518,0.588163,1
141,68,27.185184,0.445652,1
80,116,21.703703,0.407364,1
188,133,6.666666,0.53858,1
14,66,18.666666,0.437855,1
65,143,5.037037,0.595238,1
240,145,4.074074,0.655556,1
121,113,20.25926,0.396589,1
98,104,18.703703,0.410009,1
159,111,5.925926,0.581349,1
95,100,21.074074,0.401042,1
75,59,25.074074,0.459427,1
29,100,20.62963,0.394331,1
7,34,20.333334,0.466345,1
