@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,9-10,16,20'

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,0.566666,17.74074,10.444445,7
120,0.296296,1.592593,-2.111111,3
62,0.607405,110.18519,-22.222221,2
146,1.318517,21.37037,-11.111111,4
92,0.118519,12.074074,-11.888889,5
136,3.197221,15.518518,-9.888889,3
13,0.207406,131.77777,-10,2
138,0.077778,4.962963,-6.888889,1
75,0.385187,88.55556,-32.333332,2
68,0.829629,105.77778,-25.333334,2
100,0.365148,1.222222,-1.333333,3
75,3.718518,25.962963,-18.555555,1
173,1.236781,56.77778,-23.666666,6
155,121.396286,11.296296,-8.222222,5
184,2.007394,50.592594,-21.11111,6
13,1.054091,118.666664,-15,2
233,0.344444,12.592592,13.222222,7
196,4.188167,46.074074,-16.222221,6
140,0.344265,1.037037,-1.777778,5
181,2.088887,19.62963,12.777778,7
187,1.86984,18.666666,19.333334,7
236,5.529632,11.074074,9.777778,7
186,1.678844,48.814816,-20.777779,6
75,31.71359,55,-8.666667,3
111,0.429629,6.037037,-7.777778,1
81,110.8778,41.925926,-14.444445,3
108,104.91862,45.592594,-16.444445,4
147,2.599144,49.77778,-20,4
66,5.144446,22.62963,-17.555555,1
57,0.389679,70.37037,-28.11111,4
54,0.557772,109.96296,-15.222222,2
131,0.250924,1.555556,-4.333334,5
94,0.42963,20.222221,-13,5
190,3.727774,58.11111,-19.666666,6
85,0.429629,93.55556,-30.333334,2
161,0.162963,7.148148,-6.444445,4
223,2.444444,6.666666,11.333333,7
105,0.809664,22.703703,-9.777778,5
52,0.177779,125.77778,-12.666667,2
118,9.496296,22.74074,-15.222222,1
201,1.784709,21.296297,16.777779,7
203,1.756469,19.518518,17.777779,7
134,0.062963,5.296296,-7.222222,1
71,0.299998,125.96296,-13.555555,2
