@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,14-16,18,20'

@attribute Region-centroid-row numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
153,-1.111111,2.222222,-1.111111,0.888889,5
145,-0.666667,2,-1.333333,0.527778,5
142,-2.777778,5.555555,-2.777778,0.769444,5
173,-8.333333,-8.333333,16.666666,0.349656,7
122,4.333334,3.333333,-7.666666,0.581349,1
145,-3.222222,7.111111,-3.888889,0.656614,5
249,-8.888889,-7.222222,16.11111,0.533307,7
199,-19.666666,42.333332,-22.666666,0.312414,6
103,-15.777778,36.555557,-20.777779,0.259607,4
41,-19.444445,30.222221,-10.777778,0.112421,2
123,-3.555556,6.444445,-2.888889,1,3
188,-18.333334,40,-21.666666,0.296294,6
250,-8,-5.666666,13.666667,0.56339,7
134,-19.11111,32.22222,-13.111111,0.457752,5
111,-25.11111,36.22222,-11.111111,0.679513,3
211,-10.555555,-4.888889,15.444445,0.375552,7
200,-20.777779,46.22222,-25.444445,0.312541,6
135,-12.444445,24.88889,-12.444445,0.308824,4
102,-16.444445,37.88889,-21.444445,0.307007,4
184,-6.222222,-5.888889,12.111111,0.405556,7
61,-7.666666,16,-8.333333,0.66626,5
94,-2.888889,6.111111,-3.222222,0.977778,5
174,-11.888889,-3.888889,15.777778,0.381867,7
85,-36.77778,64.55556,-27.777779,0.275467,2
116,-1.444444,17.555555,-16.11111,0.407364,1
189,-12,26,-14,0.309884,6
86,-13.666667,26.333334,-12.666667,0.630928,5
60,-29,44,-15,0.175844,2
162,-17.222221,27.444445,-10.222222,0.285523,6
141,-0.111111,0.222222,-0.111111,0.111111,5
136,-4.666666,9.666667,-5,0.84709,5
155,-7.111111,13.222222,-6.111111,0.300624,5
73,-1.888889,14.444445,-12.555555,0.176156,4
176,-19.666666,42,-22.333334,0.318137,6
83,-11.555555,29.11111,-17.555555,0.260605,4
133,-5.111111,10.888889,-5.777778,0.630471,5
77,-22.11111,34.22222,-12.111111,0.127385,2
184,-12.666667,-3.666667,16.333334,0.38821,7
215,-17.777779,-1.444444,19.222221,0.420767,7
44,-14.777778,30.555555,-15.777778,0.271987,4
193,-17.333334,36.333332,-19,0.303144,6
42,-19.88889,31.11111,-11.222222,0.115302,2
210,-11.111111,-4.444445,15.555555,0.403938,7
141,0,0,0,0,5
188,-11,24,-13,0.299865,6
169,-13.444445,-2.777778,16.222221,0.396121,7
149,-5.888889,13.111111,-7.222222,0.578708,1
113,7.222222,6.555555,-13.777778,0.451359,1
186,-13.222222,34.77778,-21.555555,0.307257,6
120,-4.333334,7.666666,-3.333333,1,3
195,-17.333334,39,-21.666666,0.28836,6
64,-14.333333,30.333334,-16,0.310101,4
78,-9.555555,21.444445,-11.888889,0.300208,4
116,3.222222,5.222222,-8.444445,0.559171,1
226,-5.333334,-11.666667,17,0.54833,7
115,4.666666,3.666667,-8.333333,0.53858,1
49,-35.333332,60,-24.666666,0.246491,2
17,-33.444443,47.22222,-13.777778,0.189464,2
79,1.555556,12.555555,-14.111111,0.422337,1
180,-15.555555,35.77778,-20.222221,0.300918,6
73,-9.222222,14.444445,-5.222222,0.822507,3
110,-24,35.333332,-11.333333,0.680787,3
194,-15.888889,35.77778,-19.88889,0.300853,6
88,-6.666666,14.666667,-8,0.61791,5
53,-10.666667,24.666666,-14,0.264564,4
237,-4.888889,-3.888889,8.777778,0.541266,7
78,-8.111111,24.222221,-16.11111,0.258916,4
135,-4.222222,8.111111,-3.888889,0.888007,5
95,-8.888889,12.777778,-3.888889,0.794108,3
198,-7.333334,-8.333333,15.666667,0.411573,7
111,-12.555555,21.444445,-8.888889,0.315484,5
211,-9,-0.666667,9.666667,0.335421,7
93,-14.111111,27.555555,-13.444445,0.511905,5
50,-23.555555,44.77778,-21.222221,0.304774,4
81,-23,27.666666,-4.666666,0.366946,3
114,3.888889,2.555556,-6.444445,0.534392,1
41,-33.77778,52.22222,-18.444445,0.206392,2
35,-23,47.666668,-24.666666,0.287488,4
52,-31.88889,52.77778,-20.88889,0.218379,2
133,-1.777778,3.555556,-1.777778,1,5
111,-3.888889,6.777778,-2.888889,1,3
70,-9.222222,23.11111,-13.888889,0.273358,4
127,-25.777779,37.555557,-11.777778,0.701476,3
69,-12.555555,14.777778,-2.222222,0.604281,3
189,-8.555555,20.777779,-12.222222,0.297413,6
177,-14.222222,36.11111,-21.88889,0.306215,6
144,0,0,0,0,5
