@relation segment

@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
6.888889,-7.666666,0.553571,1
18.666668,-14.888889,0.419522,1
22.777779,-18.444445,0.432167,1
21.333334,-15.777778,0.397362,1
6.555555,-6.444445,0.534392,1
18.777779,-15.444445,0.42886,1
18.777779,-14.777778,0.424904,1
7.555555,-8.444445,0.559171,1
22.11111,-15.666667,0.394863,1
15.666667,-13.888889,0.46306,1
20.11111,-15.777778,0.419418,1
21.666666,-17.666666,0.43507,1
22.88889,-18.555555,0.429897,1
19.222221,-15.333333,0.410306,1
17.222223,-14.222222,0.435021,1
6.555555,-6.333334,0.564153,1
21.11111,-15.333333,0.388363,1
19,-14,0.378839,1
23.777779,-20.11111,0.450305,1
21.666666,-17.666666,0.43507,1
6.777778,-7.111111,0.646164,1
24,-17.88889,0.40212,1
7.444445,-8,0.581349,1
6.333334,-7,0.543651,1
7.555555,-7.666666,0.532628,1
22.666666,-17.555555,0.415751,1
6.222222,-7.333334,0.617063,1
22.666666,-18.88889,0.446118,1
26.11111,-19.555555,0.41394,1
19.222221,-15.555555,0.421504,1
23.11111,-17.333334,0.405022,1
5.666666,-6.666666,0.571429,1
7.111111,-7.444445,0.580026,1
23.444445,-19.666666,0.44486,1
21.666666,-16.666666,0.415524,1
6.555555,-7.111111,0.595238,1
24.666666,-19.222221,0.4223,1
23,-17.333334,0.406015,1
6.888889,-7.333334,0.561508,1
21.444445,-16.444445,0.405118,1
7.777778,-7.444445,0.529541,1
21.222221,-17.555555,0.438246,1
3.888889,-6.777778,0.713228,1
4.111111,-5.666666,0.578339,1
7.111111,-7.777778,0.579365,1
7.444445,-6.555555,0.529982,1
7.111111,-6.888889,0.535714,1
7.444445,-8.111111,0.563492,1
24.666666,-19.555555,0.425691,1
19.222221,-15.111111,0.410009,1
23.333334,-19.333334,0.442788,1
7.333334,-8,0.53858,1
22.666666,-19.222221,0.446354,1
19.666668,-15.444445,0.410267,1
7.222222,-7.666666,0.551808,1
7.666666,-8.111111,0.581349,1
7.111111,-7.666666,0.544733,1
8,-7.666666,0.555776,1
6.777778,-7.555555,0.575397,1
7.777778,-7.555555,0.573633,1
6.888889,-7.222222,0.564153,1
22.777779,-17.666666,0.414356,1
7,-7.222222,0.551587,1
7.444445,-8.111111,0.563492,1
19.555555,-15,0.403224,1
20.333334,-14.444445,0.381059,1
19.555555,-15.333333,0.410073,1
20.333334,-15.555555,0.404038,1
7.444445,-8,0.571649,1
21.333334,-15.555555,0.390436,1
19.444445,-15.555555,0.422689,1
7.777778,-7.555555,0.573633,1
24,-19.333334,0.432471,1
20.444445,-17.11111,0.440354,1
21.666666,-16.333334,0.403687,1
7.333334,-7.222222,0.543871,1
7.888889,-7.666666,0.537017,1
7.888889,-7.666666,0.540123,1
17.666668,-15.777778,0.462002,1
22,-17.444445,0.420716,1
7.888889,-7.444445,0.563713,1
6,-6.666666,0.61164,1
18.88889,-15,0.419248,1
20.666668,-15,0.381277,1
6.888889,-7.555555,0.566138,1
22,-17.555555,0.423501,1
8.444445,-7.222222,0.501014,1
7.555555,-7.666666,0.537919,1
7.777778,-8.333333,0.558201,1
20.555555,-16.444445,0.428167,1
8.444445,-8,0.530556,1
21.88889,-18,0.43357,1
7.111111,-7.111111,0.531746,1
6.777778,-7.222222,0.587302,1
22,-17.666666,0.431547,1
6.444445,-7.111111,0.611111,1
20,-17.777779,0.462752,1
21,-16.11111,0.412134,1
21.333334,-15.666667,0.398448,1
7.555555,-8.111111,0.543871,1
6.888889,-7.333334,0.561508,1
4.111111,-5.666666,0.578339,1
8,-7.888889,0.528219,1
7.222222,-7.222222,0.529762,1
