@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,9-11,16,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,4.151854,6.444445,5.666666,5.666666,1.984366,7
28,0.455421,112.96296,99.44444,-13.888889,-2.387884,2
58,0.344265,8.333333,5.555555,-9,-2.068564,5
125,0.344265,1.148148,0,-2.444444,-2.175647,3
85,6.818519,8.185185,3.555556,-6.222222,-2.329093,3
209,0.998146,12.518518,10.333334,13.111111,2.09922,7
107,20.196299,49.814816,46.22222,-14.777778,-1.991445,4
58,0.344265,8.333333,5.555555,-9,-2.068564,5
88,3.396294,21.148148,21.444445,-16.444445,-1.512555,1
120,4.029627,23.666666,22.11111,-15.666667,-1.76489,1
130,0.685185,5.851852,7.333334,-7.555555,-0.963048,1
84,0.45542,8.888889,7.333334,-4,-2.13694,4
210,2.184966,49.74074,44.22222,-20.88889,-2.014434,6
72,6.296294,26.481482,23.555555,-19.11111,-1.846158,1
13,0.400002,130.40741,119.666664,-12.888889,-2.355244,2
143,0.074074,5.037037,6.555555,-7.111111,-0.907416,1
42,2.231094,44.555557,39.555557,-13.666667,-2.120131,4
125,103.751854,42.814816,39.11111,-15.777778,-1.973025,4
229,1.408965,14.62963,12,11.111111,2.350437,7
154,0.074074,0.703704,0.222222,-2.111111,-2.01751,5
107,17.12963,8.703704,4.888889,-6.111111,-2.280146,3
189,33.3185,29.074074,26.333334,-10.222222,-2.049148,6
202,1.130388,60.48148,53.666668,-22.777779,-2.060614,6
118,0.074074,5,6.222222,-7.333334,-1.047198,1
36,0,0,0,0,0,5
232,0.894427,12.703704,11,16.222221,1.875362,7
113,0.421636,29.333334,24.88889,-9.666667,-2.199825,5
120,0.077778,1.148148,0.222222,-2.777778,-2.057287,3
196,2.277099,49.88889,44.333332,-18,-2.063864,6
185,1.047042,10.740741,8.111112,10.777778,2.36281,7
30,2.796824,7.037037,4.777778,-7.111111,-2.047276,5
46,0.862948,135.51852,129.44444,-11.888889,-2.232616,2
182,1.772214,43.51852,40.22222,-17.222221,-1.917349,6
109,0.655462,49.407406,42.555557,-19.88889,-2.105478,4
114,0.408248,30.481482,24.444445,-12.777778,-2.207158,5
70,2.754121,39.962963,36.444443,-14.555555,-1.990412,4
227,8.611113,13.962963,10.111111,10.111111,2.707051,7
30,0.772201,112.96296,99.333336,-13.555555,-2.395064,2
102,90.91857,14.37037,10.111111,-4.777778,-2.378944,3
182,1.42595,45,41.666668,-18,-1.910677,6
76,1.811111,8.259259,3.777778,-1.777778,-2.520215,3
138,1.185185,0.296296,0.111111,-0.555556,-2.094395,3
25,1.241264,44.814816,39.555557,-14.777778,-2.11881,4
89,0.772203,106.07407,93.111115,-19.222221,-2.306204,2
127,59.54075,40.74074,38,-14.222222,-1.908348,4
114,3.762962,17.222221,19,-14,-1.176662,1
119,1.721326,20.592592,12.222222,-14.111111,-2.268148,3
117,0.490653,17.11111,14.555555,-10,-2.005139,5
27,0.577774,136.2963,130.33334,-9.888889,-2.264129,2
96,1.218523,67.03704,61,-21.444445,-2.036336,4
181,1.611303,21.407408,16.555555,19.777779,2.378846,7
154,0.685184,8.703704,5.888889,-7.111111,-2.066916,5
145,0,0,0,0,0,5
93,11.674076,6.777778,3.222222,-4.666666,-2.332766,3
97,0.45542,19.592592,15.333333,-11.777778,-2.121346,5
216,2.984528,15.074074,11.444445,16.444445,2.284571,7
131,0.088889,5.222222,7.222222,-6.666666,-0.621222,1
105,650.42957,42.851852,35.77778,-8.222222,-2.380238,3
181,2.786875,59.074074,52.333332,-25.222221,-2.020865,6
181,1.32916,55.333332,49,-21.333334,-2.053189,6
67,1.185185,23.74074,22.88889,-18.555555,-1.670171,1
35,0.285183,136.48148,131.22223,-13.444445,-2.146845,2
104,2.041242,19.777779,16.333334,-8.666667,-2.150638,5
208,3.552778,55.62963,48.22222,-21.88889,-2.094585,6
96,0.240741,111.59259,103.44444,-25.11111,-2.085954,2
62,0.966668,21.185184,20.555555,-16.222221,-1.650123,1
110,2.374073,4.222222,4.333334,-6.666666,-1.539762,1
79,0.403686,107.74074,93.888885,-14.888889,-2.377965,2
42,0.774073,127.03704,117,-14.111111,-2.31442,2
194,3.416733,41.037037,37,-14.111111,-2.045201,6
25,0.827759,116.25926,103.666664,-14.777778,-2.360195,2
133,3.158176,2.703704,1.222222,-2.444444,-2.208419,5
183,3.072581,56.333332,50.444443,-23.333334,-1.997577,6
130,0.655461,2.407408,0.444444,-1.888889,-2.366216,3
170,0.389683,25.444445,20.11111,16.333334,2.604013,7
162,219.57411,40.444443,34.444447,-9,-2.573635,6
25,0.327731,112.22222,97.77778,-14,-2.396894,2
175,2.167949,15.37037,12.444445,14.222222,2.242196,7
162,5.929622,40.296295,34.666668,-9.888889,-2.341198,6
112,1.718518,3.814815,1.111111,-2.111111,-2.435718,3
85,0.655555,21.11111,20.777779,-17,-1.603957,1
190,1.123816,49.48148,44.77778,-19.444445,-1.987599,6
198,1.356739,12.185185,9.666667,12.444445,2.221276,7
74,2.477778,23.592592,22.555555,-17.777779,-1.66658,1
203,1.526312,12.407408,10,17.444445,1.986748,7
45,0.455419,122.85185,110.55556,-14.555555,-2.35936,2
191,3.429718,59.592594,52.333332,-25.11111,-2.047053,6
16,0.385184,111.81481,99.111115,-19.777779,-2.293933,2
173,1.985185,17.148148,13.555555,15.555555,2.332739,7
126,0.285185,2.962963,0.555556,-3.555556,-2.289097,3
245,1.242757,9.740741,7.444445,14.777778,2.069452,7
36,1.455557,103.03704,89.55556,-26.11111,-2.232346,2
72,1.44074,4.518518,1.555556,-5.888889,-2.216721,3
103,0.433334,64.44444,58.333332,-22.666666,-2.022581,4
172,5.455545,42.037037,38,-12.777778,-2.143718,6
62,0.365146,62.814816,53.77778,-24.444445,-2.126207,4
88,0.459468,22.333334,18.222221,-8.666667,-2.20829,5
77,0.774074,7.703704,3.222222,-2.777778,-2.467493,3
107,2.740741,18.88889,19.88889,-15,-1.357871,1
17,1.140735,129.55556,118.77778,-9.666667,-2.412968,2
195,1.722401,11.703704,9.444445,16.222221,2.011228,7
196,1.996292,51.148148,45.333332,-19.11111,-2.059262,6
97,0.182574,47.814816,46,-13.444445,-1.836777,4
246,5.866666,15.444445,12,13.666667,2.395692,7
192,3.523992,46.37037,41.11111,-18.11111,-2.047243,6
71,0.45542,38.37037,37.88889,-9.777778,-1.675919,4
94,1.64204,5.888889,3.222222,2.333333,-2.869948,3
76,3.065339,34.851852,31.88889,-12.555555,-1.981499,4
20,4.479171,35.48148,32,-11.444445,-2.045203,4
95,0.685186,4.444445,1.222222,-4,-2.333804,3
20,0.928959,127.333336,116.77778,-14.333333,-2.326919,2
112,0.088889,6.222222,7,-8,-1.273992,1
13,0.250924,9.296296,6.111111,-10.222222,-2.074133,5
186,0.207407,18.518518,15.333333,10.444445,2.587396,7
82,0.443054,106.51852,92.888885,-17.222221,-2.344872,2
210,0.655555,15.111111,11.222222,14.333333,2.461599,7
134,0.240741,2.962963,1.111111,-4.888889,-2.133095,5
243,0.71111,13.333333,9.888889,14,2.368311,7
