@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R12,15,18,20'

@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
2.555556,5,1,3
33.22222,20.11111,0.307415,4
68.111115,39.555557,0.306722,6
6.444445,1.555556,0.563713,1
76.44444,44.444443,0.299213,6
3.111111,6.111111,1,3
1.222222,1.555556,0.537037,5
62.666668,36,0.308573,6
117.111115,71,0.323421,2
21.444445,-2.666667,0.327383,7
7.333334,5.666666,0.603175,1
14.333333,-4.222222,0.390957,7
4.888889,0.666667,0.662037,1
7.666666,4.444445,0.545635,1
33.11111,42.11111,0.681266,3
10.777778,9.444445,0.512566,5
9.777778,-9.111111,0.463569,7
74.333336,49,0.336015,4
66.88889,39.88889,0.303602,6
27.88889,18.88889,0.350082,5
6.777778,5,0.571429,1
7.444445,8.555555,0.698445,1
14,15.111111,0.5477,5
132.55556,52.77778,0.23132,2
26.444445,30.222221,0.601444,3
3,6,1,3
9.666667,-5.888889,0.428363,7
13.666667,17.222221,0.634921,5
15.666667,15.222222,0.487864,4
78.44444,41.444443,0.271659,4
72,42.333332,0.302525,6
142.55556,45,0.176083,2
30.444445,20.222221,0.365332,5
62.22222,35.666668,0.296328,6
6.666666,3.111111,0.551587,1
75.44444,46.11111,0.31801,6
7.444445,3.111111,0.528219,1
26.777779,16.444445,0.404792,1
29.11111,19.444445,0.420486,1
58.444443,37.666668,0.330477,4
130.44444,55,0.254668,2
31.555555,20.222221,0.412094,1
9.888889,6.555555,0.349471,3
28.444445,18.88889,0.413308,1
2.666667,5.222222,1,5
121.55556,68.888885,0.308813,2
13.333333,-8.111111,0.342307,7
12.888889,12.444445,0.392385,5
23.333334,18.444445,0.46306,1
79.55556,32.333332,0.289624,3
26.777779,16.444445,0.404792,1
140.88889,44.77778,0.179672,2
6.555555,9.111111,0.839947,3
71.66667,41.666668,0.298892,4
139.66667,49,0.19251,2
7.888889,4.777778,0.541887,1
64.44444,31.333334,0.252669,4
2.555556,0.777778,0.096561,5
7.111111,10.222222,0.731922,5
142.44444,46.11111,0.183242,2
54,28.222221,0.268186,4
27.333334,18.666666,0.416884,1
50.555557,27.222221,0.291106,6
29.555555,32.444443,0.596104,3
23.444445,0.555556,0.378216,7
29.666666,20.666666,0.43357,1
69.66667,34.333332,0.25976,4
11.333333,14.111111,0.809331,3
10.777778,-3.888889,0.428864,7
40.22222,25.11111,0.395671,3
116.888885,78.77778,0.362062,2
29,23.88889,0.41916,4
12.777778,-7.333334,0.355526,7
140.44444,49.22222,0.194622,2
19.777779,-7.222222,0.316041,7
61.555557,29.333334,0.250705,4
0.111111,0.222222,0.111111,3
140.66667,44,0.176061,2
52.22222,30.555555,0.308416,6
20.88889,-4.888889,0.390338,7
2.555556,4.888889,1,3
5.888889,8.666667,0.895369,3
69.66667,39.88889,0.296836,6
28.666666,25.88889,0.457772,5
6.111111,10.777778,0.973765,3
42.22222,23.11111,0.293208,6
10.333334,13.888889,0.69798,5
53.666668,35.555557,0.334962,4
128.33334,45.666668,0.181789,2
53,28.444445,0.274334,4
34,23.88889,0.421281,1
31.444445,24.11111,0.392149,5
14.888889,-0.888889,0.35037,7
145.55556,33.666668,0.124312,2
24.88889,14.111111,0.380367,1
62.22222,36.444443,0.297963,6
3.888889,6.111111,0.833333,5
19,-2.555556,0.449942,7
60.444443,29.333334,0.249253,4
51.77778,32.666668,0.339618,6
144,44.22222,0.17818,2
78.111115,48.333332,0.31426,4
6.666666,2.111111,0.515873,1
64.66667,35.444443,0.28511,4
25.444445,5.222222,0.389034,7
42.22222,24.333334,0.290355,4
58.666668,33.555557,0.295621,6
9.222222,13.777778,0.907099,3
17.333334,-5,0.34003,7
42.88889,21.222221,0.273647,6
21.11111,26.555555,0.641775,5
13.111111,13.888889,0.518586,5
2.333334,2.888889,0.537037,5
7.666666,11.777778,0.893054,3
117.333336,71.666664,0.325711,2
25.11111,9.555555,0.215788,7
14.555555,-1.777778,0.344304,7
7.666666,13.222222,0.953086,3
52.666668,25.88889,0.397892,3
17,-6.111111,0.395599,7
71.55556,37.77778,0.273444,6
51.22222,27.777779,0.282125,6
8.111112,-12,0.54918,7
138.11111,42.88889,0.178428,2
66.88889,39.666668,0.300672,4
71,39,0.284515,6
61.11111,35,0.303448,6
66.333336,33.77778,0.265558,4
7,3.888889,0.566138,1
147.88889,30,0.111218,2
11,12.666667,0.643678,1
15.111111,15.222222,0.597765,3
67.333336,41.333332,0.313032,6
123.22222,64.111115,0.276784,2
19.11111,-12.111111,0.330345,7
51.333332,29,0.297547,6
14.555555,-4.555555,0.32736,7
7.555555,-3,0.309022,7
9.777778,-5.666666,0.445979,7
128.66667,54.22222,0.247776,2
128.55556,45.22222,0.179697,2
7.666666,-9.444445,0.524328,7
0,0,0,5
37.666668,33.333332,0.46343,4
39.333336,23.11111,0.307444,5
18.11111,-4.333334,0.298962,7
8.444445,4.444445,0.475,1
