@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
94,9,0.8,3.666667,20.666668,-16.666666,-1.627145,1
61,9,0.507407,0.833333,22.666666,-17.555555,-1.700913,1
108,9,0.8,1.388889,19,-14.333333,-1.302133,1
120,9,0.844445,3.222222,22.11111,-15.666667,-1.76489,1
62,9,0.518519,1.222223,20.777779,-16.666666,-1.620398,1
118,9,1.529629,3.444444,21.555555,-15.222222,-1.707392,1
103,9,0.596296,2.277778,17.666668,-13.444445,-1.219211,1
136,9,0.122222,0.666667,8.333334,-8.111111,-0.963931,1
72,9,0.507407,1.666666,23.777779,-20.333334,-1.807866,1
63,9,1.1,1.944444,20.333334,-15.777778,-1.813886,1
122,9,0.118518,0.777778,7.333334,-7.555555,-0.942559,1
111,9,1.466666,1.333333,19.777779,-14.222222,-1.333792,1
55,9,2.82963,1.277778,20.555555,-15.444445,-1.634416,1
74,9,0.577777,1.388889,21,-16.777779,-1.554234,1
67,9,3.362964,1.555556,22.88889,-18.555555,-1.670171,1
147,9,0.133333,0.722222,4.111111,-7.111111,-1.561754,1
130,9,0.240741,0.666667,7.444445,-7.666666,-0.871495,1
115,9,2.388889,2.222223,15.666667,-13,-1.54801,1
109,9,0.488889,1.944444,19.222221,-14.111111,-1.131204,1
125,9,0.062963,0.666667,7.333334,-7.888889,-1.121818,1
64,9,1.362962,1.666666,17.555555,-14.666667,-1.755505,1
89,9,2.907407,2.944445,21.333334,-16,-1.611365,1
107,9,1.940741,1.888889,19.88889,-15,-1.357871,1
93,9,0.211111,2.111111,18.88889,-14.777778,-1.730306,1
60,9,0.785184,1.055555,18.88889,-15,-1.623392,1
124,9,0.062963,1,8.222222,-8.555555,-1.157082,1
103,9,1.52963,1.888889,20.222221,-15.222222,-1.334127,1
90,9,0.577778,2,23.666666,-18.555555,-1.705942,1
114,9,0.062963,0.833333,7,-8,-1.151837,1
122,9,0.02963,0.5,8.111112,-7.555555,-0.83212,1
116,9,0.107407,0.333333,6.777778,-7.555555,-1.099624,1
113,9,1.52963,2.944444,20,-14.777778,-1.585609,1
66,9,3.040741,2.944444,25.333334,-20.222221,-1.844993,1
104,9,0.962963,3.055556,20.222221,-14.222222,-1.555376,1
44,9,2.388888,2.38889,17.333334,-15.222222,-1.753726,1
129,9,0.433333,0.666667,7.888889,-7.666666,-0.932783,1
111,9,0.151852,0.5,6.444445,-7.666666,-1.181388,1
61,9,1.574074,1.555555,20.333334,-16.88889,-1.737293,1
64,9,1.144445,1.388889,22.666666,-19.222221,-1.724894,1
86,9,1.274074,1.222222,24.222221,-18.777779,-1.804829,1
116,9,0.285185,0.888889,21.333334,-15.666667,-1.670314,1
111,9,0.311111,1.055556,6.888889,-7.444445,-1.065066,1
114,9,0.062963,0.666667,6.555555,-6.444445,-0.91061,1
68,9,1.007408,2.166667,24.222221,-20.222221,-1.848523,1
134,9,0.240741,0.722222,7.666666,-7.666666,-0.806042,1
60,9,2.329629,2.888889,24.666666,-19.222221,-1.776113,1
95,9,3.733334,2.499999,21.11111,-15.333333,-1.555549,1
63,9,1.574073,2.111111,19.666668,-16.777779,-1.72683,1
113,9,0.077778,0.277778,7.222222,-8.111111,-1.175454,1
123,9,0.240741,0.666667,8.222222,-8.222222,-0.985729,1
126,9,0.118519,0.611111,7.666666,-7.555555,-0.612886,1
120,9,0.02963,0.444445,7.777778,-7.888889,-0.820403,1
118,9,0.151852,0.722222,7.666666,-7.555555,-0.87829,1
51,9,1.999999,1.611111,18.777779,-15.777778,-1.68129,1
113,9,0.996296,2.777778,17.11111,-13.777778,-0.9757,1
144,9,0.062963,0.722222,6,-6.444445,-0.969119,1
88,9,0.477778,2.888889,21.333334,-16.444445,-1.653787,1
80,9,1.851851,3,24.333334,-18.777779,-1.620451,1
118,9,0.385185,0.666667,7.555555,-8.333333,-1.134543,1
138,9,0.122222,0.5,6.777778,-6.888889,-0.722894,1
140,9,0.251852,0.5,7.444445,-7,-0.91962,1
81,9,1.674073,1.333333,22.333334,-17.11111,-1.606794,1
98,9,0.666667,1.055555,18.333334,-12.444445,-1.360437,1
131,9,0.088889,0.333333,7.222222,-6.666666,-0.621222,1
77,9,3.940742,2.444445,23.444445,-18.11111,-1.68954,1
41,9,1.674074,1.666667,20.777779,-16.777779,-1.77166,1
87,9,3.096294,2.722222,18.222221,-13.666667,-1.318373,1
111,9,0.907407,1.611111,19.777779,-14.444445,-1.58144,1
117,9,0.151852,0.5,6.888889,-7.666666,-1.179692,1
113,9,0.255556,0.777778,7.111111,-7.777778,-0.942558,1
118,9,0.177778,0.777778,6.222222,-7.333334,-1.047198,1
145,9,0.162963,0.722222,6.333334,-6.888889,-1.068968,1
116,9,0.107407,0.333333,6.777778,-7.555555,-1.099624,1
115,9,1.440742,3.888889,20.555555,-14.444445,-1.440963,1
133,9,0.444444,1.166667,7.777778,-8.333333,-1.077659,1
107,9,0.344445,1.777778,18.777779,-14.444445,-1.131973,1
138,9,0.562963,0.833333,7.333334,-7.222222,-0.862108,1
136,9,0.418519,1,7.777778,-7.444445,-0.924607,1
118,9,0.118518,0.444445,7.555555,-8.111111,-1.076198,1
85,9,0.518519,2.500001,20.777779,-17,-1.603957,1
56,9,3.644444,2.722222,26.11111,-19.555555,-1.819915,1
110,9,5.351851,2.666667,18.88889,-13.444445,-1.345096,1
67,9,0.88889,2.444445,19.555555,-16.333334,-1.623202,1
110,9,0.122222,1.944444,4.333334,-6.666666,-1.539762,1
118,9,0.018518,1.055556,7,-7.222222,-0.960827,1
59,9,0.774073,2.944445,22.333334,-19.555555,-1.836328,1
92,9,2.418516,2.5,18.777779,-14.222222,-1.570588,1
126,9,0.062963,0.444445,7.444445,-8,-0.895807,1
115,9,0.151852,0.333333,7.777778,-8.333333,-1.210357,1
72,9,4.744444,1.777778,23.555555,-19.11111,-1.846158,1
128,9,0.3,0.333333,7.333334,-7.888889,-1.005054,1
55,9,3.674073,1.777777,21.666666,-17.666666,-1.771163,1
100,9,1.362964,2.666667,20.88889,-15.555555,-1.519702,1
132,9,0.077778,0.222222,7.111111,-7.444445,-0.808383,1
111,9,0.374074,0.888889,7,-7.777778,-1.175773,1
89,9,1.762962,2.555556,18.777779,-14.222222,-1.544214,1
67,9,1.396297,2.111111,25.11111,-20.11111,-1.768356,1
50,9,0.462963,1,21.666666,-16.777779,-1.741254,1
129,9,0.562963,0.888889,8.444445,-8,-0.843904,1
114,9,2.018517,3.888888,19,-14,-1.176662,1
130,9,0.507407,1.055556,7.333334,-7.555555,-0.963048,1
108,9,0.640741,0.944444,21,-16.11111,-1.683529,1
147,9,0.107407,0.777778,5.444445,-8.666667,-1.783388,1
129,9,0.251852,1.111111,8,-7.888889,-0.912766,1
118,9,0.385186,2.277778,20.222221,-16,-1.620749,1
107,9,2.029629,3.333333,19.444445,-15.555555,-1.370369,1
77,9,1.851852,4.444445,24.11111,-18.222221,-1.677308,1
70,9,0.311111,1.722222,24.444445,-19.11111,-1.74518,1
101,9,1.288888,1.277778,21.222221,-16.222221,-1.558599,1
63,9,0.562963,1.5,17.222223,-14.222222,-1.683847,1
85,9,1.051853,1.777778,18.88889,-14.555555,-1.386867,1
136,9,0.418519,1,7.777778,-7.444445,-0.924607,1
60,9,1.396297,2.166666,22.444445,-17.666666,-1.713134,1
79,9,2.285185,2.111111,17.333334,-14.111111,-1.453114,1
86,9,1.218519,1.666667,23.555555,-18.88889,-1.650844,1
96,9,1.022222,2.777778,22.11111,-17,-1.530686,1
65,9,1.762964,2.333334,20.11111,-15.777778,-1.665853,1
149,9,0.122222,1.055556,5.555555,-7.222222,-2.018631,1
40,9,2.711112,1.111112,15.666667,-13.888889,-1.783602,1
142,9,0.062963,1.722222,6.777778,-7.111111,-0.675123,1
34,9,3.688889,1.5,18.222221,-16.333334,-1.823148,1
116,9,1.633333,1.555556,21.222221,-16.11111,-1.632243,1
138,9,0.562963,0.833333,7.333334,-7.222222,-0.862108,1
90,9,2.074072,5.111111,22,-17.555555,-1.622331,1
146,9,0.122222,0.666667,5.666666,-6.666666,-1.258358,1
135,9,0.296296,0.888889,7.111111,-7.555555,-0.892179,1
101,9,0.329629,2.222222,19.666668,-15.444445,-1.457591,1
100,9,0.107408,1.222222,21.666666,-16.555555,-1.477019,1
57,9,3.411111,2.111111,24.666666,-19.555555,-1.739017,1
142,9,0.107407,0.944444,6.555555,-6.777778,-0.829712,1
137,9,0.166667,1.111111,7.777778,-7.555555,-0.744272,1
104,9,3.629631,1.5,19.222221,-15.111111,-1.446641,1
114,9,0.196296,1,7.555555,-7.666666,-1.0108,1
64,9,2.118519,2.388889,22,-17.777779,-1.625668,1
85,9,1.051853,1.777778,18.88889,-14.555555,-1.386867,1
53,9,0.518518,1.166667,20.88889,-15.666667,-1.662177,1
60,9,1.140741,2.444445,21.333334,-18.222221,-1.709389,1
130,9,0.596297,1,8.444445,-7.222222,-0.764077,1
104,9,1.840741,2.666666,20.88889,-17,-1.669752,1
122,9,0.062963,0.333333,7,-7.666666,-0.953435,1
134,9,0.251852,0.777778,7.444445,-7.222222,-0.966318,1
135,9,0.118519,0.833333,6.888889,-7,-0.692028,1
142,9,0.062963,1.277778,6.222222,-6.777778,-0.776334,1
133,9,0.444444,1.166667,7.777778,-8.333333,-1.077659,1
102,9,0.607408,2.611111,22.11111,-17.222221,-1.68544,1
103,9,3.411113,1.833333,21.222221,-16.555555,-1.634396,1
139,9,0.107407,0.833333,7.555555,-7.666666,-0.965946,1
112,9,0.385185,1,7,-8,-1.273992,1
69,9,2.907408,1.88889,23.444445,-19.666666,-1.79139,1
142,9,0.122222,1.5,6.777778,-7,-0.604864,1
81,9,3.751853,2.722222,20.11111,-15.777778,-1.566335,1
110,9,5.351851,2.666667,18.88889,-13.444445,-1.345096,1
136,9,0.196296,0.444444,7.111111,-6.888889,-0.896533,1
91,9,2.177777,2.555556,19.777779,-14.555555,-1.55225,1
71,9,0.785185,4.5,21.777779,-17,-1.636863,1
115,9,0.033333,0.333333,8.222222,-8.333333,-0.965144,1
123,9,0.151852,0.388889,8,-7.666666,-0.761648,1
111,9,0.240741,0.611111,6.888889,-7.222222,-0.897859,1
44,9,2.388888,2.38889,17.333334,-15.222222,-1.753726,1
107,9,0.655556,1.611111,18.333334,-13.888889,-1.312499,1
86,9,0.651853,1.722222,18.555555,-14.777778,-1.541502,1
133,9,0.266667,0.5,8.333334,-8.333333,-0.924817,1
139,9,0.177778,0.777778,6.555555,-7,-1.004936,1
117,9,0.122222,1,7.333334,-8,-1.233256,1
130,9,0.122222,0.388889,6.888889,-7.333334,-0.889024,1
75,9,4.611113,2.222222,23.333334,-18.555555,-1.8356,1
56,9,0.951851,1.333333,21.11111,-17.555555,-1.759414,1
119,9,0.518519,2.555556,21.333334,-16.444445,-1.57896,1
75,9,1.407408,1.5,22,-17.555555,-1.641882,1
134,9,0.107407,0.666667,6.444445,-6.555555,-0.730465,1
126,9,0.207407,0.555556,6.444445,-7.111111,-0.877707,1
84,9,1.277777,1.611111,23.555555,-17.555555,-1.598867,1
86,9,0.833333,3.555556,23.333334,-17.777779,-1.60859,1
115,9,0.388889,0.777778,7.333334,-7.888889,-1.175454,1
143,9,0.044444,0.666667,6.111111,-7.555555,-0.87829,1
135,9,0.207407,0.666667,5.666666,-6.444445,-0.807848,1
62,9,2.118518,3.388889,23.777779,-20.11111,-1.888408,1
147,9,0.074074,0.5,3.888889,-6.777778,-1.475643,1
56,9,0.207407,1.333334,19.444445,-15.555555,-1.622211,1
95,9,1.007408,0.944444,21.333334,-15.555555,-1.567327,1
106,9,2.518518,2.111111,20,-15.333333,-1.55762,1
143,9,0.207407,0.444444,6.777778,-8,-1.048222,1
123,9,0.207407,0.5,7.555555,-7.777778,-0.837598,1
70,9,0.72963,1.833333,23,-17.333334,-1.649603,1
66,9,2.162962,2.166667,21.222221,-17.555555,-1.733544,1
123,9,2.474074,0.888889,7.888889,-7.222222,-1.18068,1
106,9,0.72963,0.722222,19.555555,-15,-1.48458,1
124,9,0.166667,0.388889,7.444445,-8.111111,-1.02473,1
140,9,0.462963,1,7.888889,-7.666666,-0.909267,1
117,9,0.255556,1,21.11111,-15,-1.574477,1
126,9,0.211111,0.666667,8.777778,-7.222222,-0.913675,1
128,9,0.118518,0.666667,7.444445,-8,-0.837598,1
62,9,0.833334,1.833333,20.555555,-16.222221,-1.650123,1
145,9,0.018518,0.611111,5.555555,-5.111111,-0.57094,1
73,9,1.085185,1.611112,19.777779,-15.888889,-1.675465,1
149,9,0.251852,0.722222,4.111111,-5.666666,-1.985703,1
61,9,3.185182,3.111111,18.666668,-14.888889,-1.591206,1
51,9,1.629631,2.666667,22.666666,-18.88889,-1.873032,1
83,9,4.918518,3.611111,19.11111,-14.555555,-1.456819,1
116,9,0.196296,0.555555,7.555555,-8.222222,-1.233945,1
80,9,4.162963,2.5,24,-19.333334,-1.773594,1
124,9,0.162963,0.444444,6.666666,-7.333334,-0.877707,1
88,9,3.2,2.944445,18.777779,-14.777778,-1.785147,1
116,9,0.151852,4.777777,17,-13.888889,-1.162844,1
112,9,0.418518,0.555555,7.111111,-7.444445,-1.058277,1
92,9,2.977778,1.777778,21.777779,-17.333334,-1.682651,1
116,9,0.151852,0.222222,6.555555,-7.555555,-1.093148,1
78,9,2.34074,2,24,-18.11111,-1.610448,1
57,9,1.618517,1.944445,24,-19.777779,-1.837675,1
140,9,0.118519,0.666667,6.555555,-6.333334,-0.783647,1
129,9,0.433333,0.666667,7.888889,-7.666666,-0.932783,1
111,9,0.374074,0.888889,7,-7.777778,-1.175773,1
64,9,5.496297,2.888888,21.777779,-17.222221,-1.756712,1
60,9,0.3,1.277778,19.333334,-15.777778,-1.650048,1
145,9,0.018518,0.611111,5.555555,-5.111111,-0.57094,1
92,9,0.562964,2.333333,23.11111,-18.333334,-1.637777,1
122,9,0.107407,0.555556,7,-7.222222,-0.964797,1
85,9,8.207409,3.944444,20.444445,-17,-1.659879,1
111,9,0.162963,2.555555,4.111111,-6.111111,-1.43724,1
95,9,1.007408,0.944444,21.333334,-15.555555,-1.567327,1
131,9,0.42963,0.777778,7.555555,-6.888889,-0.804846,1
114,9,1.129629,1.944444,20,-14.888889,-1.508658,1
92,9,0.429631,1.388889,22.777779,-17.666666,-1.653926,1
77,9,1.496295,3.055556,24.555555,-18.555555,-1.768872,1
111,9,0.074074,0.611111,7.666666,-8.111111,-0.872666,1
98,9,0.42963,1.888889,21,-15.333333,-1.528895,1
109,9,0.240741,1.333334,19.222221,-14,-1.276562,1
114,9,0.062963,0.444444,6.111111,-7.666666,-1.314533,1
90,9,0.596296,1.333334,18.777779,-14,-1.425885,1
89,9,0.385185,3.666667,21.666666,-16.333334,-1.625587,1
56,9,0.429629,1.5,22.11111,-18.11111,-1.748835,1
67,9,0.88889,2.444445,19.555555,-16.333334,-1.623202,1
92,9,4.518517,2,20.222221,-14.444445,-1.408242,1
125,9,0.062963,0.666667,7.333334,-7.888889,-1.121818,1
133,9,0.266667,0.5,8.333334,-8.333333,-0.924817,1
124,9,0.151852,0.666667,7.666666,-7.888889,-0.95784,1
149,9,0.785185,1,4.111111,-5.555555,-2.009108,1
137,9,0.166667,1.111111,7.777778,-7.555555,-0.744272,1
143,9,0.133333,0.444445,6.555555,-7.111111,-0.907416,1
101,9,0.118519,1.611111,21.555555,-17.666666,-1.674318,1
123,9,0.118518,0.444444,6,-6.666666,-0.853547,1
74,9,9.940739,2.166667,22.555555,-17.777779,-1.66658,1
69,9,1.144444,1.611111,22,-17.666666,-1.811203,1
102,9,0.118518,1.333333,20.333334,-14.444445,-1.555097,1
103,9,0.32963,1.111111,19.222221,-15.333333,-1.397414,1
