@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,15,19-20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
229,1.166666,21.222221,0.444444,2.651605,7
120,0.444444,0.888889,6.888889,-2.315721,3
62,0.888887,102.77778,50.77778,-2.178149,2
146,2.111111,17.666668,24.88889,-2.164971,4
92,0.444444,8.111112,25.444445,-2.137851,5
136,2.666667,12.222222,29.444445,-2.307511,3
13,0.555557,128.44444,39,-2.386251,2
138,0.5,2.666667,1.444444,-0.722894,1
75,0.888888,77.77778,82,-2.232,2
68,0.888889,97.333336,57.333332,-2.169999,2
100,0.666667,0.777778,4.666666,-2.337096,3
75,2.222222,19.777779,26.444445,-1.8356,1
173,2.388888,48.88889,44.333332,-2.048199,6
155,9.944445,8.555555,18.777779,-2.140531,5
184,2.777777,43.555557,35.22222,-1.96448,6
13,1,113.666664,51.333332,-2.351897,2
233,1.166666,17,-2.111111,2.49158,7
196,6.777777,40.666668,33.11111,-2.105677,6
140,0.444444,0.444444,2.555556,-1.838877,5
181,2.666667,23.88889,-5.222222,2.189135,7
187,3.555555,25.11111,-7.333334,2.254303,7
236,3.055555,14.333333,-4.888889,2.083229,7
186,2.055555,41.88889,34.88889,-1.968511,6
75,26.611113,52.11111,31.333334,-2.356754,3
111,0.888889,3.444444,4.888889,-1.175773,1
81,15.166667,37.11111,40.88889,-2.274461,3
108,22.444443,40.11111,29.555555,-2.015554,4
147,4.666666,43.11111,38,-2.056377,4
66,2.166667,16.777779,21.777779,-1.733544,1
57,0.722223,61,59.22222,-2.128801,4
54,0.666667,104.888885,52.444443,-2.351182,2
131,0.277778,0.111111,6.333334,-1.871048,5
94,0.444445,15.888889,25.666666,-2.084893,5
190,4.555555,51.555557,39,-2.102898,6
85,0.888888,83.44444,73.333336,-2.208414,2
161,0.777778,5,11.222222,-1.996307,4
223,1.666667,10.444445,-6,2.046588,7
105,1.5,19.444445,20.555555,-2.125548,5
52,1.333333,121.55556,43.333332,-2.348494,2
118,3.444444,17.666668,18.777779,-1.707392,1
201,3.111111,26.88889,-2.888889,2.467938,7
203,2.944444,25.444445,-5.555555,2.320382,7
134,0.388889,2.888889,2.777778,-0.912631,1
71,1.499999,121.44444,44.77778,-2.339758,2
148,6.666666,19,2.777778,2.91248,7
89,1.222221,51.333332,46.555557,-2.108757,4
158,1.388889,6.111111,11.333333,-1.943449,4
58,0.888888,105.333336,53.22222,-2.357271,2
193,7.055556,45.666668,33.77778,-2.080174,6
65,2.277779,53.666668,41.77778,-2.091037,4
140,3.055556,8.666667,15.555555,-2.417818,3
44,2.38889,13.666667,19.444445,-1.753726,1
160,5.944443,39.22222,39.555557,-2.162999,6
152,2.055556,0.777778,2.888889,-2.007351,5
139,0.833333,3.555556,3.333333,-0.965946,1
116,0.444445,3.666667,5.222222,-1.19107,1
122,1.166667,13,27.444445,-2.247266,3
