@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
77,0,1.888889,3.055556,20.222221,-1.768872,1
124,0,0.888889,0.888889,3.444444,-1.037663,1
44,0,2.166667,2.38889,13.666667,-1.753726,1
133,0,0.333333,0.5,3.888889,-0.924817,1
130,0,0.555555,0.833333,4.666667,-1.056659,1
147,0,0.611111,0.777778,3.888889,-1.783388,1
75,0.111111,2,3.777778,18.88889,-1.652768,1
65,0,1.222223,2.333334,15.555555,-1.665853,1
67,0,2.555556,1.555556,17.555555,-1.670171,1
70,0,1,1.722222,19.666668,-1.74518,1
96,0,2.111111,2.833333,16.666668,-1.676921,1
143,0,0.444445,0.444444,2.777778,-1.048222,1
89,0,0.777777,3.666667,16.88889,-1.625587,1
83,0,1.444445,2.444445,14.333333,-1.507007,1
128,0,0.5,0.333333,3.333333,-1.005054,1
73,0,1.388889,2.611111,13.888889,-1.524253,1
115,0,0.166667,0.333333,3.888889,-0.965144,1
92,0,1.222222,2.333333,17.555555,-1.637777,1
117,0,0.5,1,3.777778,-1.233256,1
114,0,1.388889,1.944444,14.888889,-1.508658,1
81,0,1.833333,1.833333,14.555555,-1.472378,1
115,0,0.388889,0.333333,4,-1.210357,1
117,0,0.444444,1.611111,14.888889,-1.420087,1
85,0,3.111111,3.944444,15.777778,-1.659879,1
133,0,0.666667,1.166667,3.666667,-1.077659,1
124,0,0.5,0.388889,3.333333,-1.02473,1
116,0,1.5,1.555556,16.333334,-1.632243,1
137,0,0.5,1.111111,3.333333,-0.744272,1
85,0,1.111111,2.500001,15.444445,-1.603957,1
73,0,1.388889,1.611112,15.333333,-1.675465,1
71,0,2.111112,2.833333,16.777779,-1.66796,1
104,0,1.555556,3.055556,15.444445,-1.555376,1
143,0,0.333333,0.444445,2.666667,-0.907416,1
98,0,2,1.055555,13.333333,-1.360437,1
77,0.111111,1.222222,4.444445,19.11111,-1.677308,1
122,0,0.444445,0.5,3.888889,-0.83212,1
92,0,1.888889,2,14.555555,-1.408242,1
59,0,1.055555,2.944445,18.555555,-1.836328,1
144,0,0.277778,0.722222,2.666667,-0.969119,1
56,0,2.666666,2.722222,22.11111,-1.819915,1
86,0,0.888889,1.722222,13.666667,-1.541502,1
113,0,1.722222,2.944444,15.333333,-1.585609,1
145,0,0.555556,0.722222,3,-1.068968,1
106,0,1.611111,1.611111,17.222223,-1.695804,1
60,0,0.5,1.277778,14.666667,-1.650048,1
57,0,1.833333,2.111111,19.777779,-1.739017,1
111,0,0.388889,0.611111,3,-0.897859,1
111,0,0.666667,1.055556,3.222222,-1.065066,1
100,0,2.222223,2.666667,15.444445,-1.519702,1
143,0,0.5,0.666667,3,-0.914813,1
139,0,0.277778,0.833333,3.555556,-0.965946,1
135,0,0.555555,0.888889,3,-0.892179,1
62,0,0.777779,1.222223,15.666667,-1.620398,1
71,0.111111,1.444445,4.5,16.666668,-1.636863,1
69,0,1.5,1.611111,18.444445,-1.811203,1
120,0,0.444444,0.444445,3.333333,-0.820403,1
88,0,2,2.944445,15.666667,-1.785147,1
118,0,1.111111,2.277778,15.777778,-1.620749,1
74,0,1.333334,0.666667,16.666668,-1.646671,1
63,0,1.277778,2.111111,15.333333,-1.72683,1
95,0,1.222222,0.944444,16.222223,-1.567327,1
101,0,0.722223,2.222222,13.888889,-1.457591,1
123,0,0.666667,0.388889,3.444444,-0.988413,1
68,0,1.388889,1.777778,15.888889,-1.700324,1
83,0,2.777777,3.611111,13.888889,-1.456819,1
92,0,1.333333,2.166667,13.555555,-1.548296,1
130,0,0.5,0.388889,2.888889,-0.889024,1
86,0,1.444445,1.222222,20.222221,-1.804829,1
90,0,2.777778,5.111111,16.777779,-1.622331,1
142,0,0.5,1.5,2.333334,-0.604864,1
58,0,0.888889,1.388889,15.444445,-1.685074,1
124,0,0.611111,0.666667,3.555556,-0.95784,1
60,0,2.277778,2.888889,20.333334,-1.776113,1
136,0,0.611111,1,3.777778,-0.924607,1
116,0,0.388889,0.222222,2.888889,-1.093148,1
45,0,2.277778,3.277778,16.444445,-1.73537,1
117,0,0.833333,1,16.222223,-1.574477,1
56,0,1.055555,1.333333,16.88889,-1.759414,1
114,0,0.277778,0.444444,2.888889,-1.314533,1
131,0,0.222222,0.777778,2.888889,-0.874641,1
85,0,1.444444,1.777778,13.111111,-1.386867,1
123,0,1.555555,0.888889,4.555555,-1.18068,1
135,0,0.611111,1.055556,3.222222,-0.787376,1
57,0,1.833333,2.111111,19.777779,-1.739017,1
114,0,0.722222,0.666667,3.111111,-0.91061,1
112,0,0.555556,1,3.555556,-1.273992,1
116,0,1.5,1.555556,16.333334,-1.632243,1
116,0,0.388889,0.333333,3.111111,-1.099624,1
72,0,0.944444,1.666666,19.444445,-1.807866,1
123,0,0.444444,0.444444,2.333334,-0.853547,1
124,0,0.5,0.611111,2.777778,-0.752669,1
139,0,0.666667,0.777778,3,-1.004936,1
131,0,0.444444,0.777778,3.666667,-0.804846,1
119,0,1.444445,2.555556,16.11111,-1.57896,1
75,0,2.111111,1.5,16.88889,-1.641882,1
135,0,0.444445,0.833333,2.666667,-0.692028,1
143,0,0.388889,0.5,3,-0.796918,1
80,0,1.555556,2.5,19.555555,-1.773594,1
133,0,0.333333,0.5,3.888889,-0.924817,1
140,0,1.055556,1,3.777778,-0.909267,1
102,0,1.888889,1.944444,13.333333,-1.447037,1
140,0,0.444444,0.666667,2.888889,-0.783647,1
115,0,0.5,0.777778,3.666667,-1.175454,1
67,0,1.388889,2.111111,20.444445,-1.768356,1
145,0,0.555556,0.722222,3,-1.068968,1
101,0,1.333333,1.277778,15.888889,-1.558599,1
130,0,0.944445,1,4.222222,-0.764077,1
124,0,0.277778,1,4.222222,-1.157082,1
63,0,1.5,1.944444,17.11111,-1.813886,1
103,0,1.277777,1.111111,13.222222,-1.397414,1
110,0,1.722222,2.666667,13.444445,-1.345096,1
113,0,0.444444,0.444444,3,-0.989308,1
113,0,0.722222,0.722222,3,-0.851202,1
101,0,0.888889,1.722222,14.888889,-1.520125,1
116,0,0.5,1.166667,3.555556,-1.163245,1
133,0,0.666667,1.166667,3.666667,-1.077659,1
118,0,0.555556,0.666667,3.666667,-1.134543,1
126,0,0.833333,0.666667,4.888889,-0.913675,1
61,0,2.055555,1.555555,16.11111,-1.737293,1
145,0,0.388889,0.5,1.888889,-0.959485,1
141,0,0.5,0.777778,3,-0.843732,1
117,0,0.333333,0.555556,3.444444,-1.353896,1
88,0,0.833333,2.888889,16.666668,-1.653787,1
125,0,0.277778,0.666667,3.555556,-1.121818,1
84,0,1.5,1.611111,18,-1.598867,1
72,0,2.5,1.777778,20.11111,-1.846158,1
110,0,0.5,1.944444,2,-1.539762,1
145,0,0.388889,0.611111,2.222222,-0.57094,1
84,0,1.5,1.611111,18,-1.598867,1
111,0,0.444445,0.611111,3.222222,-0.872666,1
134,0,0.555556,0.777778,3.666667,-0.966318,1
85,0,1.444444,1.777778,13.111111,-1.386867,1
114,0,0.388889,0.833333,3.222222,-1.151837,1
114,0,0.611111,1,3.666667,-1.0108,1
111,0,0.388889,0.444445,3,-1.041434,1
123,0,0.611111,0.666667,4,-0.985729,1
117,0,0.444445,0.388889,3.888889,-0.983947,1
60,0,1.555556,2.444445,16.555555,-1.709389,1
107,0,1.166667,1.777778,11.888889,-1.131973,1
116,0,0.944445,4.777777,11.555555,-1.162844,1
64,0,2.111111,2.388889,16.555555,-1.625668,1
125,0,0.277778,0.666667,3.555556,-1.121818,1
113,0,0.5,0.777778,3,-0.942558,1
100,0,0.666667,1.388889,16.444445,-1.623301,1
104,0,2.222222,1.5,13.666667,-1.446641,1
147,0,0.333333,0.722222,2.222222,-1.561754,1
134,0,0.611111,0.722222,3.333333,-0.806042,1
128,0,0.5,0.666667,3.111111,-0.985811,1
140,0,0.444444,0.5,3.666667,-0.91962,1
56,0,1.333333,1.277777,20,-1.863182,1
115,0,1.722222,3.888889,15.111111,-1.440963,1
128,0,0.444444,0.666667,3,-0.837598,1
114,0,1.388889,3.888888,12.555555,-1.176662,1
60,0,0.944445,2.166666,17.88889,-1.713134,1
66,0,2.611111,2.944444,21.666666,-1.844993,1
91,0,2.222222,2.166666,16.666668,-1.630409,1
126,0,1.055556,1,3.777778,-1.118131,1
147,0,0.222222,0.5,1.888889,-1.475643,1
