@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5-7,10,14-15,17,20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,0,1.555555,1.068055,49.333332,-12,30.666666,59.555557,6
85,0,3.111111,8.207409,21.444445,-3,20,28.11111,1
83,0.111111,6.166666,9.988892,14.37037,-16.11111,24.88889,22.666666,3
11,0,0.833333,0.255559,141.55556,-19.333334,25.666666,150.11111,2
94,0,0.611111,0.551852,113.18519,-18.88889,43.11111,127.55556,2
42,0,2.333334,0.869226,37.444443,-14,31,47.77778,4
182,0,2.388889,1.794023,46.37037,-11.111111,29.88889,56.333332,6
167,0,0.888889,0.518518,14.592592,-5.111111,-2.444444,17.11111,7
19,0,2.444445,1.18634,45.185184,-21.555555,40.77778,58.77778,4
89,0,3,1.605546,8.444445,-6.333334,13.666667,13,5
81,0,2.611111,3.751853,20.481482,-1.111111,16.88889,26.11111,1
194,0,1.611111,1.200309,41.296295,-12.555555,27.444445,50.444443,6
208,0,1.722222,1.396296,19.25926,-11.111111,-4.777778,24.555555,7
46,0,2.111112,1.629631,126.03704,-30.11111,44.88889,141,2
52,0,0.722223,0.596301,111.62963,-31.88889,52.77778,129.22223,2
194,0,1.777778,1.274074,16.777779,-10.666667,-0.333333,20.444445,7
169,0,0.833333,0.388889,16.592592,-11.444445,-2.777778,21.333334,7
200,0,4.5,4.324349,58.592594,-19.11111,42.22222,72.66667,6
146,0,0.888889,0.474074,10.592592,-7.777778,15.222222,15.666667,4
122,0,0,0,0.333333,-1,2,1,3
46,0,1.166665,0.62361,114.62963,-41.22222,54.77778,132.88889,2
17,0,1.277776,0.95258,70.51852,-24.222221,48.11111,86.55556,4
192,0,1.222222,1.007407,9.962963,-3.888889,-7.555555,13.777778,7
