@relation segment

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
144,6,3.555556,6.222222,-0.969119,1
66,25.333334,-9.222222,38.22222,-1.844993,1
62,23.777779,-10.777778,37.666668,-1.888408,1
68,17.666668,-0.111111,23,-1.563972,1
143,6.666666,4.111111,6.777778,-0.914813,1
140,7.888889,4.666666,8.222222,-0.909267,1
91,19.777779,0.111111,24.555555,-1.55225,1
55,21.666666,-5.333334,31.11111,-1.771163,1
126,6.444445,4.555555,6.555555,-0.877707,1
116,7.555555,2.777778,8.555555,-1.233945,1
92,23.11111,-1.666667,30.333334,-1.637777,1
92,20.222221,2.555556,23.333334,-1.408242,1
132,7.111111,5.222222,7.111111,-0.808383,1
60,24.666666,-6.222222,35.22222,-1.776113,1
134,7.666666,5.333334,7.888889,-0.806042,1
101,21.555555,-2.666667,29.222221,-1.674318,1
107,19.444445,2.444444,23.11111,-1.370369,1
111,6.888889,4.444445,6.888889,-0.897859,1
75,24,-2.555556,31.666666,-1.652768,1
92,18.777779,-0.888889,24.11111,-1.570588,1
111,6.888889,4.444445,6.888889,-0.897859,1
81,20.333334,1.444444,24.666666,-1.472378,1
104,19.222221,1.555556,23.222221,-1.446641,1
75,22,-2.222222,29.333334,-1.641882,1
61,18.666668,-0.888889,24.222221,-1.591206,1
111,4.111111,0.888889,5.555555,-1.43724,1
72,23.555555,-8.777778,35.77778,-1.846158,1
77,23.444445,-3.111111,31.555555,-1.68954,1
64,22.666666,-4.222222,31.88889,-1.724894,1
75,21.11111,-0.666667,27.11111,-1.590164,1
133,8.333334,5,8.444445,-0.924817,1
86,24.222221,-6.777778,35,-1.804829,1
129,7.888889,4.666666,8.222222,-0.932783,1
118,7.555555,3.888889,7.777778,-1.076198,1
86,23.333334,-1.444444,30.222221,-1.60859,1
128,7.444445,5.333334,7.444445,-0.837598,1
130,7.333334,4.444445,7.666666,-0.963048,1
93,18.88889,-4.444445,26.777779,-1.730306,1
74,22.555555,-3.111111,30.555555,-1.66658,1
104,20.222221,0.111111,24.88889,-1.555376,1
122,7.222222,3.666667,7.666666,-1.05144,1
115,21.333334,-2.111111,28,-1.619549,1
135,7.111111,4.777778,7.444445,-0.892179,1
113,7.222222,3.222222,7.888889,-1.175454,1
84,23.555555,-0.888889,30,-1.598867,1
118,20.222221,-2.666667,27.333334,-1.620749,1
102,22.11111,-2.888889,29.777779,-1.68544,1
71,21.777779,-1.666667,28.555555,-1.636863,1
123,7.888889,2.777778,8.444445,-1.18068,1
96,20.777779,-2.888889,27.777779,-1.676921,1
120,7.777778,5.444445,7.777778,-0.820403,1
