@relation segment

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
113,20.25926,-0.777778,-14.777778,-1.585609,1
117,21.222221,-0.333333,-15,-1.574477,1
147,4.148148,-0.777778,-6.777778,-1.475643,1
96,21.74074,-2.888889,-15.222222,-1.676921,1
71,22.333334,-1.666667,-17,-1.636863,1
133,6.666666,5,-8.333333,-0.924817,1
118,21.11111,-2.666667,-16,-1.620749,1
126,6.481482,3.555556,-8.111111,-1.118131,1
134,4.740741,5.111111,-6.555555,-0.730465,1
136,6.259259,4.555555,-7.444445,-0.924607,1
142,4.592593,4.888889,-6.777778,-0.776334,1
59,21.814816,-3.111111,-17.777779,-1.680812,1
54,24.592592,-5.444445,-18.444445,-1.760752,1
89,21.88889,-1.666667,-16,-1.611365,1
106,19.11111,1.333333,-15,-1.48458,1
109,17.25926,5.888889,-14.111111,-1.131204,1
79,16.814816,1.555556,-14.111111,-1.453114,1
85,21.444445,-3,-17,-1.659879,1
126,5.777778,5,-8,-0.895807,1
85,21.11111,-1,-17,-1.603957,1
125,5.851852,4.111111,-7.222222,-0.944272,1
128,5.555555,4,-7.333334,-0.985811,1
111,3.814815,0.888889,-6.111111,-1.43724,1
147,6.037037,-1.111111,-8.444445,-1.50837,1
111,18.62963,3.444444,-14.222222,-1.333792,1
130,5.333334,4.666666,-7.333334,-0.889024,1
124,6.222222,4,-7.666666,-1.011484,1
102,17.925926,1.888889,-13.777778,-1.447037,1
145,3.925926,4.888889,-5.111111,-0.57094,1
53,21.555555,-2,-15.666667,-1.662177,1
111,5.666666,4,-8,-1.041434,1
116,5.62963,3.444444,-7.555555,-1.099624,1
55,23.444445,-5.333334,-17.666666,-1.771163,1
118,5.62963,4.111111,-7.222222,-0.960827,1
111,6.037037,2.888889,-7.777778,-1.175773,1
86,18.592592,-0.111111,-14.777778,-1.541502,1
115,16.555555,-2.666667,-13,-1.54801,1
58,20.925926,-2.777778,-16.444445,-1.685074,1
110,4.222222,0.333333,-6.666666,-1.539762,1
124,5.111111,4.666666,-7.333334,-0.877707,1
139,6.111111,4.333334,-7.666666,-0.965946,1
84,23.851852,-0.888889,-17.555555,-1.598867,1
135,4.148148,4.555555,-6.444445,-0.807848,1
69,25.666666,-6.666666,-19.666666,-1.79139,1
69,24.333334,-7,-17.666666,-1.811203,1
123,6.962963,2.777778,-7.222222,-1.18068,1
132,5.740741,5.111111,-6.555555,-0.726018,1
77,24.481482,-3.111111,-18.11111,-1.68954,1
61,21.74074,-4.222222,-16.88889,-1.737293,1
115,6.296296,3.111111,-7.888889,-1.175454,1
130,6.62963,5.444445,-7.222222,-0.764077,1
53,27.074074,-12.888889,-20.88889,-1.937482,1
106,23.037037,-3.111111,-17.444445,-1.695804,1
139,5.333334,3.666667,-7,-1.004936,1
117,5.777778,1.666667,-7,-1.353896,1
104,21.925926,-4.111111,-16.11111,-1.72879,1
145,4.074074,3.777778,-6.555555,-0.959485,1
129,6.407407,4.777778,-7.888889,-0.912766,1
131,5.185185,4.444445,-6.888889,-0.874641,1
134,5.296296,4.444445,-7.222222,-0.912631,1
112,5.925926,3.555556,-7.444445,-1.058277,1
131,5.222222,6,-6.666666,-0.621222,1
67,20,-1.333333,-16.333334,-1.623202,1
118,6.074074,4.777778,-7.555555,-0.87829,1
126,5.407407,6.777778,-7.555555,-0.612886,1
131,5.333334,4.666666,-7,-0.850783,1
122,5.851852,4.444445,-7.555555,-0.942559,1
120,23.666666,-4.666666,-15.666667,-1.76489,1
55,21.037037,-1.444444,-15.444445,-1.634416,1
106,20,0,-15.333333,-1.55762,1
116,16.185184,2.444444,-13.888889,-1.162844,1
133,6.666666,5,-8.333333,-0.924817,1
100,22.222221,-1.333333,-17.333334,-1.623301,1
137,5.851852,5.777778,-7.555555,-0.744272,1
104,20.185184,0.111111,-14.222222,-1.555376,1
92,18.703703,0.222222,-15.444445,-1.548296,1
89,22.333334,-2,-16.333334,-1.625587,1
107,17.185184,3.444444,-13.888889,-1.312499,1
142,4.814815,5.888889,-7.111111,-0.675123,1
40,17.185184,-4.555555,-13.888889,-1.783602,1
81,20.481482,-1.111111,-15.777778,-1.566335,1
124,6.037037,4.222222,-8.111111,-1.02473,1
66,28.407408,-9.222222,-20.222221,-1.844993,1
112,6.222222,2.333333,-8,-1.273992,1
101,20.074074,0.777778,-15.555555,-1.520125,1
118,6.259259,3.888889,-8.111111,-1.076198,1
133,6.444445,4,-8.333333,-1.077659,1
130,7.296296,3.777778,-7.888889,-1.056659,1
64,23.62963,-5.555555,-17.222221,-1.756712,1
77,25.185184,-3.222222,-18.222221,-1.677308,1
66,18.666666,-0.333333,-15.666667,-1.569253,1
136,5.62963,4.444445,-6.888889,-0.896533,1
