@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,13,15,19-20'

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,8.333334,-3.333333,1.984366,7
28,108.333336,54.444443,-2.387884,2
58,5.333334,17.333334,-2.068564,5
125,0.333333,5.888889,-2.175647,3
85,6.111111,20.11111,-2.329093,3
209,16.88889,-6.555555,2.09922,7
107,44.88889,25.555555,-1.991445,4
58,5.333334,17.333334,-2.068564,5
88,15.666667,15.555555,-1.512555,1
120,18.444445,20.333334,-1.76489,1
130,3.333333,3.111111,-0.963048,1
84,7.555555,8.666667,-2.13694,4
210,42.77778,37.444443,-2.014434,6
72,20.11111,27.88889,-1.846158,1
13,126.111115,45.11111,-2.355244,2
143,2.666667,2.555556,-0.907416,1
42,40,28.666666,-2.120131,4
125,37.555557,26.88889,-1.973025,4
229,18.333334,-3.222222,2.350437,7
154,0,3.555556,-2.01751,5
107,6.666666,17.555555,-2.280146,3
189,25.666666,18.444445,-2.049148,6
202,52.88889,43.22222,-2.060614,6
118,2.555556,3.666667,-1.047198,1
36,0,0,0,5
232,18.11111,-11.111111,1.875362,7
113,26.11111,23,-2.199825,5
120,0.222222,5.555555,-2.057287,3
196,43.88889,34.666668,-2.063864,6
185,14.333333,-2.888889,2.36281,7
30,4.666667,13.888889,-2.047276,5
46,131.55556,30.11111,-2.232616,2
182,37.77778,27.11111,-1.917349,6
109,42.77778,40.444443,-2.105478,4
114,26.222221,30.88889,-2.207158,5
70,35.11111,25.11111,-1.990412,4
227,17.333334,1.444444,2.707051,7
30,108.44444,54.444443,-2.395064,2
102,12.777778,17.555555,-2.378944,3
182,39,28,-1.910677,6
76,7.666666,15.222222,-2.520215,3
138,0.111111,1.111111,-2.094395,3
25,39.88889,30.555555,-2.11881,4
89,99.666664,58.11111,-2.306204,2
127,36,22.444445,-1.908348,4
114,12.555555,8.666667,-1.176662,1
119,15.888889,39.22222,-2.268148,3
117,13.777778,17.666666,-2.005139,5
27,133,27.777779,-2.264129,2
96,59.88889,39.555557,-2.036336,4
181,28,-5.222222,2.378846,7
154,6.333334,15.555555,-2.066916,5
145,0,0,0,5
93,5.222222,15.333333,-2.332766,3
97,15.666667,24.555555,-2.121346,5
216,20.555555,-5.555555,2.284571,7
131,3,0.666667,-0.621222,1
105,40.11111,29.444445,-2.380238,3
181,50.666668,45.444443,-2.020865,6
181,48.22222,40.333332,-2.053189,6
67,17.555555,21.11111,-1.670171,1
35,132,29.222221,-2.146845,2
104,16.88889,19,-2.150638,5
208,48.333332,44.11111,-2.094585,6
96,103.22222,49.555557,-2.085954,2
62,15.777778,18.11111,-1.650123,1
110,2,6.333334,-1.539762,1
79,102.77778,56.444443,-2.377965,2
42,122.333336,44.22222,-2.31442,2
194,36.333336,26.222221,-2.045201,6
25,111.333336,52.555557,-2.360195,2
133,1.888889,6.888889,-2.208419,5
183,48.555557,41,-1.997577,6
130,1.777778,7.777778,-2.366216,3
170,30.88889,-0.333333,2.604013,7
162,37.444443,27,-2.573635,6
25,107.55556,57.333332,-2.396894,2
175,20.11111,-5.444445,2.242196,7
162,37,26.777779,-2.341198,6
112,3.111111,10.222222,-2.435718,3
85,15.444445,18,-1.603957,1
190,43,33.555557,-1.987599,6
198,16.333334,-4.888889,2.221276,7
74,17.666668,20.88889,-1.66658,1
203,18.222221,-10.222222,1.986748,7
45,118,51.444443,-2.35936,2
191,51.22222,46.88889,-2.047053,6
16,105.22222,57.88889,-2.293933,2
173,22.333334,-4.777778,2.332739,7
126,1.777778,10.777778,-2.289097,3
245,14.666667,-7.888889,2.069452,7
36,94.333336,66.55556,-2.232346,2
72,2.555556,14.777778,-2.216721,3
103,56.88889,41,-2.022581,4
172,37.77778,24.88889,-2.143718,6
62,54.666668,51.555557,-2.126207,4
88,19.444445,21,-2.20829,5
77,6.777778,16.222221,-2.467493,3
107,13.888889,12,-1.357871,1
17,126.333336,42,-2.412968,2
195,17.11111,-9.444445,2.011228,7
196,44.77778,36.555557,-2.059262,6
97,43.333332,18.88889,-1.836777,4
246,20,-3.333333,2.395692,7
192,40.333336,33.88889,-2.047243,6
71,35.11111,11.222222,-1.675919,4
94,6.666666,5.666666,-2.869948,3
76,30.666666,21.444445,-1.981499,4
20,31.666666,21.88889,-2.045203,4
95,3.111111,13.666667,-2.333804,3
20,122.55556,46,-2.326919,2
112,3.555556,5.666666,-1.273992,1
13,5.888889,19.777779,-2.074133,5
186,22,-0.888889,2.587396,7
82,100.77778,58.11111,-2.344872,2
210,19.88889,-2.666667,2.461599,7
134,1.333333,10.444445,-2.133095,5
243,18,-3.666667,2.368311,7
102,1.666667,10.333333,-2.261719,3
12,3.555556,15.222222,-2.057978,5
234,11.111111,-8.666667,1.83826,7
199,19.88889,-9.666667,1.905303,7
184,48.555557,38.22222,-1.958014,6
67,100.55556,58.444443,-2.357338,2
60,17.88889,21.666666,-1.713134,1
101,56.77778,45.22222,-2.08957,4
145,0.777778,1.777778,-2.53095,3
90,5.666666,3.333333,-3.044175,3
105,57.88889,39.666668,-1.989475,4
227,17.444445,-4.888889,2.291847,7
49,114.666664,55.88889,-2.315477,2
186,42.555557,35.11111,-1.958085,6
190,52.333332,45.333332,-2.043617,6
136,3.777778,2.888889,-0.924607,1
191,18.555555,-0.888889,2.545329,7
114,3.222222,4.666666,-1.151837,1
111,52.444443,44.11111,-2.058,4
68,50.11111,34.333332,-1.984308,4
25,93.77778,69.55556,-2.253408,2
187,41.555557,34.11111,-1.947472,6
51,19.444445,28.11111,-1.873032,1
54,119.111115,50.88889,-2.328661,2
71,16.666668,18.666666,-1.636863,1
237,18.777779,-9.666667,1.990381,7
111,0,8,-2.094395,3
105,39.666668,31.777779,-1.996082,4
125,1,6.333334,-2.237562,3
202,53.88889,43.11111,-2.043538,6
101,12.555555,8.888889,-1.21111,1
77,35.22222,24,-1.932066,4
226,21.777779,-11.111111,1.82234,7
62,3.777778,15,-2.048717,5
193,36.555557,26.88889,-1.992997,6
125,53.77778,46.555557,-2.145045,4
84,13.666667,23.11111,-2.152852,5
27,135.11111,25.444445,-2.264532,2
91,39.88889,29.555555,-2.346057,3
186,46.22222,37.333332,-1.988249,6
123,3.555556,2,-0.761648,1
209,16.11111,-7.222222,2.060955,7
110,6.333334,19.333334,-2.120265,5
109,10.555555,27.11111,-2.344093,3
122,0.444444,2,-2.444563,3
201,36.11111,26.11111,-2.175826,6
68,120.666664,45.666668,-2.300618,2
32,121.333336,48,-2.333746,2
153,6.222222,15.333333,-2.14389,5
124,3.333333,3.666667,-0.987873,1
125,37.444443,35.333332,-2.096474,4
140,0,1.555556,-2.094395,5
50,101.888885,55,-2.337296,2
143,2,2.777778,-0.87829,1
72,121.111115,47,-2.366197,2
191,51.555557,45.11111,-2.03548,6
102,13.333333,11.888889,-1.447037,1
154,4.777778,-5.111111,-0.004927,5
189,22.88889,19.666666,-2.101002,6
118,3.666667,5,-1.134543,1
137,3.444444,12,-2.193967,3
199,47.77778,42.77778,-2.084754,6
56,14.666667,16.777779,-1.622211,1
123,3.222222,2.555556,-0.837598,1
34,14.888889,22.666666,-1.823148,1
121,2.555556,12.222222,-2.351514,3
