@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R11,16,18,20'

@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
4.222222,9.333333,0.553812,7
45.444443,-21.555555,0.317566,6
1.777778,-5.444445,0.797884,5
9.555555,14.111111,0.447247,7
21.11111,24.666666,0.388973,7
1.222222,-0.777778,0.116667,5
13.888889,16.666666,0.418184,7
23.444445,-8.666667,0.2851,4
0,0,0,3
0.333333,-3.666667,0.94709,3
18.88889,-14.555555,0.399751,1
46.333332,-20.777779,0.312927,4
37.444443,-14.444445,0.280578,4
96.666664,-23.333334,0.212264,2
47.333332,-16.333334,0.272721,6
21.333334,-16.444445,0.408211,1
113.77778,-14.222222,0.194853,2
11.555555,13.777778,0.416705,7
29.444445,-12.111111,0.266436,6
19.222221,-14.111111,0.384997,1
15.666667,-10.222222,0.408913,4
24.666666,-19.555555,0.425691,1
7.333334,-7.888889,0.576021,5
8.777778,-6.333334,0.564898,3
0.777778,-5.777778,0.919597,3
31.555555,-14.222222,0.293208,6
48.88889,-22.11111,0.298622,6
10.222222,14.555555,0.442456,7
0.666667,-3.333333,0.917989,5
15.555555,-9.333333,0.409226,5
18.88889,-14.555555,0.399751,1
14.444445,15.444445,0.401151,7
6,-6.444445,0.574603,1
14.555555,17.777779,0.41042,7
35.666668,-11.111111,0.221187,4
45,-20.222221,0.30043,6
35,-10.333333,0.298471,6
7.555555,14.666667,0.520399,7
8.222222,-9.222222,0.61525,5
10.888889,11.555555,0.371914,7
45.77778,-20.666666,0.301346,6
82.77778,-27.666666,0.316474,2
95.22222,-14.222222,0.250137,2
0.111111,-5.888889,0.986111,3
51.88889,-22.333334,0.307419,4
16.88889,-13.333333,0.452182,5
12.777778,13.777778,0.383167,7
17.11111,-16.666666,0.622071,3
13,-10.666667,0.477489,5
7.444445,-7.222222,0.529982,1
43,-18.666666,0.302982,6
47.11111,-20.777779,0.308859,6
39.444443,-15.444445,0.267251,4
70.66667,-30.555555,0.369638,2
36.88889,-19.444445,0.347454,4
0.555556,-0.555556,0.875926,3
104.333336,-24.777779,0.200484,2
18.333334,-13.888889,0.395253,1
8.333334,-8.333333,0.53858,1
18.666668,-10.444445,0.404099,5
44.88889,-18.88889,0.282687,6
0.111111,-5.888889,0.986111,3
0.444444,-3.666667,1,5
24.333334,-7.666666,0.302071,5
34.555557,-15.666667,0.303876,4
29.11111,-13.222222,0.309461,4
7.555555,-8.222222,0.546517,1
115,-12.777778,0.195127,2
52.666668,-11.111111,0.19713,4
14.777778,-17.222221,0.559546,4
44.11111,-18,0.278822,6
9.888889,-4.888889,0.60922,3
54.77778,-24.88889,0.315538,4
0.555556,-1.111111,0.537037,5
1.222222,-3.111111,0.862771,3
35.77778,-12.555555,0.275368,6
47.333332,-21.11111,0.303602,6
44.77778,-16.222221,0.245321,4
120.77778,-12.222222,0.160604,2
47.11111,-18.333334,0.2694,4
25.222221,-7.666666,0.202846,4
102.55556,-23.444445,0.222954,2
96.44444,-11.777778,0.261838,2
97.666664,-21.88889,0.249895,2
40.22222,-17.555555,0.28154,6
113.22222,-16.555555,0.197569,2
1.666667,-5.111111,0.886048,3
1.111111,-0.888889,0.843518,3
17.11111,19.222221,0.420767,7
0.777778,-2.222222,0.77037,5
96.111115,-12.888889,0.267544,2
29,-11.111111,0.262981,6
50.444443,-22.88889,0.314783,4
4.666667,-6.444445,0.594226,5
93.888885,-23.222221,0.271501,2
50.333332,-24.88889,0.324017,6
0.888889,-5.888889,0.904321,3
53.11111,-24,0.308465,6
136.88889,-2.666667,0.092773,2
5.555555,-5.111111,0.600529,1
22.555555,-9.222222,0.337494,5
5.444445,12.333333,0.569266,7
9.666667,12.555555,0.445509,7
0.222222,-3.666667,0.981482,3
7.444445,11.777778,0.54054,7
19.666668,13.333333,0.335127,7
52.22222,-21.333334,0.287394,4
44,-19.777779,0.300036,6
12.555555,13.555555,0.396399,7
24.11111,-18.222221,0.407623,1
24.777779,-9.222222,0.331954,5
0,0,0,5
0.111111,-4.777778,0.986111,3
21.444445,6.333334,0.231417,7
89.44444,-20.11111,0.268118,2
28.444445,-11.111111,0.266302,6
0,0,0,5
9.444445,13.333333,0.439443,7
114,-13.666667,0.188892,2
103.888885,-21.88889,0.188313,2
1,-4.666666,0.903571,3
0.333333,-2.555556,0.95172,3
