@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exblue-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
56,2.722222,22.11111,27.11111,-1.819915,1
139,0.833333,3.555556,3.333333,-0.965946,1
129,0.666667,3.777778,3,-0.932783,1
113,0.444444,3,3.444444,-0.989308,1
111,1.055556,3.222222,3.888889,-1.065066,1
123,0.666667,4,3.777778,-0.985729,1
124,0.666667,3.555556,3.444444,-0.95784,1
63,1.944444,17.11111,21.88889,-1.813886,1
111,0.611111,3,2.777778,-0.897859,1
55,1.777777,17.555555,23,-1.771163,1
128,0.666667,3.111111,3.333333,-0.985811,1
92,2.166667,13.555555,15.222222,-1.548296,1
83,3.611111,13.888889,13.444445,-1.456819,1
116,0.333333,3.111111,4.111111,-1.099624,1
136,1,3.777778,2.888889,-0.924607,1
111,2.555555,1.777778,5.222222,-1.43724,1
92,2.333333,17.555555,20,-1.637777,1
85,3.944444,15.777778,20,-1.659879,1
118,0.555556,3.222222,3.555556,-1.053347,1
107,1.611111,12.555555,10.444445,-1.312499,1
63,2.111111,15.333333,20.555555,-1.72683,1
111,0.444445,3,4,-1.041434,1
80,3,18.555555,20.222221,-1.620451,1
110,2.666667,13.444445,10.555555,-1.345096,1
131,0.333333,3,0.666667,-0.621222,1
114,1,3.666667,3.666667,-1.0108,1
84,1.611111,18,18.444445,-1.598867,1
144,0.722222,2.666667,2.888889,-0.969119,1
123,0.5,3.222222,2.555556,-0.837598,1
91,2.166666,16.666668,18.88889,-1.630409,1
64,1.388889,17.666668,23.444445,-1.724894,1
90,1.333334,13.444445,12,-1.425885,1
92,2.5,14.333333,15.111111,-1.570588,1
101,1.722222,14.888889,14.777778,-1.520125,1
62,1.222223,15.666667,18,-1.620398,1
62,1.833333,15.777778,18.11111,-1.650123,1
60,2.444445,16.555555,22.11111,-1.709389,1
133,1.166667,3.666667,4.333334,-1.077659,1
134,0.666667,2.555556,1.444444,-0.730465,1
116,0.222222,2.888889,4.111111,-1.093148,1
69,1.611111,18.444445,24.666666,-1.811203,1
122,0.777778,3.333333,3.111111,-0.942559,1
115,0.333333,3.888889,3.666667,-0.965144,1
134,0.722222,3.333333,2.333333,-0.806042,1
96,2.777778,16.222223,16.333334,-1.530686,1
42,1.388889,16.666668,25.555555,-1.842494,1
96,2.833333,16.666668,18.11111,-1.676921,1
114,3.888888,12.555555,8.666667,-1.176662,1
116,0.444445,3.666667,5.222222,-1.19107,1
101,1.777778,12.555555,8.888889,-1.21111,1
88,1.722222,15.666667,15.555555,-1.512555,1
56,1.333334,14.666667,16.777779,-1.622211,1
142,1.5,2.333334,0.666667,-0.604864,1
75,1.5,16.88889,19.777779,-1.641882,1
95,0.944444,16.222223,15.777778,-1.567327,1
133,0.5,3.888889,3.333333,-0.924817,1
117,0.388889,3.888889,3.333333,-0.983947,1
64,1.666666,14,18.666666,-1.755505,1
123,0.388889,3.444444,3.222222,-0.988413,1
113,0.277778,3.444444,4.888889,-1.175454,1
107,1.777778,11.888889,8.222222,-1.131973,1
118,0.444445,3.555556,4.222222,-1.076198,1
126,0.555556,2.555556,2.555556,-0.877707,1
87,2.722222,12.777778,11,-1.318373,1
72,1.666666,19.444445,27.666666,-1.807866,1
85,2.500001,15.444445,18,-1.603957,1
60,2.888889,20.333334,25.444445,-1.776113,1
133,1.166667,3.666667,4.333334,-1.077659,1
89,1.666667,18.11111,19.666666,-1.664008,1
80,2.5,19.555555,25.333334,-1.773594,1
131,0.777778,2.888889,2.444444,-0.874641,1
92,1.777778,17.11111,20.666666,-1.682651,1
53,2.833333,20.11111,33.77778,-1.937482,1
140,0.5,3.666667,2.666667,-0.91962,1
147,0.722222,2.222222,8.555555,-1.561754,1
108,1.388889,12.888889,10.333333,-1.302133,1
45,3.277778,16.444445,20.555555,-1.73537,1
122,0.5,3.444444,4,-1.05144,1
74,2.166667,17.666668,20.88889,-1.66658,1
123,0.388889,3.555556,2,-0.761648,1
141,0.777778,3,2.444444,-0.843732,1
130,1.055556,3.333333,3.111111,-0.963048,1
106,2.111111,14.888889,15.333333,-1.55762,1
53,1.166667,16.333334,17.666666,-1.662177,1
64,2.888888,17.88889,22.777779,-1.756712,1
143,0.444445,2.666667,2.555556,-0.907416,1
71,4.5,16.666668,18.666666,-1.636863,1
137,1.111111,3.333333,1.777778,-0.744272,1
133,0.5,3.888889,3.333333,-0.924817,1
56,1.333333,16.88889,22.444445,-1.759414,1
59,2.055555,15.888889,20.88889,-1.680812,1
125,0.666667,3.555556,4.444445,-1.121818,1
77,2.444445,18.444445,21.222221,-1.68954,1
143,0.5,3,2.333333,-0.796918,1
40,1.111112,12.555555,18.444445,-1.783602,1
117,0.555556,3.444444,5.333334,-1.353896,1
107,3.333333,13.444445,13.111111,-1.370369,1
136,1,3.777778,2.888889,-0.924607,1
73,1.611112,15.333333,18.444445,-1.675465,1
140,0.666667,2.888889,1.666667,-0.783647,1
66,2.944444,21.666666,29.444445,-1.844993,1
