@relation segment

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
67,14.555555,1
115,3.888889,1
40,12.555555,1
117,14.888889,1
149,3.555556,1
73,15.333333,1
96,16.222223,1
114,2.888889,1
55,15.888889,1
145,2.222222,1
63,15.333333,1
142,2.777778,1
109,12.555555,1
107,12.555555,1
140,3.777778,1
109,13.111111,1
85,15.777778,1
101,15.888889,1
61,16.11111,1
88,16.666668,1
86,17.88889,1
89,18.11111,1
132,2.888889,1
41,16.88889,1
147,3.222222,1
72,19.444445,1
108,12.444445,1
55,17.555555,1
143,3,1
100,15.555555,1
126,2.888889,1
98,13.333333,1
104,13.666667,1
119,16.11111,1
111,3,1
81,17,1
117,3.777778,1
115,15.111111,1
68,15.888889,1
120,3.333333,1
142,2.444444,1
130,2.888889,1
124,4.222222,1
59,15.888889,1
122,3.333333,1
117,3.444444,1
139,3.555556,1
104,16.11111,1
116,3.111111,1
74,15.555555,1
114,3.111111,1
116,3.666667,1
59,18,1
122,3.444444,1
103,13.888889,1
60,20.333334,1
60,14.666667,1
116,2.888889,1
132,3.555556,1
63,13.333333,1
135,3.222222,1
64,16.555555,1
91,14.888889,1
114,14.888889,1
70,17.88889,1
149,5.111111,1
96,16.666668,1
116,11.555555,1
106,14.888889,1
42,16.666668,1
121,17.555555,1
122,3.222222,1
56,22.11111,1
135,2.666667,1
123,3.444444,1
77,18.444445,1
51,14.333333,1
60,14.333333,1
56,16.88889,1
60,16.555555,1
112,3.444444,1
44,13.666667,1
124,2.666667,1
146,2.888889,1
89,16.555555,1
71,16.777779,1
138,3,1
92,14.555555,1
121,3.777778,1
103,11.666667,1
118,17.666668,1
68,20.444445,1
56,17.666668,1
67,14.555555,1
113,15.333333,1
128,3.333333,1
66,13.444445,1
131,3,1
116,3.888889,1
92,14.333333,1
117,3.333333,1
137,3.333333,1
108,12.888889,1
116,3.555556,1
117,3.888889,1
142,2.333334,1
111,13.888889,1
87,12.777778,1
92,17.555555,1
118,3.222222,1
129,4,1
66,16.777779,1
106,17.222223,1
45,16.444445,1
94,15.666667,1
57,20.222221,1
144,2.666667,1
122,3,1
149,3.555556,1
57,19.777779,1
134,2.555556,1
106,14.111111,1
101,16.555555,1
134,3.666667,1
81,15.222222,1
138,3.333333,1
64,17.88889,1
107,13.444445,1
123,2.333334,1
101,14.888889,1
135,3,1
65,15.555555,1
124,3.333333,1
62,15.666667,1
103,13.222222,1
139,3,1
145,2.222222,1
110,13.444445,1
122,3.888889,1
104,16.555555,1
84,18,1
147,1.888889,1
75,18.88889,1
104,15.444445,1
69,19.11111,1
61,14,1
55,17.555555,1
74,16.666668,1
145,1.888889,1
131,3.666667,1
95,16,1
70,19.666668,1
110,13.444445,1
126,3.111111,1
129,3.777778,1
60,20.333334,1
86,13.666667,1
118,3.222222,1
118,3.555556,1
123,4,1
67,16.333334,1
56,20,1
133,3.666667,1
143,3,1
126,4.888889,1
90,13.444445,1
147,3.888889,1
128,3.111111,1
133,3.666667,1
111,3.444444,1
135,2,1
138,2.666667,1
111,3.444444,1
114,3.666667,1
100,16.444445,1
126,2.555556,1
145,3,1
140,3.666667,1
92,17.11111,1
134,3.333333,1
101,13.888889,1
113,3,1
88,15.666667,1
64,17.666668,1
111,1.777778,1
136,4.111111,1
108,16.555555,1
81,14.555555,1
125,3.444444,1
102,17.333334,1
128,2.777778,1
129,3.777778,1
145,3,1
111,15.111111,1
139,3.555556,1
83,14.333333,1
92,13.555555,1
118,3.555556,1
108,12.888889,1
107,11.888889,1
67,20.444445,1
100,15.444445,1
128,3,1
59,18.555555,1
86,20.222221,1
113,10.111111,1
102,17.333334,1
130,4.666667,1
124,3.444444,1
44,13.666667,1
124,3.666667,1
116,3.666667,1
111,2.888889,1
91,16.666668,1
68,12.444445,1
86,18,1
66,21.666666,1
143,2.777778,1
111,3.222222,1
92,17.555555,1
73,13.888889,1
98,15.777778,1
124,3.333333,1
53,20.11111,1
123,4.555555,1
124,2.777778,1
138,3.333333,1
126,3.777778,1
140,3.777778,1
116,16.333334,1
64,14,1
83,13.888889,1
111,3.222222,1
115,4,1
124,3.444444,1
90,16.777779,1
116,3.111111,1
115,12.222222,1
62,20.666668,1
130,4.222222,1
