@relation segment

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
53,27.444445,16.333334,1
106,29.88889,17.222223,1
55,31.11111,17.555555,1
102,29.777779,17.333334,1
120,6.777778,3.333333,1
107,23,13.444445,1
116,8.444445,3.888889,1
140,6.888889,3.666667,1
103,22.777779,13.888889,1
143,6.777778,2.777778,1
98,20.777779,13.333333,1
60,35.22222,20.333334,1
108,21.11111,12.888889,1
124,7.333334,3.333333,1
91,28.777779,16.666668,1
62,37.666668,20.666668,1
60,24.777779,14.333333,1
146,6.777778,2.888889,1
140,5.555555,2.888889,1
134,6.666666,3.333333,1
74,30.555555,17.666668,1
111,7.666666,3.444444,1
91,24.555555,14.888889,1
107,19.444445,11.888889,1
117,7.444445,3.333333,1
111,5.555555,1.777778,1
111,7,3.222222,1
115,24.11111,15.111111,1
85,27.11111,15.444445,1
137,6.444445,3.333333,1
117,24.11111,14.888889,1
114,17.11111,10.333334,1
89,28.444445,16.88889,1
147,7.444445,2.222222,1
130,7.222222,4.222222,1
83,23.222221,13.888889,1
72,35.77778,20.11111,1
66,24,13.444445,1
135,6.444445,3,1
61,28.777779,16.11111,1
121,30.11111,17.555555,1
57,34.444447,19.777779,1
61,30.666666,17.88889,1
80,31.555555,18.555555,1
108,19.88889,12.444445,1
116,7,3.111111,1
86,23.555555,13.666667,1
111,7.666666,3.444444,1
84,30,18,1
102,29.777779,17.333334,1
69,34.444447,19.11111,1
143,5.888889,2.666667,1
75,29.333334,16.88889,1
126,5.666666,2.888889,1
89,30.444445,18.11111,1
90,32.22222,18.666668,1
56,37.666668,22.11111,1
131,6.666666,3.666667,1
116,8.222222,3.666667,1
125,7.666666,3.555556,1
144,5.777778,2.666667,1
104,24.88889,15.444445,1
101,19.88889,12.555555,1
138,6.555555,3.333333,1
64,31.222221,17.88889,1
65,26.777779,15.555555,1
66,38.22222,21.666666,1
106,25.11111,14.888889,1
128,6.666666,3.111111,1
145,4,2.222222,1
94,27.333334,15.666667,1
56,31.333334,17.666668,1
141,6.222222,3,1
110,6.333334,2,1
116,27.555555,16.333334,1
118,6.222222,2.555556,1
79,21,12.111111,1
124,6,2.666667,1
53,38.333336,20.11111,1
122,6.888889,3.333333,1
116,27.555555,16.333334,1
134,7.111111,3.666667,1
75,31.666666,18.88889,1
86,31.333334,18,1
145,6.555555,3,1
62,27.222221,15.777778,1
116,8.222222,3.666667,1
132,6.222222,3.555556,1
122,6.666666,3.222222,1
56,25.444445,14.666667,1
129,7.333334,3.777778,1
60,35.22222,20.333334,1
126,8.222222,4.888889,1
78,31.222221,18.555555,1
103,28,16.333334,1
74,26.88889,15.555555,1
128,5.444445,2.777778,1
59,30.88889,18,1
112,8.111112,3.555556,1
58,27.333334,15.444445,1
138,5.444445,2.666667,1
139,7.222222,3.555556,1
75,27.11111,15.777778,1
143,5.444445,2,1
123,6.666666,3.222222,1
123,8.444445,4.555555,1
100,25.555555,15.444445,1
139,7.222222,3.555556,1
77,34.444447,20.222221,1
119,27.333334,16.11111,1
149,8.777778,3.666667,1
111,6.333334,3,1
118,7.666666,3.555556,1
100,28.444445,16.444445,1
149,11.888889,5.111111,1
145,4,2.222222,1
123,6.777778,3.555556,1
44,25.222221,13.666667,1
114,6.111111,3.111111,1
124,7.111111,3.444444,1
95,26.666666,16.222223,1
67,25.88889,14.555555,1
129,7.555555,4,1
113,25.444445,15.333333,1
101,26.777779,15.888889,1
75,34.77778,19.777779,1
133,7.777778,3.888889,1
115,28,16.777779,1
111,22.222221,13.888889,1
61,24.222221,14,1
57,34.444447,19.777779,1
113,6.333334,3,1
121,7.444445,3.777778,1
60,25.777779,14.666667,1
51,35.11111,19.444445,1
88,26.333334,15.666667,1
63,29.666666,17.11111,1
42,31.11111,16.666668,1
147,9.222222,3.222222,1
95,26.222221,16,1
68,36.88889,20.444445,1
139,6.444445,3,1
115,7.888889,3.888889,1
118,7,3.555556,1
113,6.666666,3,1
142,5.222222,2.444444,1
67,25.88889,14.555555,1
63,23.666666,13.333333,1
56,36,20,1
67,30.777779,17.555555,1
96,27.777779,16.666668,1
107,22.88889,13.888889,1
89,27.777779,16.555555,1
41,29.777779,16.88889,1
129,7.333334,3.777778,1
108,21.11111,12.888889,1
63,27.777779,15.333333,1
128,7.222222,3.333333,1
143,6.444445,3,1
50,30,17.444445,1
74,28.88889,16.666668,1
81,26.11111,15.222222,1
77,31.555555,18.444445,1
118,6.666666,3.222222,1
101,25,14.888889,1
104,28.333334,16.11111,1
110,21.444445,13.444445,1
114,7.444445,3.222222,1
80,34.444447,19.555555,1
135,5.444445,2.666667,1
128,6.555555,3,1
118,29,17.666668,1
114,7.333334,2.888889,1
67,27.88889,16.333334,1
54,32.555557,18.444445,1
124,7.333334,3.555556,1
115,21.777779,12.222222,1
130,8.666667,4.666667,1
68,23,12.444445,1
136,6.444445,3.333333,1
103,22.555555,13.222222,1
62,27.222221,15.666667,1
111,6.333334,3,1
132,6.111111,2.888889,1
92,30.333334,17.555555,1
77,32.333336,19.11111,1
111,7,3,1
102,21.88889,13.333333,1
68,28.444445,15.888889,1
122,6.666666,3,1
133,7.777778,3.888889,1
117,26.333334,16.222223,1
88,27.333334,15.666667,1
116,7.666666,3.555556,1
145,6.555555,3,1
143,6.222222,3,1
118,8.111112,3.666667,1
130,6.888889,3.333333,1
107,20.666668,12.555555,1
135,6.444445,3.222222,1
129,7.444445,3.777778,1
86,30.222221,17.88889,1
113,25.444445,15.333333,1
59,34.333336,18.555555,1
89,23.88889,14.222222,1
111,7,2.888889,1
111,6.888889,3.222222,1
70,34,19.666668,1
34,27.88889,14.888889,1
145,5,1.888889,1
81,28.777779,17,1
116,20,11.555555,1
93,26.777779,15.444445,1
140,7.333334,3.777778,1
113,7.777778,3.444444,1
133,7.888889,3.666667,1
114,24.666666,14.888889,1
40,23.333334,12.555555,1
98,25.88889,15.777778,1
126,8,3.777778,1
117,7.555555,3.444444,1
138,6.333334,3,1
69,32.555557,18.444445,1
111,24.88889,15.111111,1
147,6.666666,1.888889,1
124,7.444445,3.666667,1
126,6.777778,3.111111,1
59,28.777779,15.888889,1
117,7.444445,3.888889,1
147,11,3.888889,1
136,7.222222,3.777778,1
142,5.222222,2.333334,1
106,23.666666,14.111111,1
85,28.11111,15.777778,1
100,26,15.555555,1
128,6.666666,3.111111,1
92,24.11111,14.333333,1
131,5.444445,3,1
128,6.444445,3.444444,1
96,27.333334,16.222223,1
85,21.88889,13.111111,1
149,8.666667,3.555556,1
124,7.333334,3.333333,1
134,5.222222,2.555556,1
88,28.444445,16.666668,1
73,24.11111,13.888889,1
66,29.88889,16.777779,1
116,28.11111,16.88889,1
134,6.222222,2.888889,1
130,6.666666,3.222222,1
44,25.222221,13.666667,1
114,20.11111,12.555555,1
101,29.222221,16.555555,1
115,7.888889,3.666667,1
81,24.666666,14.555555,1
142,4.888889,2.333334,1
135,4.777778,2,1
92,23.777779,13.555555,1
133,7.888889,3.666667,1
125,6.888889,3.444444,1
60,31,17.88889,1
70,30.11111,17.88889,1
57,36.22222,20.222221,1
113,6.666666,3,1
124,7.222222,3.333333,1
118,6.666666,3.222222,1
103,19.11111,11.666667,1
101,23.555555,13.888889,1
131,6,2.888889,1
92,29.777779,17.11111,1
95,26.666666,16.222223,1
123,6.888889,3.444444,1
72,35.444447,19.444445,1
118,27.333334,15.777778,1
136,8,4.111111,1
116,6.777778,2.888889,1
112,7.222222,3.444444,1
85,21.88889,13.111111,1
124,5.666666,2.777778,1
56,30.222221,16.88889,1
55,26.666666,15.888889,1
71,29.666666,16.777779,1
130,6.222222,2.888889,1
124,8.777778,4.222222,1
124,7.111111,3.444444,1
90,29.11111,16.777779,1
71,28.555555,16.666668,1
120,30.444445,18.444445,1
126,5.777778,2.555556,1
104,28.666666,16.555555,1
84,30,18,1
55,31.11111,17.555555,1
101,26.777779,15.888889,1
131,6.111111,3,1
113,16.88889,10.111111,1
64,28.88889,16.555555,1
109,20,12.555555,1
57,121.55556,90.22222,2
86,124.111115,100.333336,2
24,141.66667,123.55556,2
18,147.88889,134.33334,2
28,131.22223,107.22222,2
50,139.77779,116.55556,2
33,128.66667,106.333336,2
41,128.88889,105.111115,2
66,128.77779,107,2
45,124,92.55556,2
97,145.44444,131.11111,2
16,131.11111,105.22222,2
67,125.55556,100.55556,2
70,127.77778,105.77778,2
37,121.111115,86.55556,2
62,127.111115,102.77778,2
101,147.22223,131.11111,2
80,127.333336,103,2
40,129,105.77778,2
81,124.888885,101,2
62,139.33334,118.77778,2
27,146.55556,135.11111,2
15,149.55556,137.44444,2
91,123.44444,98.666664,2
21,142.44444,120.888885,2
