@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Intensity-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
126,0.844445,6.481482,-8.111111,1
129,0.874074,6.666666,-8,1
108,1.174074,17.11111,-14,1
113,2.785182,14.703704,-13.777778,1
72,0.577776,26.222221,-20.333334,1
111,0.151852,5.407407,-7.222222,1
80,1.9,26,-19.333334,1
88,1.040741,20.592592,-14.777778,1
41,1.777778,22.481482,-16.777779,1
128,0.311111,5.555555,-7.333334,1
107,2.740741,18.88889,-15,1
92,1.022222,19.37037,-14.444445,1
147,0.077778,4.148148,-6.777778,1
107,1.92963,17.185184,-13.888889,1
124,0.02963,5.111111,-7.333334,1
149,0.151852,5.444445,-5.666666,1
53,3.011111,27.074074,-20.88889,1
100,0.907407,22.222221,-17.333334,1
50,0.488889,23.037037,-16.777779,1
70,2.196296,26.037037,-19.11111,1
139,0.207407,5.333334,-7,1
113,0.151852,5.481482,-7.444445,1
102,1.485186,23.074074,-17.222221,1
114,0.533333,6.222222,-7.666666,1
114,0.044444,5.259259,-6.444445,1
134,0.296296,6.074074,-7.222222,1
67,1.185185,23.74074,-18.555555,1
133,0.211111,6.444445,-8.333333,1
93,9.140738,20.37037,-14.777778,1
122,0.118519,5.62963,-7.222222,1
60,1.366668,23.777779,-17.666666,1
149,0.507407,7.518518,-7.222222,1
143,0.133333,4.518518,-7.555555,1
123,0.122222,5.814815,-7.777778,1
146,0.266667,5.111111,-6.666666,1
40,2.118518,17.185184,-13.888889,1
116,0.074074,5.407407,-7.555555,1
110,2.374073,4.222222,-6.666666,1
110,1.022223,17.925926,-13.444445,1
56,1.84074,26.444445,-19.333334,1
131,0.207407,5.185185,-6.888889,1
55,0.862964,21.037037,-15.444445,1
108,0.151852,21.925926,-16.11111,1
131,0.207407,5.962963,-6.888889,1
80,3.866667,24.814816,-18.777779,1
89,4.044442,22.333334,-16.333334,1
137,0.474074,5.851852,-7.555555,1
88,2.385183,22.148148,-16.444445,1
106,2.72963,23.037037,-17.444445,1
104,2.000002,21.925926,-16.11111,1
73,2.507408,20.62963,-15.888889,1
117,0.444445,21.222221,-15,1
103,2.151852,16.148148,-13.444445,1
65,2.355557,20.814816,-15.777778,1
51,2.107407,19.592592,-15.777778,1
67,3.185185,20,-16.333334,1
84,2.285188,23.851852,-17.555555,1
116,0.874074,21.703703,-16.11111,1
123,0.062963,6.111111,-7.666666,1
117,2.151851,19.88889,-15,1
60,2.874074,26.74074,-19.222221,1
68,1.218517,17.703703,-15.777778,1
143,0.311111,5.296296,-6.888889,1
121,2.444443,23.11111,-16.666666,1
118,0.196296,6.074074,-7.555555,1
118,4.285184,21.11111,-16,1
114,0.074074,5.444445,-7.666666,1
70,1.144442,23.666666,-17.333334,1
129,0.177778,6.333334,-7.666666,1
92,0.651851,22.88889,-17.333334,1
103,1.096296,18.962963,-15.222222,1
113,0.118519,5.518518,-7.555555,1
117,0.211111,5.888889,-7.666666,1
115,0.177778,6.777778,-8.333333,1
60,0.062963,19.333334,-15,1
60,1.94074,22.62963,-18.222221,1
78,5.86667,24.592592,-18.11111,1
135,0.374074,5.703704,-7.444445,1
111,0.151852,5.925926,-8.111111,1
117,0.074074,5.777778,-7,1
89,4.862958,21.88889,-16,1
83,0.429631,19.444445,-15.333333,1
64,0.462963,24.074074,-19.222221,1
126,0.251852,5.777778,-8,1
116,0.133333,5.62963,-7.555555,1
57,1.718517,26.296297,-19.555555,1
126,0.074074,4.925926,-7.111111,1
69,1.44074,24.333334,-17.666666,1
115,0.133333,6.666666,-8.333333,1
85,0.962963,17.962963,-14.555555,1
136,0.444444,6.259259,-7.444445,1
140,0.577778,6.333334,-7.666666,1
114,0.596297,19.851852,-14.888889,1
60,0.729629,19.925926,-15.777778,1
142,0.374074,5.037037,-6.777778,1
118,0.107407,5.62963,-7.222222,1
130,0.566666,7.296296,-7.888889,1
63,3.096295,20.925926,-16.777779,1
102,3.262961,17.925926,-13.777778,1
130,0.577778,5.777778,-7.666666,1
124,0.340741,5.888889,-7.333334,1
140,0.577778,6.333334,-7.666666,1
74,0.133333,22.407408,-17.222221,1
104,5.040743,20.185184,-14.222222,1
101,0.596295,22.444445,-17.666666,1
122,0.166667,6.407407,-7.555555,1
42,0.507407,22.592592,-17.777779,1
130,0.151852,5.333334,-7.333334,1
92,2.240742,23.444445,-17.666666,1
68,0.877779,27.185184,-20.222221,1
123,0.118519,4.555555,-6.666666,1
135,0.074074,5.518518,-7.555555,1
125,0.311111,6.185185,-7.888889,1
66,1.01111,18.666666,-15.666667,1
139,0.522222,6.111111,-7.666666,1
77,6.029632,24.481482,-18.11111,1
116,0.207407,6.62963,-8.222222,1
113,0.151852,6.148148,-8.111111,1
122,0.177778,5.555555,-7.666666,1
111,0.118519,5.666666,-8,1
124,0.062963,5.111111,-7,1
143,0.162963,5.444445,-8,1
98,0.551853,17.481482,-12.444445,1
111,0.507407,5.703704,-7.444445,1
64,1.422222,18.88889,-14.666667,1
137,0.474074,5.851852,-7.555555,1
124,0.107407,6.037037,-8.111111,1
90,0.399999,24.851852,-18.555555,1
62,0.966668,21.185184,-16.222221,1
108,0.951852,17.666666,-14.333333,1
91,1.277778,22.481482,-17.444445,1
86,2.577779,24.296297,-18.88889,1
149,1.244444,5.518518,-5.555555,1
106,3.14074,20,-15.333333,1
116,0.074074,22.11111,-15.666667,1
72,6.296294,26.481482,-19.11111,1
71,2.077779,22.777779,-18,1
130,0.666667,6.62963,-7.222222,1
125,0.177778,5.851852,-7.222222,1
132,0.162963,5.37037,-7.444445,1
111,0.818518,19.925926,-14.444445,1
113,0.207407,5.592593,-7.777778,1
112,0.088889,6.222222,-8,1
129,0.296296,6.407407,-7.888889,1
126,0.355555,7.296296,-7.222222,1
120,0.118518,5.962963,-7.888889,1
124,0.311111,6.185185,-7.888889,1
85,0.962963,17.962963,-14.555555,1
100,3.644445,20.62963,-15.555555,1
92,0.877778,19.074074,-14.222222,1
55,0.785185,23.444445,-17.666666,1
138,0.074074,5.444445,-7.333334,1
112,0.162963,5.925926,-7.444445,1
56,1.574072,28.62963,-19.555555,1
85,9.440739,21.444445,-17,1
122,0.118519,5.851852,-7.555555,1
109,0.800001,17.777779,-14,1
128,0.207407,5.925926,-7.444445,1
106,1.174074,19.11111,-15,1
128,0.044444,5.962963,-7.888889,1
107,1.540741,16.703703,-14.444445,1
133,0.077778,6.666666,-8.333333,1
59,1.485185,23.851852,-17.555555,1
101,1.218518,21.296297,-16.222221,1
126,0.418519,5.407407,-7.555555,1
101,0.607407,16.925926,-13.111111,1
58,2.285186,20.925926,-16.444445,1
61,7.185185,18.962963,-14.888889,1
51,0.888889,25.74074,-18.88889,1
74,2.477778,23.592592,-17.777779,1
108,0.951852,17.666666,-14.333333,1
87,4.374074,17.333334,-13.666667,1
75,8.296293,24.851852,-17.88889,1
56,1.6,22.74074,-17.555555,1
143,0.074074,5.037037,-7.111111,1
81,3.751853,20.481482,-15.777778,1
101,1.885187,20.074074,-15.555555,1
63,2.462962,22.37037,-15.777778,1
75,2.21111,22.74074,-17.555555,1
114,3.762962,17.222221,-14,1
34,2.033333,20.333334,-16.333334,1
96,3.362961,21.88889,-17,1
147,0.418518,4.592593,-7.111111,1
103,1.54074,18.333334,-15.333333,1
95,0.551851,21.407408,-15.555555,1
96,3.855554,21.74074,-15.222222,1
111,0.151852,5.407407,-7.222222,1
125,0.311111,6.185185,-7.888889,1
111,0.385187,3.814815,-6.111111,1
66,3.885185,28.407408,-20.222221,1
94,2.888891,21.222221,-16.666666,1
92,1.277778,18.703703,-15.444445,1
77,6.56296,25.185184,-18.222221,1
128,0.311111,5.555555,-7.333334,1
69,2.562964,25.666666,-19.666666,1
56,1.022222,19.851852,-15.555555,1
67,1.544446,22.25926,-17.777779,1
104,1.322222,18.703703,-15.111111,1
45,1.44074,21.925926,-16.444445,1
90,1.822224,18.11111,-14,1
53,0.433333,21.555555,-15.666667,1
121,0.107407,6.407407,-7.888889,1
136,0.074074,5.62963,-6.888889,1
134,0.062963,5.888889,-7.666666,1
124,0.107407,6,-8,1
59,0.862963,21.814816,-17.777779,1
115,2.829631,19.925926,-14.444445,1
86,1.307409,18.592592,-14.777778,1
149,0.151852,5.444445,-5.666666,1
67,1.229631,27.148148,-20.11111,1
123,0.151852,5.814815,-7.111111,1
116,0.874074,21.703703,-16.11111,1
60,2.874074,26.74074,-19.222221,1
133,0.211111,6.444445,-8.333333,1
142,0.522222,4.666666,-7,1
63,0.700001,18.074074,-14.222222,1
102,0.8,20.25926,-14.444445,1
