@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Hedge-sd numeric
@attribute Rawred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
69,0,1.144444,1.44074,22,-1.811203,1
102,0,1.851851,3.262961,18.555555,-1.447037,1
129,0,0.562963,0.874074,8.444445,-0.843904,1
117,0,0.207407,0.062963,7.666666,-0.983947,1
136,0,0.418519,0.444444,7.777778,-0.924607,1
114,0,0.062963,0.122222,7,-1.151837,1
118,0,0.177778,0.074074,6.222222,-1.047198,1
54,0,1.674073,4.329629,22.777779,-1.760752,1
45,0,3.174073,1.44074,20.555555,-1.73537,1
71,0,1.807406,2.077779,21.88889,-1.66796,1
68,0,3.040739,1.218517,17.666668,-1.563972,1
124,0,0.02963,0.388889,7.555555,-1.011484,1
77,0,1.496295,5.618516,24.555555,-1.768872,1
90,0,2.074072,3.274074,22,-1.622331,1
111,0,0.162963,0.385187,4.111111,-1.43724,1
142,0,0.122222,0.522222,6.777778,-0.604864,1
113,0,1.52963,1.529629,20,-1.585609,1
138,0,0.562963,0.3,7.333334,-0.862108,1
110,0,5.351851,1.022223,18.88889,-1.345096,1
64,0,1.362962,1.422222,17.555555,-1.755505,1
75,0,4.611113,3.718518,23.333334,-1.8356,1
130,0,0.596297,0.666667,8.444445,-0.764077,1
132,0,0.077778,0.162963,7.111111,-0.808383,1
101,0,0.118519,0.596295,21.555555,-1.674318,1
102,0,0.607408,1.485186,22.11111,-1.68544,1
114,0,2.018517,3.762962,19,-1.176662,1
59,0,3.5,0.862963,20.777779,-1.680812,1
95,0,1.007408,0.551851,21.333334,-1.567327,1
111,0,0.374074,0.429629,7,-1.175773,1
89,0,2.907407,4.862958,21.333334,-1.611365,1
88,0,0.477778,2.385183,21.333334,-1.653787,1
89,0,1.762962,3.496296,18.777779,-1.544214,1
74,0,9.940739,2.477778,22.555555,-1.66658,1
66,0,2.162962,5.144446,21.222221,-1.733544,1
68,0,1.485186,5.096297,20.444445,-1.700324,1
64,0,5.496297,4.34074,21.777779,-1.756712,1
118,0,0.062963,0.118518,6.555555,-1.053347,1
131,0,0.42963,0.207407,7.555555,-0.804846,1
123,0,0.118518,0.118519,6,-0.853547,1
74,0,1.555556,0.133333,21.666666,-1.646671,1
132,0,0.122222,0.32963,7.444445,-0.726018,1
140,0,0.462963,0.577778,7.888889,-0.909267,1
73,0,1.085185,2.507408,19.777779,-1.675465,1
122,0,0.062963,0.177778,7,-0.953435,1
135,0,0.296296,0.074074,7.111111,-0.892179,1
107,0,1.940741,2.740741,19.88889,-1.357871,1
85,0,8.207409,9.440739,20.444445,-1.659879,1
124,0,0.122222,0.062963,6.888889,-0.752669,1
75,0.111111,1.911109,8.296293,24,-1.652768,1
147,0,0.42963,0.107407,5.666666,-1.50837,1
60,0,0.785184,0.062963,18.88889,-1.623392,1
140,0,0.462963,0.577778,7.888889,-0.909267,1
121,0,0.118518,0.107407,8,-0.914324,1
67,0,1.396297,1.229631,25.11111,-1.768356,1
116,0,1.633333,0.874074,21.222221,-1.632243,1
129,0,0.433333,0.177778,7.888889,-0.932783,1
103,0,0.596296,2.151852,17.666668,-1.219211,1
125,0,0.062963,0.311111,7.333334,-1.121818,1
149,0,0.251852,0.151852,4.111111,-1.985703,1
137,0,0.166667,0.474074,7.777778,-0.744272,1
95,0,3.733334,7.188887,21.11111,-1.555549,1
113,0,0.996296,2.785182,17.11111,-0.9757,1
92,0,0.429631,2.240742,22.777779,-1.653926,1
124,0,0.074074,0.340741,7.111111,-1.037663,1
146,0,0.122222,0.266667,5.666666,-1.258358,1
84,0,1.277777,2.285188,23.555555,-1.598867,1
123,0,0.088889,0.151852,7.111111,-0.988413,1
136,0,0.196296,0.074074,7.111111,-0.896533,1
60,0,0.3,0.729629,19.333334,-1.650048,1
51,0,1.999999,2.107407,18.777779,-1.68129,1
85,0,1.051853,0.962963,18.88889,-1.386867,1
130,0,0.122222,0.151852,6.888889,-0.889024,1
147,0,0.107407,0.562963,5.444445,-1.783388,1
139,0,0.177778,0.207407,6.555555,-1.004936,1
123,0,2.474074,1.096297,7.888889,-1.18068,1
131,0,0.074074,0.207407,6.666666,-0.874641,1
111,0,0.311111,0.507407,6.888889,-1.065066,1
120,0,0.844445,4.029627,22.11111,-1.76489,1
125,0,0.062963,0.177778,7.222222,-0.944272,1
124,0,0.062963,0.444444,8.222222,-1.157082,1
115,0,0.388889,0.607407,7.333334,-1.175454,1
110,0,5.351851,1.022223,18.88889,-1.345096,1
118,0,0.118518,0.162963,7.555555,-1.076198,1
56,0,0.207407,1.022222,19.444445,-1.622211,1
77,0.111111,1.851852,6.56296,24.11111,-1.677308,1
128,0,0.044444,0.151852,6.888889,-0.688601,1
118,0,0.018518,0.107407,7,-0.960827,1
113,0,0.240741,0.151852,7.111111,-0.851202,1
103,0,3.411113,2.166668,21.222221,-1.634396,1
144,0,0.062963,0.32963,6,-0.969119,1
126,0,0.207407,0.074074,6.444445,-0.877707,1
111,0,0.074074,0.151852,7.666666,-0.872666,1
116,0,1.633333,0.874074,21.222221,-1.632243,1
81,0,2.21111,1.01111,20.333334,-1.472378,1
34,0,3.688889,2.033333,18.222221,-1.823148,1
104,0,3.629631,1.322222,19.222221,-1.446641,1
111,0,0.151852,0.118519,7,-1.041434,1
125,0,0.062963,0.311111,7.333334,-1.121818,1
113,0,1.52963,1.529629,20,-1.585609,1
78,0,2.34074,5.86667,24,-1.610448,1
88,0,1.885185,3.396294,21.444445,-1.512555,1
124,0,0.151852,0.311111,7.666666,-0.95784,1
62,0,2.118518,6.374074,23.777779,-1.888408,1
42,0,0.151851,0.507407,20,-1.842494,1
75,0,1.407408,2.21111,22,-1.641882,1
40,0,2.711112,2.118518,15.666667,-1.783602,1
134,0,0.062963,0.062963,6.777778,-0.912631,1
56,0,0.4,1.84074,23.333334,-1.863182,1
108,0,0.433333,1.174074,19,-1.169517,1
116,0,0.477778,0.611111,7.111111,-1.163245,1
86,0,0.651853,1.307409,18.555555,-1.541502,1
101,0,2.311111,0.607407,18.333334,-1.21111,1
126,0,0.062963,0.251852,7.444445,-0.895807,1
107,0,2.029629,2.266665,19.444445,-1.370369,1
145,0,0.162963,0.062963,6.333334,-1.068968,1
86,0,1.218519,2.577779,23.555555,-1.650844,1
87,0,3.096294,4.374074,18.222221,-1.318373,1
128,0,0.340741,0.207407,7.888889,-0.7213,1
128,0,0.077778,0.311111,6.888889,-0.985811,1
98,0,0.42963,3.229632,21,-1.528895,1
123,0,0.151852,0.062963,8,-0.761648,1
113,0,0.255556,0.207407,7.111111,-0.942558,1
118,0,1.529629,9.496296,21.555555,-1.707392,1
142,0,0.062963,0.151852,6.777778,-0.675123,1
126,0,0.211111,0.355555,8.777778,-0.913675,1
130,0,0.340741,0.566666,8.555555,-1.056659,1
80,0,4.162963,1.9,24,-1.773594,1
123,0,0.207407,0.122222,7.555555,-0.837598,1
103,0,0.32963,1.54074,19.222221,-1.397414,1
147,0,0.133333,0.418518,4.111111,-1.561754,1
101,0,0.385185,1.885187,20.333334,-1.520125,1
108,0,0.640741,0.151852,21,-1.683529,1
136,0,0.122222,0.088889,8.333334,-0.963931,1
137,0,0.166667,0.474074,7.777778,-0.744272,1
84,0,1.277777,2.285188,23.555555,-1.598867,1
106,0,2.518518,3.14074,20,-1.55762,1
108,0,0.8,0.951852,19,-1.302133,1
111,0,0.907407,0.818518,19.777779,-1.58144,1
57,0,3.411111,1.718517,24.666666,-1.739017,1
138,0,0.122222,0.077778,6.777778,-0.722894,1
90,0,0.596296,1.822224,18.777779,-1.425885,1
149,0,0.122222,0.507407,5.555555,-2.018631,1
113,0,0.077778,0.151852,7.222222,-1.175454,1
92,0,0.562964,3.822222,23.11111,-1.637777,1
114,0,0.196296,0.533333,7.555555,-1.0108,1
100,0,0.107408,1.140741,21.666666,-1.477019,1
111,0,1.466666,1.022222,19.777779,-1.333792,1
143,0,0.062963,0.033333,7.555555,-0.796918,1
85,0,0.518519,0.655555,20.777779,-1.603957,1
115,0,1.822221,4.211112,21.333334,-1.619549,1
60,0,2.329629,2.874074,24.666666,-1.776113,1
66,0,3.040741,3.885185,25.333334,-1.844993,1
138,0,0.562963,0.3,7.333334,-0.862108,1
89,0,0.385185,4.044442,21.666666,-1.625587,1
44,0,2.388888,1.529629,17.333334,-1.753726,1
