@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,10,14,16,19-20'

@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,43.592594,-12.111111,-15.777778,-1.998857,6
51,19.592592,-2.444444,-15.777778,-1.68129,1
115,22.962963,-10.555555,-8.888889,-2.14867,5
64,18.88889,-4,-14.666667,-1.755505,1
130,1.37037,-3.777778,-2.111111,-2.239029,3
64,31,-19,-2,-2.593825,3
123,6.740741,4.444445,-8.222222,-0.985729,1
96,3.555556,-8,-4.666666,-2.244482,3
184,45.22222,-10.333333,-17.333334,-1.930196,6
120,39.333332,-11.666667,-13.666667,-2.046753,4
153,3.37037,-1.111111,-0.444444,-2.221716,5
144,0.666667,-0.333333,-0.666667,-1.90427,5
139,0.444444,-1.333333,-1.333333,-2.094395,3
83,19.444445,0.333333,-15.333333,-1.507007,1
57,126.111115,-31,-12,-2.362514,2
109,17.777779,4.333334,-14,-1.276562,1
51,126.333336,-28,-13.666667,-2.306687,2
78,43.814816,-8.111111,-16.11111,-1.886072,4
195,61.592594,-20.777779,-24.444445,-2.037116,6
189,58.407406,-21.222221,-20.88889,-2.101326,6
191,63,-23.666666,-26,-2.062286,6
235,9.185185,-7.222222,10.777778,2.310758,7
47,107.111115,-41.666668,-23.333334,-2.271072,2
13,70.37037,-29.11111,-24.11111,-2.154989,4
242,11.740741,-9.222222,12.111111,2.386597,7
68,56.77778,-14.333333,-20,-1.984308,4
117,6.444445,2.666667,-8,-1.233256,1
83,18.222221,-14.666667,-11.333333,-2.178321,5
133,0,0,0,0,3
45,21.925926,-4.111111,-16.444445,-1.73537,1
129,0.518518,-1.555556,-1.555556,-2.094395,3
27,138.07408,-16.555555,-8.888889,-2.264532,2
188,61.074074,-21.88889,-22.88889,-2.079095,6
92,23.444445,-2,-17.666666,-1.653926,1
79,41.407406,-10.222222,-14.555555,-1.984583,4
192,47.51852,-15.555555,-19.555555,-2.020234,6
238,13.62963,-7.555555,16.444445,2.046683,7
63,6.074074,-6.222222,-7.222222,-2.04457,5
137,0.777778,-2.333333,-2,-2.123254,3
134,0.518518,-1.555556,-1.555556,-2.094395,5
134,1.037037,-3.111111,-3.111111,-2.094395,5
161,41.48148,-16.444445,-12.444445,-2.316506,6
187,58.666668,-18.333334,-23.333334,-2.013524,6
99,93.40741,-43.22222,-30.555555,-2.207756,2
234,5.740741,-5.222222,9.111111,2.193568,7
13,104.111115,-47.666668,-25.333334,-2.28708,2
184,14.222222,-5.666666,15.333333,1.937892,7
34,14.444445,-11,-8.666667,-2.162383,5
66,95.111115,-43.333332,-27.666666,-2.235701,2
116,1.962963,-3.888889,-4.888889,-2.018925,5
79,45.814816,-8.777778,-15.444445,-1.918888,4
90,18.11111,2,-14,-1.425885,1
187,54.77778,-17.333334,-22.333334,-2.009615,6
103,35.62963,-14.555555,-14.222222,-2.102607,4
104,19.777779,-10.333333,-8.666667,-2.150638,5
24,49.185184,-20.555555,-15.555555,-2.186797,4
119,1.444444,-4.333334,-4,-2.11372,3
190,32.962963,-10.888889,-13.555555,-2.020042,6
133,5.37037,-5.111111,-5.777778,-2.048,5
116,29.814816,-12.444445,-9.444445,-2.177507,5
67,27.148148,-6.111111,-20.11111,-1.768356,1
208,16.074074,-10.222222,15.111111,2.310932,7
220,8.185185,-4.888889,10.111111,2.09315,7
34,14.444445,-11,-8.666667,-2.162383,5
176,13,-8.666667,12.333333,2.340618,7
196,47.25926,-16.444445,-17.444445,-2.074616,6
128,16.481482,-19.11111,-9.111111,-2.3163,3
73,20.62963,-2.555556,-15.888889,-1.675465,1
194,61.555557,-20.333334,-23.666666,-2.042718,6
17,71.18519,-23.555555,-24.88889,-2.075161,4
154,19.703703,-14.444445,-12.111111,-2.142529,4
62,0,0,0,0,5
12,127.44444,-35.666668,-11.333333,-2.402917,2
123,1.481481,-3.777778,-2.777778,-2.16176,3
24,121.62963,-32.555557,-15.888889,-2.307914,2
194,48.62963,-16.88889,-18.222221,-2.071876,6
175,15.37037,-8.777778,14.222222,2.242196,7
137,5.851852,5.777778,-7.555555,-0.744272,1
88,5.259259,-11.111111,-3.444444,-2.396657,3
50,65.111115,-23.333334,-22.333334,-2.107785,4
121,54.962963,-21.555555,-19.555555,-2.126943,4
187,59.37037,-20.11111,-24.11111,-2.03348,6
219,14.888889,-10.333333,14.333333,2.358696,7
29,103.25926,-43.444443,-25.777779,-2.257217,2
121,32.37037,-11.111111,-13.444445,-2.024268,4
50,107.44444,-38.333332,-16.666666,-2.337296,2
142,5.037037,4.555555,-6.777778,-0.829712,1
96,3.777778,-8.333333,-4.333334,-2.268209,3
81,12.481482,-14.444445,-4.777778,-2.388561,3
135,0.777778,-2.333333,-2.333333,-2.094395,5
90,2.814815,-6.777778,-5.444445,-2.164323,3
156,16.925926,-10.444445,14.555555,2.363581,7
12,6.259259,-7.111111,-8.111111,-2.057978,5
196,61.592594,-19.777779,-22.444445,-2.048736,6
184,17.62963,-12.222222,13.777778,2.524273,7
73,5.814815,-10.444445,-4.111111,-2.355641,3
162,43.22222,-19.333334,-12,-2.391681,6
122,6,3.666667,-7.666666,-1.05144,1
25,126.03704,-35.11111,-13.444445,-2.36518,2
190,57.333332,-19,-19,-2.112087,6
125,6.185185,3.444444,-7.888889,-1.121818,1
194,18.555555,-10.666667,20.333334,2.126516,7
15,113.74074,-40.88889,-13.888889,-2.389025,2
60,22.62963,-3.888889,-18.222221,-1.709389,1
115,14.777778,-19,-5.333334,-2.45904,3
121,14.962963,-16.222221,-9.222222,-2.235355,3
139,18.074074,-6.222222,-7.222222,-1.702833,3
108,40,-12,-12.666667,-2.080474,4
108,21.925926,-2.777778,-16.11111,-1.683529,1
106,0.555556,-1.666667,-1.666667,-2.094395,3
112,28.851852,-12.888889,-9.222222,-2.200156,5
141,0,0,0,0,5
51,122.96296,-36.88889,-16.555555,-2.330465,2
204,19,-14,19.666666,2.348728,7
189,26.444445,-9,-10.666667,-2.101002,6
236,13.962963,-9.555555,14.111111,2.32063,7
247,12.62963,-9.222222,9.777778,2.55309,7
58,122,-35.666668,-14.666667,-2.349269,2
34,125.48148,-35.444443,-14.111111,-2.357272,2
92,19.37037,2.555556,-14.444445,-1.408242,1
70,61.11111,-23,-24.666666,-2.070832,4
81,90.40741,-44.22222,-33.88889,-2.18233,2
83,9.888889,-11.666667,-9.666667,-2.150257,5
97,2.111111,-6,-4.333334,-2.191382,3
192,45.962963,-16.222221,-20.222221,-2.016578,6
67,60.74074,-23.222221,-22.222221,-2.109804,4
86,26.481482,-6.777778,-18.777779,-1.804829,1
71,122.18519,-32.22222,-16.222221,-2.301203,2
147,6.259259,-1.444444,-5.111111,-1.584341,4
140,6.333334,4.666666,-7.666666,-0.909267,1
198,59.77778,-20,-22.666666,-2.050575,6
173,55.185184,-19.88889,-23.222221,-2.04172,6
25,128,-30.666666,-12.333333,-2.354552,2
39,127.51852,-32.88889,-13.222222,-2.352961,2
115,6.777778,3,-8.333333,-1.210357,1
127,0.62963,-1.888889,-1.888889,-2.094395,3
197,12.851851,-7.222222,7.444445,2.628208,7
195,46.555557,-16.333334,-16,-2.101377,6
119,4.37037,-6.777778,-0.444444,-2.587228,3
114,6.222222,4,-7.666666,-1.0108,1
235,15.62963,-11.555555,10.777778,2.670771,7
104,18.703703,1.555556,-15.111111,-1.446641,1
196,15.333333,-3.666667,15.333333,1.789167,7
191,49.22222,-15.666667,-18.333334,-2.040515,6
182,39.851852,-7.888889,-14.555555,-1.868277,6
159,35.77778,-16,-11.666667,-2.549349,6
125,66.25926,-15.444445,-23.11111,-1.9632,4
245,6.407407,-0.555556,1.777778,1.756645,7
101,134.92592,-25.444445,-11.444445,-2.328735,2
31,11.259259,-8.777778,-7.111111,-2.171949,5
190,49.48148,-14.111111,-19.444445,-1.987599,6
64,24.074074,-4.222222,-19.222221,-1.724894,1
154,33,-23.666666,-17,-2.20265,4
182,43.592594,-9.777778,-17.11111,-1.919167,6
217,11.925926,-6.444445,15.222222,2.006642,7
29,128.44444,-27.666666,-15.666667,-2.271128,2
131,0,0,0,0,5
47,97.111115,-43.666668,-29.333334,-2.223218,2
111,28.74074,-12.555555,-8.888889,-2.202667,5
156,23.703703,-19.11111,13.888889,2.864931,7
182,58,-18.333334,-25,-1.99159,6
116,3,-6.333334,-2.666667,-2.313013,3
