@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,7-8,11,16,19-20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Vegde-sd numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Exgreen-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
178,9,0.547722,1.111109,52.444443,-25.222221,-2.040554,6
111,9,0.240741,0.611111,6.888889,-7.222222,-0.897859,1
81,9,267.45554,9.222222,14,-5.666666,-2.438409,3
115,9,0.32963,0.166667,0.444444,-2.666667,-2.065536,5
246,9,1.917754,2.999999,14.222222,16.11111,2.232849,7
249,9,1.28889,1.5,10.777778,10.111111,2.743555,7
60,9,2.329629,2.888889,24.666666,-19.222221,-1.776113,1
101,9,0.385185,1.722222,20.333334,-15.555555,-1.520125,1
224,9,3.707406,3.611111,11.666667,16.11111,2.298255,7
90,9,6.945556,1.277777,57.666668,-21.222221,-2.108813,4
120,9,0.344444,1.055556,0.222222,-2.444444,-2.298085,3
140,9,0.443053,1.777778,3.777778,-3.333333,-2.442323,3
81,9,0.240743,0.888891,105.666664,-26.11111,-2.033487,2
196,9,1.333334,2.222222,41.77778,-17.444445,-2.074616,6
87,9,6.618995,1.555557,37.88889,-18.333334,-2.050388,4
107,9,2.251853,2.055556,11.777778,-12.222222,-2.159464,5
28,9,0.074075,1.222221,97.888885,-24.11111,-2.238865,2
131,9,0.074074,0.777778,6.666666,-6.888889,-0.874641,1
19,9,0.389681,0.944443,116.55556,-13.888889,-2.344188,2
188,9,2.313409,5,55.11111,-24.777779,-1.997746,6
87,9,1.259042,1.166667,55.77778,-24.11111,-2.105073,4
53,9,0.285188,0.833333,128.22223,-13.333333,-2.217488,2
216,9,0.651852,2.166666,10.888889,13.666667,2.447547,7
94,9,2.374074,1.222222,10.555555,-12.555555,-2.159466,5
205,9,1.586985,2.388889,49.77778,-22.222221,-2.038263,6
143,9,0.389682,0.277778,0,-1.222222,-2.094395,3
95,9,3.62963,2.666666,4.777778,-3.555556,-2.445012,3
78,9,0.355555,4.333334,31.333334,-15.333333,-2.053834,4
40,9,0,0,0,0,0,5
193,9,0.750308,3.388888,37.88889,-15.444445,-1.992997,6
175,9,0.788811,1.166666,18.666668,15.111111,2.630157,7
107,9,13.407408,6.777779,4.555555,-4.888889,-2.291762,3
115,9,0.488889,1.388889,0.555556,-2.444444,-2.358386,3
94,9,0.760117,0.611111,5.888889,-8.666667,-2.12934,5
43,9,1.1,1.111111,115.666664,-16.11111,-2.270653,2
181,9,0.385186,0.888889,15.888889,15.555555,2.420823,7
187,9,1.936969,5.111111,44.666668,-19.777779,-1.990627,6
130,9,0.740741,9.777778,9.888889,-8.111111,-2.137371,4
133,9,0.300001,0.444445,6.222222,-9.555555,-2.138743,5
116,9,0.477778,1.166667,7.111111,-7.666666,-1.163245,1
34,9,0.122222,0.888887,91.22222,-22.777779,-2.286636,2
104,9,1.772214,5.611111,16,-6.888889,-2.113918,5
218,9,0.744444,1.166667,10.666667,12.222222,2.382684,7
145,9,4.534641,7.5,9.888889,-9.333333,-2.06232,3
181,9,2.16453,4.777777,37.77778,-14.444445,-1.998368,6
40,9,0.62063,0.555556,114.22222,-16.777779,-2.2949,2
49,9,0.433335,1.499999,116.333336,-17.222221,-2.263738,2
14,9,0.807371,1.222223,100.111115,-13.777778,-2.391113,2
115,9,3.10555,2.722222,18.444445,-16.11111,-2.090649,3
91,9,2.029629,2.166666,22,-17.444445,-1.630409,1
59,9,3.5,2.055555,20.777779,-17.777779,-1.680812,1
196,9,1.861898,6.888888,46.88889,-20.777779,-2.022599,6
219,9,2.237724,3.222222,10.333334,17.666666,2.0861,7
170,9,0.785184,1.11111,15.111111,15.333333,2.504391,7
45,9,0.729629,0.611109,87.111115,-26,-2.247816,2
128,9,0.888194,1.388888,42.666668,-21.11111,-2.102441,4
190,9,0.854184,5.055556,44.88889,-17.88889,-2.11269,6
115,9,3.407407,3.666666,23.11111,-12.777778,-2.218655,5
140,9,7.032464,0.666667,24.88889,-9.333333,-2.05389,4
16,9,0.298143,1.499999,99.55556,-13.888889,-2.385001,2
111,9,0.151852,0.444445,7,-8,-1.041434,1
62,9,0.501849,0.722224,57.444443,-25.666666,-2.124459,4
158,9,3.674074,1.166667,7.111111,-6.444445,-1.904651,4
120,9,1.274074,0.833333,0.111111,-2.333333,-2.178769,3
175,9,0.522223,5.666666,29,-12,-2.091209,6
93,9,0,0,0,0,0,5
240,9,1.638654,2.055556,15.222222,20.666666,2.420791,7
137,9,0.501848,0.833333,0.222222,-1.777778,-2.200588,3
106,9,0.596296,1.611111,22,-17.444445,-1.695804,1
126,9,0.374074,1,7.666666,-8.111111,-1.118131,1
137,9,0.107407,0.333333,0,-2,-2.094395,3
20,9,1.020168,1.944444,56.444443,-23.222221,-2.133031,4
161,9,0.518519,11.500001,35.77778,-10.777778,-2.338974,6
244,9,2.195113,3,10.333334,14.555555,1.987902,7
188,9,1.496296,5.111111,26.88889,-10.222222,-2.083566,6
160,9,4.044447,2.777778,18.222221,-12.222222,-2.138726,4
98,9,0.712325,0.666667,0.333333,-0.555556,-2.4238,3
195,9,2.091428,3.722222,42.444443,-17.666666,-2.051671,6
147,9,0,0,0,0,0,5
18,9,0.088889,0.555553,102.44444,-19.444445,-2.278452,2
100,9,0.266666,1.388889,21.777779,-17.333334,-1.623301,1
59,9,0.951851,2.055555,22.666666,-17.555555,-1.699326,1
91,9,0.196296,1.111111,0.444444,-4.222222,-2.225735,3
123,9,0.088889,0.388889,7.111111,-7.111111,-0.988413,1
70,9,0.177776,1.111108,104,-20.222221,-2.17166,2
160,9,4.044447,2.777778,18.222221,-12.222222,-2.138726,4
130,9,2.533333,1.444445,15.777778,-14.777778,-2.134924,4
91,9,0.385186,0.388889,17.777779,-13.555555,-2.202425,5
118,9,0.062963,0.555556,6.555555,-6.777778,-1.053347,1
113,9,0.240741,0.722222,7.111111,-7.444445,-0.851202,1
136,9,0.062963,0.833333,0.666667,-4.222222,-2.094395,5
87,9,0.240741,0.611111,6.666666,-11.777778,-2.138617,5
83,9,0.136083,0.222222,12.888889,-10.888889,-2.143761,5
91,9,0.827758,0.722221,92.55556,-18.666666,-2.300486,2
77,9,0.574135,1.166665,93.888885,-11.555555,-2.42468,2
160,9,0.843274,3.055555,21.11111,15.888889,2.827106,7
70,9,8.767999,7.944445,13.666667,-1.111111,-2.589111,3
124,9,0.074074,0.888889,7.111111,-7.333334,-1.037663,1
97,9,0.651852,0.777778,0.555556,-3.555556,-2.269023,3
18,9,0.691216,0.5,102.333336,-14.666667,-2.340839,2
152,9,0.033333,2.111111,1,-1.888889,-2.000272,5
83,9,6.077768,1.555556,60.22222,-22.11111,-2.027771,4
80,9,0.711111,1.333333,37.77778,-13.222222,-1.942698,4
76,9,1.420746,1.666667,0.888889,-2,-2.340801,3
144,9,0,0,0,0,0,5
123,9,0.620633,1.944444,51.88889,-21,-2.111941,4
150,9,0,0,0,0,0,5
187,9,2.167948,2.833333,52.555557,-24,-1.966671,6
135,9,0.272166,0.222222,0.777778,-3.888889,-1.880724,5
136,9,0,0,0,0,0,3
31,9,0.385183,1.222223,117.111115,-14.111111,-2.310766,2
190,9,6.874074,8.555555,26.11111,-11.222222,-2.160658,6
100,9,83.351845,5.777778,4.666667,-5.111111,-2.289874,3
233,9,1.148268,2.611111,10.333334,18.88889,1.903686,7
115,9,0.162963,0.722222,0.333333,-3.222222,-2.321865,3
75,9,749.76294,10.222221,29.777779,-13.111111,-2.284187,3
187,9,1.515354,2.111111,52.666668,-24.11111,-2.03348,6
143,9,0.344444,0.666667,6.666666,-6.888889,-0.914813,1
191,9,2.786874,6.000001,52.444443,-24.444445,-2.077651,6
215,9,2.033333,2.777778,9.222222,12.111111,2.437819,7
235,9,1.455513,1.944445,21.11111,20,2.356024,7
81,9,0.646932,0.722224,91.888885,-14.777778,-2.382261,2
21,9,4.574081,1.277778,59.333332,-20.333334,-2.072158,4
93,9,0.250924,0.888889,16.666668,-13.111111,-2.086083,5
30,9,0.272164,1.222223,100.77778,-13.111111,-2.385308,2
187,9,1.123816,1.833333,53.666668,-22.666666,-2.058211,6
119,9,1.574075,1.444444,23.222221,-13.777778,-2.187781,5
31,9,1.496296,1.333333,129.88889,-10.777778,-2.255012,2
34,9,1.223231,0.555556,46.22222,-24.11111,-2.09452,4
154,9,0.172133,0.055556,0,-0.222222,-2.094395,5
79,9,40.862957,14.166667,24.333334,-13.666667,-2.286295,3
91,9,1.540741,0.833333,0.555556,-6.111111,-2.186723,3
135,9,0.240741,0.333333,0,-2.555556,-2.117548,3
42,9,0.151851,1.388889,20,-17.777779,-1.842494,1
149,9,4.577775,2.111111,16.666668,-11.777778,-2.141787,4
89,9,9.555554,5.833334,5.777778,-5.777778,-2.356793,3
124,9,0.074074,0.888889,7.111111,-7.333334,-1.037663,1
164,9,0.403687,1.277778,9.222222,9.333333,2.291118,7
148,9,0.843274,1.111111,1.111111,-2.333333,-2.04515,5
91,9,5.051852,1,1.888889,-3.888889,-2.383949,3
78,9,1.007408,4.055555,25.11111,-15.222222,-2.066695,4
92,9,44.774082,1,11.666667,-10.555555,-2.113273,5
177,9,0.7,2.5,21.222221,19.11111,2.125416,7
127,9,0.501849,0.777778,0.555556,-1.888889,-2.408939,3
193,9,2.465315,4.5,51.11111,-24.11111,-2.033804,6
66,9,0.255557,1.833335,106.888885,-21.666666,-2.09899,2
114,9,0.788889,2.111111,16.11111,-12.555555,-1.179347,1
73,9,0.72963,2.611111,19.222221,-15.555555,-1.524253,1
175,9,4.21111,2.722221,20.88889,14.666667,2.263538,7
55,9,3.674073,1.777777,21.666666,-17.666666,-1.771163,1
108,9,0.433333,1.611111,19,-14,-1.169517,1
50,9,0.544332,1.444444,109.888885,-16.555555,-2.325679,2
196,9,1.501851,2.277777,42.666668,-17.666666,-2.045996,6
50,9,1.003694,1.111112,93.888885,-17.11111,-2.37202,2
138,9,0.166667,0.333333,1.111111,-5,-2.077816,5
57,9,0.418515,1.166667,129.88889,-12.555555,-2.215046,2
142,9,0.136083,0.222222,0.111111,-3.666667,-2.056155,5
44,9,2.094083,2.333333,112,-11.111111,-2.384657,2
124,9,9.544442,7.388889,39.22222,-16.777779,-1.980977,4
161,9,0.729634,11.5,35.333336,-12.333333,-2.198939,6
93,9,0.459468,1.055556,15.111111,-12.666667,-2.136215,5
189,9,1.485184,5.722223,27.11111,-10.333333,-2.050282,6
41,9,0.327731,0.388892,95.111115,-13.777778,-2.404745,2
73,9,0.32963,0.777777,54,-19.444445,-1.996907,4
104,9,0.547723,3.111111,16.222223,-9.222222,-2.128231,5
67,9,0.298141,1.055554,57.11111,-24.222221,-2.076662,4
219,9,3.496297,2.833333,4.111111,8.222222,2.148363,7
164,9,0.534027,3.222223,15.111111,17.222221,2.459806,7
88,9,0.349603,1.111112,57.88889,-25.11111,-2.132027,4
248,9,0.833333,1.666667,10.555555,12.666667,2.341677,7
