@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R9,19-20'

@attribute Hedge-sd numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
0.365148,-2.123254,3
0.680414,-2.063242,4
1.705112,-1.980348,6
0.207407,-0.7213,1
1.656637,-2.034119,6
0.02963,-2.132635,3
0.172133,-1.84512,5
2.691551,-1.95141,6
1.144441,-2.22578,2
1.866665,2.453831,7
0.074074,-1.314533,1
0.620633,2.345133,7
0.522222,-0.604864,1
0.311111,-1.121818,1
1.869838,-2.231261,3
1.264911,-1.749258,5
0.879815,1.993183,7
0.760116,-2.078504,4
3.234651,-2.052546,6
0.544331,-2.163633,5
0.266667,-1.258358,1
0.418518,-1.561754,1
0.389682,-2.121837,5
0.344266,-2.384877,2
0.827759,-2.035808,3
0.088889,-2.094395,3
1.04074,2.156639,7
0.327731,-2.107303,5
0.740741,-2.108911,4
1.068054,-2.038824,4
1.148268,-2.038543,6
0.829631,-2.311049,2
0.827759,-2.154391,5
3.122795,-2.071221,6
0.118519,-0.964797,1
1.108887,-2.022148,6
0.107407,-0.914324,1
1.218518,-1.558599,1
3.274074,-1.622331,1
0.742868,-2.09948,4
0.272164,-2.45498,2
3.866667,-1.620451,1
3.215702,-2.064514,3
2.385183,-1.653787,1
0.018519,-2.056155,5
0.696297,-2.264402,2
0.680414,1.94304,7
60.240738,-2.079296,5
2.118518,-1.783602,1
409.39636,-2.434193,3
1.218518,-1.558599,1
0.299998,-2.339758,2
0.879815,-2.433795,3
1.471961,-2.045165,4
0.547723,-2.27951,2
0.607407,-1.175454,1
5.5889,-2.003607,4
3.804481,-1.101394,5
0.151852,-2.058451,5
0.474075,-2.336025,2
2.319004,-2.030048,4
4.285184,-1.620749,1
9.396256,-2.335371,6
1.135293,-2.259967,3
1.772214,2.642597,7
2.077779,-1.66796,1
0.296295,-1.985584,4
42.255566,-2.349017,3
1.81111,2.31952,7
16.536379,-2.401825,3
0.507406,-2.239053,2
1.762963,-2.142701,4
1.027402,2.038483,7
1.068055,-2.303412,2
1.306679,2.179845,7
0.327731,-1.989922,4
0.136083,-2.094395,3
0.566668,-2.326783,2
31.022234,-2.282295,6
0.712326,2.389391,7
0.088889,-2.17128,3
6.433335,-2.118937,3
2.8829,-2.021172,6
0.951854,-2.084255,5
1.051852,-2.267462,3
3.618518,-1.943038,6
0.136083,-2.015428,5
0.490653,-2.068644,4
0.285185,-2.078418,2
0.781736,-2.096415,4
2.196296,-1.74518,1
0.344266,-2.104978,5
4.607407,2.545329,7
0.844443,-2.231555,2
5.040743,-1.555376,1
4.390225,-2.054753,6
0.272166,-1.997796,5
1.020168,2.506807,7
0.596297,-2.032518,4
139.85553,-2.335837,6
0.620632,-2.38244,2
1.020167,-2.118087,4
0.207407,-0.804846,1
0.596297,-2.025773,4
0.557773,2.864931,7
0.344265,-2.005742,4
1.849925,-2.025942,6
1.218518,-2.429449,3
0.730297,2.291415,7
23.89629,-2.470153,6
0.074074,-2.136677,5
1.632993,-2.05997,5
3.574075,-2.007351,5
9.618522,-2.180291,3
0.607405,-2.224845,2
4.340751,-1.755483,7
1.307407,2.482445,7
0.82963,-2.257122,3
