@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,8,13,20'

@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,9,38.333336,6
51,1.611111,14.333333,1
115,0.388889,20,5
64,1.666666,14,1
130,0.555555,0.666667,3
64,20.222223,30.333334,3
123,0.666667,4,1
96,1.555556,2,3
184,3.611111,39.444443,6
120,8.333333,34.77778,4
153,0.055556,3.222222,5
144,0.277778,0.444444,5
139,0.333333,0,3
83,2.444445,14.333333,1
57,0.666665,122.111115,2
109,1.333334,13.111111,1
51,1.499998,121.77778,2
78,2.555556,38.444443,4
195,4.055555,53.444443,6
189,3.777777,51.444443,6
191,2.833331,54.333332,6
235,1.055556,12.777778,7
47,1.499999,99.333336,2
13,1.555553,62.333332,4
242,2.222222,15.777778,7
68,1.555556,50.11111,4
117,1,3.777778,1
83,0.277777,14.444445,5
133,0,0,3
45,3.277778,16.444445,1
129,0.388889,0,3
27,0.5,135.11111,2
188,4.611111,53.444443,6
92,1.388889,17.555555,1
79,1.333334,36.555557,4
192,2.555555,41,6
238,1.444444,19.11111,7
63,0.444445,3.666667,5
137,0.388889,0.111111,3
134,0.055556,0,5
134,0.333333,0,5
161,10.499999,37.333336,6
187,3.444444,50.88889,6
99,0.777779,83.22222,2
234,0.888889,8.777778,7
13,1.111112,95.666664,2
184,0.833333,19.333334,7
34,0.444445,11.555555,5
66,0.888888,85.888885,2
116,0.444444,0.333333,5
79,0.888889,40.666668,4
90,1.333334,13.444445,1
187,2.333334,47.333332,6
103,1.111111,30.88889,4
104,2.833333,16.88889,5
24,1.222223,44,4
119,0.555555,0.111111,3
190,2.500001,28.444445,6
133,0.5,3.444444,5
116,2.055555,26.666666,5
67,2.111111,20.444445,1
208,2.666667,21.11111,7
220,3.666667,11.555555,7
34,0.444445,11.555555,5
176,1.166667,17.11111,7
196,2.222222,41.444443,6
128,2.444444,13.444445,3
73,1.611112,15.333333,1
