@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R16-17,19-20'

@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
-25.222221,75.22222,-2.040554,6
-7.222222,6.888889,-0.897859,1
-5.666666,30.555555,-2.438409,3
-2.666667,2.888889,-2.065536,5
16.11111,22.88889,2.232849,7
10.111111,18.11111,2.743555,7
-19.222221,35.22222,-1.776113,1
-15.555555,25,-1.520125,1
16.11111,20.555555,2.298255,7
-21.222221,79.77778,-2.108813,4
-2.444444,4.444445,-2.298085,3
-3.333333,14,-2.442323,3
-26.11111,128.88889,-2.033487,2
-17.444445,58.555557,-2.074616,6
-18.333334,54.88889,-2.050388,4
-12.222222,25.777779,-2.159464,5
-24.11111,131.11111,-2.238865,2
-6.888889,6.666666,-0.874641,1
-13.888889,143.11111,-2.344188,2
-24.777779,75.66667,-1.997746,6
-24.11111,80.333336,-2.105073,4
-13.333333,145.77777,-2.217488,2
13.666667,19.11111,2.447547,7
-12.555555,24.88889,-2.159466,5
-22.222221,69.77778,-2.038263,6
-1.222222,1.222222,-2.094395,3
-3.555556,15.444445,-2.445012,3
-15.333333,46,-2.053834,4
0,0,0,5
-15.444445,50.666668,-1.992997,6
15.111111,28.777779,2.630157,7
-4.888889,13,-2.291762,3
-2.444444,5.666666,-2.358386,3
-8.666667,15.222222,-2.12934,5
-16.11111,140.22223,-2.270653,2
15.555555,25.11111,2.420823,7
-19.777779,60.88889,-1.990627,6
-8.111111,18.88889,-2.137371,4
-9.555555,16.666668,-2.138743,5
-7.666666,7.777778,-1.163245,1
-22.777779,127.333336,-2.286636,2
-6.888889,23.333334,-2.113918,5
12.222222,17.777779,2.382684,7
-9.333333,20.11111,-2.06232,3
-14.444445,49.555557,-1.998368,6
-16.777779,141.66667,-2.2949,2
-17.222221,141.77779,-2.263738,2
-13.777778,132.11111,-2.391113,2
-16.11111,39,-2.090649,3
-17.444445,28.777779,-1.630409,1
-17.777779,28.777779,-1.680812,1
-20.777779,65,-2.022599,6
17.666666,19.11111,2.0861,7
15.333333,24.666666,2.504391,7
-26,124,-2.247816,2
-21.11111,64.22222,-2.102441,4
-17.88889,63.22222,-2.11269,6
-12.777778,40.11111,-2.218655,5
-9.333333,33.555557,-2.05389,4
-13.888889,131,-2.385001,2
-8,7.333334,-1.041434,1
-25.666666,84.66667,-2.124459,4
-6.444445,11.777778,-1.904651,4
-2.333333,3.333333,-2.178769,3
-12,41,-2.091209,6
0,0,0,5
20.666666,27.333334,2.420791,7
-1.777778,2.666667,-2.200588,3
-17.444445,29.88889,-1.695804,1
-8.111111,8.333334,-1.118131,1
-2,2,-2.094395,3
-23.222221,81.66667,-2.133031,4
-10.777778,51.444443,-2.338974,6
14.555555,17.11111,1.987902,7
-10.222222,36.444443,-2.083566,6
-12.222222,31.555555,-2.138726,4
-0.555556,2.888889,-2.4238,3
-17.666666,58.77778,-2.051671,6
0,0,0,5
-19.444445,132.33334,-2.278452,2
-17.333334,28.444445,-1.623301,1
-17.555555,30.88889,-1.699326,1
-4.222222,6.222222,-2.225735,3
-7.111111,7.333334,-0.988413,1
-20.222221,127.77778,-2.17166,2
-12.222222,31.555555,-2.138726,4
-14.777778,31.88889,-2.134924,4
-13.555555,34.88889,-2.202425,5
-6.777778,7.111111,-1.053347,1
-7.444445,7.111111,-0.851202,1
-4.222222,4.888889,-2.094395,5
-11.777778,19.555555,-2.138617,5
-10.888889,24.88889,-2.143761,5
-18.666666,123.44444,-2.300486,2
-11.555555,125.22222,-2.42468,2
15.888889,33.333336,2.827106,7
-1.111111,23.88889,-2.589111,3
-7.333334,7.555555,-1.037663,1
-3.555556,5.888889,-2.269023,3
-14.666667,130.11111,-2.340839,2
-1.888889,2.444444,-2.000272,5
-22.11111,79.66667,-2.027771,4
-13.222222,47.666668,-1.942698,4
-2,4.666667,-2.340801,3
0,0,0,5
-21,73.77778,-2.111941,4
0,0,0,5
-24,71.44444,-1.966671,6
-3.888889,3.333333,-1.880724,5
0,0,0,3
-14.111111,141.22223,-2.310766,2
-11.222222,36.88889,-2.160658,6
-5.111111,13.333333,-2.289874,3
18.88889,18.777779,1.903686,7
-3.222222,6.222222,-2.321865,3
-13.111111,50.666668,-2.284187,3
-24.11111,74.111115,-2.03348,6
-6.888889,6.777778,-0.914813,1
-24.444445,76.22222,-2.077651,6
12.111111,16.444445,2.437819,7
20,32.555557,2.356024,7
-14.777778,124.888885,-2.382261,2
-20.333334,79.22222,-2.072158,4
-13.111111,29.555555,-2.086083,5
-13.111111,130.11111,-2.385308,2
-22.666666,74.77778,-2.058211,6
-13.777778,40.333336,-2.187781,5
-10.777778,145.55556,-2.255012,2
-24.11111,70.333336,-2.09452,4
-0.222222,0.222222,-2.094395,5
-13.666667,45.77778,-2.286295,3
-6.111111,8,-2.186723,3
-2.555556,2.777778,-2.117548,3
-17.777779,31.11111,-1.842494,1
-11.777778,30,-2.141787,4
-5.777778,17.11111,-2.356793,3
-7.333334,7.555555,-1.037663,1
9.333333,14.444445,2.291118,7
-2.333333,3.222222,-2.04515,5
-3.888889,10.666667,-2.383949,3
-15.222222,40.333336,-2.066695,4
-10.555555,22.666666,-2.113273,5
19.11111,30.88889,2.125416,7
-1.888889,5.555555,-2.408939,3
-24.11111,72.55556,-2.033804,6
-21.666666,128.77779,-2.09899,2
-12.555555,17.444445,-1.179347,1
-15.555555,24.11111,-1.524253,1
14.666667,28.666666,2.263538,7
-17.666666,31.11111,-1.771163,1
-14,20,-1.169517,1
-16.555555,139.77779,-2.325679,2
-17.666666,58.77778,-2.045996,6
-17.11111,130.33334,-2.37202,2
-5,5.888889,-2.077816,5
-12.555555,146.22223,-2.215046,2
-3.666667,3.555556,-2.056155,5
-11.111111,136.88889,-2.384657,2
-16.777779,52.666668,-1.980977,4
-12.333333,49.666668,-2.198939,6
-12.666667,28.88889,-2.136215,5
-10.333333,36.333336,-2.050282,6
-13.777778,128.88889,-2.404745,2
-19.444445,70.111115,-1.996907,4
-9.222222,26.11111,-2.128231,5
-24.222221,80.44444,-2.076662,4
8.222222,8.333334,2.148363,7
17.222221,25.555555,2.459806,7
-25.11111,85,-2.132027,4
12.666667,17.666668,2.341677,7
-16.666666,27.11111,-1.590164,1
-17.777779,27.88889,-1.524771,1
-17.11111,28.444445,-1.700324,1
-1.444444,1.444444,-2.094395,3
16.555555,25.333334,2.001681,7
-22.555555,125,-2.302468,2
-15.555555,53.88889,-2.06786,6
-21.88889,65.111115,-1.981911,6
18,22.555555,2.209309,7
0,0,0,5
-8.333333,12,-2.039459,5
-21.555555,71.888885,-2.064888,6
-12.777778,39.444443,-2.013382,4
-15.222222,27.777779,-1.676921,1
-14.666667,53.11111,-1.971781,4
-17.777779,58.88889,-2.052705,6
15.888889,29.555555,2.84342,7
-17.222221,28.88889,-1.646671,1
-7,7.555555,-1.353896,1
-20.333334,62.11111,-1.978657,6
19.777779,26,2.24441,7
-8.666667,79,-2.422127,3
13.777778,19.222221,1.860191,7
-15.444445,48.22222,-1.962646,4
11.666667,11.222222,2.122422,7
-10.555555,142.55556,-2.364884,2
-7.333334,8,-0.983947,1
20.333334,26.88889,2.252231,7
10.222222,18.444445,1.910945,7
11.222222,14.666667,2.557458,7
-0.111111,0.111111,-2.094395,3
-0.666667,0.666667,-2.094395,3
-15.555555,44.333332,-2.074838,4
-11.666667,37.88889,-2.046307,6
-17.555555,30,-1.598867,1
-20.222221,59.333332,-1.940423,6
-1.555556,12.222222,-2.492965,3
17,16.333334,1.909255,7
-8.111111,20.333334,-2.138901,5
-15.888889,24.666666,-1.472378,1
-12.777778,36.88889,-2.048461,4
-19.555555,34.444447,-1.739017,1
-5.888889,8.777778,-2.075071,5
-10.555555,146.44444,-2.312874,2
-13.888889,43.666668,-2.244772,5
-21.666666,68.66667,-1.969456,6
-21.444445,71.66667,-2.034642,6
-24.88889,78.22222,-2.128423,4
-11.222222,149.88889,-2.232895,2
-7.444445,14.555555,-2.029312,4
-11.888889,36.77778,-2.094392,4
-12.888889,44,-2.035377,4
0,0,0,5
15.444445,20.11111,2.280922,7
-12.333333,38.11111,-2.016443,6
-14.555555,142.22223,-2.308766,2
-24.11111,128.22223,-2.247952,2
-17.333334,140.88889,-2.28828,2
12.111111,15.888889,2.128646,7
-4.333334,9,-2.305729,3
-22.11111,66.55556,-1.974959,6
