@relation segment

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
143,6.111111,2.777778,-7.555555,6.111111,1
137,7.777778,1.777778,-7.555555,7.777778,1
56,19.444445,16.777779,-15.555555,25.444445,1
113,20,15.555555,-14.777778,25.444445,1
75,23.333334,26.444445,-18.555555,34.77778,1
113,7.111111,2.555556,-7.444445,7.111111,1
138,7,2.666667,-7.333334,7,1
111,7,4.888889,-7.777778,7.888889,1
143,6.555555,2.555556,-7.111111,6.666666,1
137,7.777778,1.777778,-7.555555,7.777778,1
67,19.555555,17.666666,-16.333334,25.88889,1
112,7,5.666666,-8,8.111112,1
41,20.777779,21.88889,-16.777779,29.777779,1
72,23.777779,27.666666,-20.333334,35.444447,1
83,19.555555,15,-15.333333,24.444445,1
140,7.888889,3,-7.666666,8.222222,1
94,20.666668,18.333334,-16.666666,27.333334,1
149,4.111111,9.777778,-5.555555,8.777778,1
64,22.666666,23.444445,-19.222221,31.88889,1
74,21.666666,19.444445,-17.222221,28.88889,1
44,17.333334,19.444445,-15.222222,25.222221,1
117,20.666668,12.666667,-15,24.11111,1
114,6.555555,2.555556,-6.444445,6.666666,1
122,7,3.333333,-7.666666,7.222222,1
138,6.777778,1.444444,-6.888889,6.777778,1
85,20.444445,20,-17,28.11111,1
124,7.444445,3.888889,-8.111111,7.666666,1
132,7.444445,1.444444,-6.555555,7.555555,1
130,7.444445,2.666667,-7.666666,7.555555,1
86,23.333334,19.222221,-17.777779,30.222221,1
102,22.11111,20.11111,-17.222221,29.777779,1
84,23.555555,18.444445,-17.555555,30,1
63,17.222223,16.777779,-14.222222,23.666666,1
117,7.666666,3.333333,-7.333334,8,1
62,20.555555,18.11111,-16.222221,27.222221,1
56,26.11111,27.11111,-19.555555,37.666668,1
114,6.111111,5.666666,-7.666666,7.333334,1
116,6.777778,4.111111,-7.555555,7.333334,1
125,7.333334,4.444445,-7.888889,7.777778,1
75,22,19.777779,-17.555555,29.333334,1
74,21,17.222221,-16.777779,26.88889,1
111,19.777779,10.777778,-14.222222,22.222221,1
147,5.444445,12.666667,-8.666667,11,1
116,7.555555,5.222222,-8.444445,8.333334,1
108,19,10.333333,-14.333333,21.11111,1
109,19.222221,9.666667,-14,21,1
60,24.666666,25.444445,-19.222221,35.22222,1
116,17,11.444445,-13.888889,21.222221,1
71,21.88889,20.666666,-18,29.666666,1
116,21.222221,17.555555,-16.11111,27.555555,1
66,21.222221,21.777779,-17.555555,29.88889,1
147,5.666666,9.555555,-8.444445,9.555555,1
128,7.888889,1.555556,-7.444445,7.888889,1
129,8,3.111111,-7.888889,8.222222,1
88,18.777779,20.222221,-14.777778,27.333334,1
66,18.555555,16,-15.666667,24,1
124,7.111111,3.666667,-7.333334,7.555555,1
95,21.333334,15.777778,-15.555555,26.666666,1
65,20.11111,17.88889,-15.777778,26.777779,1
61,20.333334,21.11111,-16.88889,28.777779,1
100,21.666666,14.777778,-16.555555,26,1
116,21.333334,18,-15.666667,28.11111,1
86,24.222221,25.555555,-18.777779,35,1
56,22.11111,22.88889,-18.11111,31.333334,1
68,24.222221,29.11111,-20.222221,36.88889,1
