@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,5,7,9,11,19-20'

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vegde-sd numeric
@attribute Hedge-sd numeric
@attribute Rawred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,0,0.772202,1.025597,111.888885,-2.299918,2
141,0,0.136083,0.136083,0,-2.094395,5
197,0.111111,1.451691,1.103865,56.22222,-2.06802,6
134,0,3.155556,1.544444,2.222222,-2.386611,3
146,0,0.136083,0.136083,0,-2.094395,3
58,0,0.942809,0.327731,6,-2.085342,5
182,0,1.470701,1.98233,48.555557,-2.004082,6
120,0,0.928958,0.772202,11.222222,-2.230821,3
130,0,0,0,0,0,5
138,0,0.518518,0.385185,0,-2.173961,3
42,0,0.54433,1.264908,95.666664,-2.410388,2
116,0,2.812669,0.45542,17.88889,-2.144778,5
108,0.111111,12.795401,15.930981,41.77778,-2.360491,3
118,0,10.22995,0.691215,30.777779,-2.077668,4
136,0,1.149879,2.112573,4.111111,-2.412671,3
175,0,3.124574,4.68923,50.77778,-2.05935,6
128,0,7.885187,12.433335,2.444444,-2.300368,3
117,0,0.928958,0.860663,33.555557,-2.106235,4
85,0,2.105549,4.598309,42.444443,-2.097363,4
158,0,0.862963,0.611111,6.333334,-1.982834,4
32,0,0.586892,0.557772,103.888885,-2.421193,2
129,0,8.141569,0.827758,27.555555,-2.078797,4
92,0,2.977778,0.651851,21.777779,-1.682651,1
111,0,0.374074,0.429629,7,-1.175773,1
94,0,0.311111,0.02963,0.222222,-2.071242,5
94,0,0.118519,0.196296,0.111111,-2.189708,3
129,0,3.085188,3.155558,19.11111,-2.161046,4
13,0,0.207407,0.162961,134.33334,-2.292384,2
202,0,1.069786,2.51219,50.22222,-2.093746,6
98,0,1.718519,1.318518,1.222222,-2.395422,3
93,0,0.062963,0.033333,1,-2.075071,5
139,0,3.944446,0.596294,57.88889,-2.065471,4
204,0,1.763834,2.083445,49.77778,-2.03737,6
247,0,3.188889,3.555555,6,2.117886,7
33,0,0.936897,0.854183,114.666664,-2.348002,2
90,0,0.266666,0.344444,17.333334,-2.182442,5
62,0,0.298142,0.501848,4.111111,-2.048717,5
147,0,0.544331,0.68853,0.222222,-2.094395,5
73,0,0.062964,1.218518,115.44444,-2.307396,2
125,0,0.444447,1.944448,63.22222,-2.019545,4
69,0.111111,991.7184,1039.5408,19.222221,-2.488979,3
98,0,45.84074,39.288876,2.333334,-2.272973,3
112,0,0.296297,0.162963,12.111111,-2.133313,5
232,0,1.455554,0.829629,11.222222,2.402851,7
169,0,0.779364,0.742867,13.444445,2.834822,7
203,0,0.64693,2.462309,48.666668,-2.046535,6
129,0,0.862963,11.944499,46.88889,-1.997241,4
140,0,0.251852,0.388889,7.444445,-0.91962,1
134,0,0.107407,0.444444,6.444445,-0.730465,1
154,0,1.585185,0.077778,0.444444,-1.919639,5
188,0,0.688531,0.760116,13.333333,2.20467,7
180,0,0.340741,1.662963,11.111111,2.212898,7
245,0,2.162963,3.277778,6.222222,1.756645,7
66,0,0.82776,1.893459,41.555557,-1.68385,4
96,0,13.277781,7.51111,2.111111,-2.330693,3
85,0,81.485176,9.188898,45,-1.95422,4
21,0,0.760117,0.516396,116.22222,-2.339377,2
68,0,2.083444,0.936897,37.555557,-1.659641,4
232,0,2.685185,2.374074,11.333333,2.283147,7
223,0,5.722223,2.444444,4.888889,2.046588,7
144,0,0.151852,0.074074,0,-2.094395,3
86,0.111111,222.70003,105.54074,8.777778,-2.363577,3
134,0,0.118518,0.151852,1,-2.013143,5
32,0,0.207408,1.188888,110.22222,-2.309391,2
140,0,0.278887,0.742867,0.222222,-2.094395,5
64,0,2.118519,3.440744,22,-1.625668,1
