@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Rawred-mean numeric
@attribute Rawblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
196,129,0.433333,6.333334,7.888889,7.333334,-7.666666,1
28,112,0.418518,5.925926,7.111111,7.222222,-7.444445,1
108,111,0.162963,3.814815,4.111111,5.555555,-6.111111,1
97,86,0.833333,23.814816,23.333334,30.222221,-17.777779,1
69,85,8.207409,21.444445,20.444445,28.11111,-17,1
32,45,3.174073,21.925926,20.555555,28.777779,-16.444445,1
17,64,1.362962,18.88889,17.555555,25.11111,-14.666667,1
65,143,0.133333,5.037037,6.555555,5.888889,-7.111111,1
12,56,0.207407,19.851852,19.444445,25.444445,-15.555555,1
136,70,0.311111,26.037037,24.444445,34,-19.11111,1
2,44,2.388888,18.74074,17.333334,25.222221,-15.222222,1
147,92,0.429631,23.444445,22.777779,30,-17.666666,1
149,64,1.144445,24.074074,22.666666,31.88889,-19.222221,1
7,34,3.688889,20.333334,18.222221,27.88889,-16.333334,1
100,124,0.062963,7.074074,8.222222,8.777778,-8.555555,1
75,103,1.52963,18.962963,20.222221,22.777779,-15.222222,1
120,108,0.640741,21.925926,21,28.222221,-16.11111,1
141,89,1.485185,23.88889,23.11111,30.444445,-17.333334,1
237,135,0.207407,4.148148,5.666666,4.777778,-6.444445,1
188,133,0.266667,6.666666,8.333334,7.777778,-8.333333,1
77,124,0.122222,5.111111,6.888889,5.666666,-7,1
196,124,0.02963,6.222222,7.555555,7.444445,-7.666666,1
18,145,0.018518,3.925926,5.555555,4,-5.111111,1
96,92,2.977778,22.88889,21.777779,29.777779,-17.333334,1
62,144,0.062963,4.814815,6,5.777778,-6.444445,1
64,74,0.577777,21.148148,21,26.88889,-16.777779,1
23,147,0.133333,4.592593,4.111111,7.444445,-7.111111,1
42,63,1.1,22.37037,20.333334,29.666666,-15.777778,1
78,107,0.655556,17.185184,18.333334,20.666668,-13.888889,1
14,110,5.351851,17.925926,18.88889,21.444445,-13.444445,1
186,130,0.122222,5.333334,6.888889,6.222222,-7.333334,1
75,59,0.774073,25.074074,22.333334,34.333336,-19.555555,1
27,50,0.462963,23.037037,21.666666,30,-16.777779,1
177,131,0.42963,5.962963,7.555555,6.666666,-6.888889,1
85,101,1.288888,21.296297,21.222221,26.777779,-16.222221,1
75,149,0.122222,7.518518,5.555555,11.888889,-7.222222,1
77,78,2.34074,24.592592,24,31.222221,-18.11111,1
23,85,1.051853,17.962963,18.88889,21.88889,-14.555555,1
19,63,1.574073,20.925926,19.666668,27.777779,-16.777779,1
67,64,2.118519,22.481482,22,28.88889,-17.777779,1
23,55,3.674073,23.444445,21.666666,31.11111,-17.666666,1
105,110,0.122222,4.222222,4.333334,6.333334,-6.666666,1
176,118,0.151852,6.074074,7.666666,7,-7.555555,1
121,123,2.474074,6.962963,7.888889,8.444445,-7.222222,1
8,79,2.285185,16.814816,17.333334,21,-14.111111,1
2,98,0.666667,17.481482,18.333334,20.777779,-12.444445,1
114,121,0.118518,6.407407,8,7.444445,-7.888889,1
146,140,0.462963,6.333334,7.888889,7.333334,-7.666666,1
121,60,2.329629,26.74074,24.666666,35.22222,-19.222221,1
127,120,0.844445,23.666666,22.11111,30.444445,-15.666667,1
239,143,0.044444,4.518518,6.111111,5.444445,-7.555555,1
69,92,4.518517,19.37037,20.222221,23.333334,-14.444445,1
67,118,0.385186,21.11111,20.222221,27.333334,-16,1
18,138,0.562963,5.740741,7.333334,6.555555,-7.222222,1
176,132,0.122222,5.740741,7.444445,6.222222,-6.555555,1
42,56,0.951851,22.74074,21.11111,30.222221,-17.555555,1
192,142,0.122222,4.666666,6.777778,4.888889,-7,1
98,119,0.518519,21.592592,21.333334,27.333334,-16.444445,1
80,116,1.633333,21.703703,21.222221,27.555555,-16.11111,1
14,134,0.062963,5.296296,6.777778,6.222222,-7.222222,1
109,126,0.211111,7.296296,8.777778,8.222222,-7.222222,1
217,145,0.162963,5.296296,6.333334,6.555555,-6.888889,1
39,111,0.374074,6.037037,7,7.666666,-7.777778,1
219,134,0.107407,4.740741,6.444445,5.222222,-6.555555,1
217,145,0.162963,5.296296,6.333334,6.555555,-6.888889,1
196,134,0.251852,6.074074,7.444445,7.111111,-7.222222,1
42,59,3.5,21.814816,20.777779,28.777779,-17.777779,1
137,66,3.040741,28.407408,25.333334,38.22222,-20.222221,1
18,138,0.562963,5.740741,7.333334,6.555555,-7.222222,1
217,122,0.133333,6,7.222222,7.333334,-7.666666,1
97,130,0.507407,5.851852,7.333334,6.888889,-7.555555,1
67,61,0.507407,23.74074,22.666666,30.666666,-17.555555,1
22,116,0.107407,5.62963,6.777778,7,-7.555555,1
90,101,0.385185,20.074074,20.333334,25,-15.555555,1
122,91,2.029629,22.481482,22,28.777779,-17.444445,1
137,94,0.8,21.222221,20.666668,27.333334,-16.666666,1
226,141,0.433333,5.407407,7,6.222222,-7.222222,1
112,114,0.062963,5.259259,6.555555,6.111111,-6.444445,1
11,108,0.8,17.666666,19,21.11111,-14.333333,1
38,106,2.518518,20,20,25.11111,-15.333333,1
108,123,0.240741,6.740741,8.222222,8,-8.222222,1
146,124,0.166667,6.037037,7.444445,7.333334,-8.111111,1
105,139,0.107407,6.111111,7.555555,7.222222,-7.666666,1
127,121,0.800001,23.11111,21.666666,30.11111,-16.666666,1
14,117,0.133333,5.777778,6.333334,7.555555,-7,1
138,133,0.444444,6.444445,7.777778,7.888889,-8.333333,1
75,75,4.611113,25.962963,23.333334,34.77778,-18.555555,1
2,89,1.762962,18.962963,18.777779,23.88889,-14.222222,1
23,55,3.674073,23.444445,21.666666,31.11111,-17.666666,1
196,129,0.433333,6.333334,7.888889,7.333334,-7.666666,1
141,62,2.118518,27.37037,23.777779,37.666668,-20.11111,1
33,117,0.122222,6.444445,7.333334,8.222222,-8,1
151,114,0.196296,6.222222,7.555555,7.444445,-7.666666,1
228,114,0.062963,5.888889,7,7.444445,-8,1
88,71,0.785185,22.333334,21.777779,28.555555,-17,1
2,63,0.562963,18.074074,17.222223,23.666666,-14.222222,1
7,114,0.788889,14.518518,16.11111,17.11111,-12.555555,1
84,51,1.629631,25.74074,22.666666,35.11111,-18.88889,1
139,86,1.274074,26.481482,24.222221,35,-18.777779,1
97,116,0.196296,6.62963,7.555555,8.444445,-8.222222,1
29,111,0.240741,5.407407,6.888889,6.333334,-7.222222,1
107,129,0.562963,6.666666,8.444445,7.555555,-8,1
39,111,0.374074,6.037037,7,7.666666,-7.777778,1
26,67,0.88889,20,19.555555,25.88889,-16.333334,1
95,131,0.162963,5.333334,6.888889,6.111111,-7,1
159,111,0.074074,5.925926,7.666666,6.888889,-8.111111,1
35,96,1.007407,21.74074,20.777779,27.777779,-15.222222,1
97,77,1.851852,25.185184,24.11111,32.333336,-18.222221,1
30,124,0.107407,6,7.444445,7.222222,-8,1
70,60,1.396297,23.777779,22.444445,31,-17.666666,1
96,84,1.277777,23.851852,23.555555,30,-17.555555,1
79,95,3.733334,21.11111,21.11111,26.222221,-15.333333,1
89,53,1.718519,27.074074,22.777779,38.333336,-20.88889,1
26,67,0.88889,20,19.555555,25.88889,-16.333334,1
104,124,0.151852,6.185185,7.666666,7.333334,-7.888889,1
78,108,0.433333,17.11111,19,19.88889,-14,1
76,81,1.674073,22.703703,22.333334,28.777779,-17.11111,1
5,92,0.488889,18.703703,18.777779,23.777779,-15.444445,1
6,90,0.596296,18.11111,18.777779,22.11111,-14,1
145,102,0.607408,23.074074,22.11111,29.777779,-17.222221,1
146,140,0.462963,6.333334,7.888889,7.333334,-7.666666,1
30,56,0.429629,23.703703,22.11111,31.333334,-18.11111,1
95,57,3.411111,26.296297,24.666666,34.444447,-19.555555,1
40,85,0.518519,21.11111,20.777779,27.11111,-17,1
58,122,0.107407,5.62963,7,6.666666,-7.222222,1
23,86,0.651853,18.592592,18.555555,23.555555,-14.777778,1
229,124,0.074074,5.888889,7.111111,7.111111,-7.333334,1
199,140,0.251852,6,7.444445,6.888889,-7,1
33,104,0.962963,20.185184,20.222221,24.88889,-14.222222,1
71,113,0.240741,5.481482,7.111111,6.333334,-7.444445,1
13,142,0.062963,4.592593,6.222222,5.222222,-6.777778,1
189,115,0.033333,6.666666,8.222222,7.888889,-8.333333,1
201,135,0.296296,5.518518,7.111111,6.444445,-7.555555,1
101,80,1.851851,24.814816,24.333334,31.555555,-18.777779,1
21,53,0.518518,21.555555,20.88889,27.444445,-15.666667,1
75,67,1.007407,22.25926,22.555555,27.88889,-17.777779,1
85,56,0.4,26.444445,23.333334,36,-19.333334,1
183,111,0.311111,5.703704,6.888889,7,-7.444445,1
177,126,0.118519,5.407407,7.666666,5.666666,-7.555555,1
26,91,2.177777,19.74074,19.777779,24.555555,-14.555555,1
140,125,0.062963,6.185185,7.333334,7.666666,-7.888889,1
85,101,1.288888,21.296297,21.222221,26.777779,-16.222221,1
39,60,1.140741,22.62963,21.333334,30,-18.222221,1
136,77,1.496295,26.407408,24.555555,34.444447,-18.555555,1
123,104,2.107407,21.925926,20.555555,28.666666,-16.11111,1
79,57,1.618517,26.814816,24,36.22222,-19.777779,1
177,129,0.251852,6.407407,8,7.444445,-7.888889,1
120,136,0.418519,6.259259,7.777778,7.222222,-7.444445,1
140,125,0.062963,6.185185,7.333334,7.666666,-7.888889,1
121,113,1.52963,20.25926,20,25.444445,-14.777778,1
134,104,1.840741,21.777779,20.88889,28.333334,-17,1
71,90,2.074072,22.62963,22,29.11111,-17.555555,1
65,54,1.674073,24.592592,22.777779,32.555557,-18.444445,1
151,147,0.42963,6.037037,5.666666,9.222222,-8.444445,1
188,133,0.266667,6.666666,8.333334,7.777778,-8.333333,1
