@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
29,111,5.407407,3,4.444445,-7.222222,1
96,115,6.777778,4,3,-8.333333,1
97,86,23.814816,17.88889,-1.444444,-17.777779,1
149,92,23.666666,17.555555,-1.666667,-18.333334,1
82,109,17.777779,13.111111,4.333334,-14,1
141,89,23.88889,18.11111,-2.333333,-17.333334,1
32,113,6.148148,3.444444,3.222222,-8.111111,1
90,111,18.62963,13.888889,3.444444,-14.222222,1
85,56,26.444445,20,-9.333333,-19.333334,1
80,116,21.703703,16.333334,-1.444444,-16.11111,1
138,116,6.481482,3.666667,3.222222,-8.444445,1
77,78,24.592592,18.555555,-1.777778,-18.11111,1
69,75,22.74074,16.88889,-2.222222,-17.555555,1
228,143,5.296296,3,4.111111,-6.888889,1
75,59,25.074074,18.555555,-8.222222,-19.555555,1
39,111,6.037037,3.444444,2.888889,-7.777778,1
42,63,22.37037,17.11111,-6.111111,-15.777778,1
33,149,5.444445,3.555556,-4,-5.666666,1
69,92,19.37037,14.555555,2.555556,-14.444445,1
26,91,19.74074,14.888889,0.111111,-14.555555,1
217,122,6,3.444444,3.666667,-7.666666,1
95,57,26.296297,19.777779,-4.888889,-19.555555,1
188,133,6.666666,3.888889,5,-8.333333,1
79,57,26.814816,20.222221,-8.444445,-19.777779,1
94,67,23.74074,17.555555,-2.555556,-18.555555,1
4,40,17.185184,12.555555,-4.555555,-13.888889,1
27,68,21.592592,15.888889,-3.444444,-17.11111,1
23,88,20.592592,15.666667,-5.444445,-14.777778,1
29,125,5.851852,3.444444,4.111111,-7.222222,1
146,140,6.333334,3.777778,4.666666,-7.666666,1
84,51,25.74074,19.444445,-9.222222,-18.88889,1
96,92,22.88889,17.11111,-3.333333,-17.333334,1
177,131,5.962963,3.666667,4.777778,-6.888889,1
21,53,21.555555,16.333334,-2,-15.666667,1
33,149,5.444445,3.555556,-4,-5.666666,1
24,83,18.74074,13.888889,1.111111,-14.555555,1
42,56,22.74074,16.88889,-4.888889,-17.555555,1
75,75,25.962963,19.777779,-7.888889,-18.555555,1
176,132,5.740741,3.555556,5.111111,-6.555555,1
146,140,6.333334,3.777778,4.666666,-7.666666,1
105,139,6.111111,3.555556,4.333334,-7.666666,1
98,104,18.703703,13.666667,1.555556,-15.111111,1
217,145,5.296296,3,3.111111,-6.888889,1
26,93,20.37037,15.444445,-4.444445,-14.777778,1
151,143,5.666666,3,5.666666,-8,1
41,61,21.74074,16.11111,-4.222222,-16.88889,1
85,101,21.296297,15.888889,-0.222222,-16.222221,1
33,117,6.444445,3.777778,2.666667,-8,1
23,85,17.962963,13.111111,2.777778,-14.555555,1
90,101,20.074074,14.888889,0.777778,-15.555555,1
145,102,23.074074,17.333334,-2.888889,-17.222221,1
133,67,27.148148,20.444445,-6.111111,-20.11111,1
227,116,5.407407,2.888889,3.444444,-7.555555,1
83,114,19.851852,14.888889,0.444444,-14.888889,1
86,88,21.148148,15.666667,0.888889,-16.444445,1
196,124,6.222222,3.666667,4,-7.666666,1
100,124,7.074074,4.222222,3.444444,-8.555555,1
231,123,5.814815,3.444444,3.888889,-7.111111,1
42,59,21.814816,15.888889,-3.111111,-17.777779,1
66,101,19.037037,13.888889,1.888889,-15.444445,1
23,85,17.962963,13.111111,2.777778,-14.555555,1
39,60,22.62963,16.555555,-3.888889,-18.222221,1
75,107,16.703703,11.888889,6.222222,-14.444445,1
76,81,22.703703,17,-1.111111,-17.11111,1
29,81,20.481482,15.222222,-1.111111,-15.777778,1
30,56,23.703703,17.666668,-4.777778,-18.11111,1
79,95,21.11111,16,0,-15.333333,1
75,67,22.25926,16.333334,0.888889,-17.777779,1
131,86,24.296297,18,-2.222222,-18.88889,1
199,140,6,3.666667,4.333334,-7,1
31,62,21.185184,15.777778,-1.888889,-16.222221,1
38,106,20,14.888889,0,-15.333333,1
27,50,23.037037,17.444445,-4.111111,-16.777779,1
121,123,6.962963,4.555555,2.777778,-7.222222,1
65,54,24.592592,18.444445,-5.444445,-18.444445,1
86,74,22.407408,16.666668,-2.222222,-17.222221,1
59,111,5.444445,2.888889,3,-7.666666,1
29,111,5.407407,3,4.444445,-7.222222,1
23,86,18.592592,13.666667,-0.111111,-14.777778,1
97,130,5.851852,3.333333,4.444445,-7.555555,1
23,147,4.592593,2.222222,-1.444444,-7.111111,1
104,122,6.407407,3.888889,5.111111,-7.555555,1
109,126,7.296296,4.888889,4.444445,-7.222222,1
176,118,6.074074,3.555556,4.777778,-7.555555,1
133,96,21.88889,16.222223,0.666667,-17,1
97,116,6.62963,3.888889,2.777778,-8.222222,1
115,130,7.296296,4.666667,3.777778,-7.888889,1
58,122,5.62963,3.222222,4.111111,-7.222222,1
156,123,6.111111,3.555556,5.666666,-7.666666,1
14,134,5.296296,2.888889,4.444445,-7.222222,1
