@relation segment

@attribute Region-centroid-row numeric
@attribute Hedge-sd numeric
@attribute Rawgreen-mean numeric
@attribute Exred-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
124,0.388889,3.666667,4,-1.011484,1
68,0.877779,20.444445,-8.888889,-1.848523,1
118,0.4,3.666667,3.333333,-1.134543,1
54,4.329629,18.444445,-5.444445,-1.760752,1
108,0.951852,12.888889,4,-1.302133,1
87,4.374074,12.777778,2.666667,-1.318373,1
110,2.374073,2,0.333333,-1.539762,1
123,0.266667,4,4.444445,-0.985729,1
130,0.577778,3.222222,5,-0.871495,1
118,4.285184,15.777778,-2.666667,-1.620749,1
103,2.166668,16.333334,-1.888889,-1.634396,1
136,0.444444,3.777778,4.555555,-0.924607,1
72,0.577776,19.444445,-7.333334,-1.807866,1
128,0.311111,3.111111,4,-0.985811,1
138,0.3,3.333333,4.777778,-0.862108,1
124,0.340741,3.444444,3.666667,-1.037663,1
149,0.507407,5.111111,-5.888889,-2.018631,1
126,0.251852,3.111111,5,-0.895807,1
131,0.088889,3,6,-0.621222,1
73,2.507408,15.333333,-2.555556,-1.675465,1
128,0.151852,2.777778,5.555555,-0.688601,1
84,2.285188,18,-0.888889,-1.598867,1
89,3.496296,14.222222,-0.555556,-1.544214,1
133,0.211111,3.666667,4,-1.077659,1
63,0.700001,13.333333,-2.555556,-1.683847,1
65,2.355557,15.555555,-2.111111,-1.665853,1
125,0.177778,3.444444,4.111111,-0.944272,1
139,0.522222,3.555556,4.333334,-0.965946,1
60,2.874074,20.333334,-6.222222,-1.776113,1
104,3.555556,16.11111,-2.666667,-1.669752,1
113,1.529629,15.333333,-0.777778,-1.585609,1
130,0.666667,4.222222,5.444445,-0.764077,1
108,1.174074,12.444445,5.666666,-1.169517,1
98,3.229632,15.777778,0.333333,-1.528895,1
92,0.651851,17.11111,-3.333333,-1.682651,1
132,0.162963,2.888889,5.222222,-0.808383,1
100,0.907407,16.444445,-1.333333,-1.623301,1
101,1.218518,15.888889,-0.222222,-1.558599,1
84,2.285188,18,-0.888889,-1.598867,1
90,3.274074,16.777779,-1.888889,-1.622331,1
115,0.607407,3.666667,3.111111,-1.175454,1
88,2.385183,16.666668,-2.444444,-1.653787,1
116,0.207407,3.666667,3.222222,-1.19107,1
116,0.874074,16.333334,-1.444444,-1.632243,1
106,1.174074,14.111111,1.333333,-1.48458,1
90,1.822224,13.444445,2,-1.425885,1
118,0.162963,3.555556,3.888889,-1.076198,1
118,0.074074,2.555556,3.666667,-1.047198,1
129,0.177778,3.777778,4.666666,-0.932783,1
116,0.207407,3.666667,3.222222,-1.19107,1
75,8.296293,18.88889,-2.555556,-1.652768,1
