@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,7,12,14,20'

@attribute Region-centroid-row numeric
@attribute Vegde-sd numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
185,1.068055,59.555557,-12,6
85,8.207409,28.11111,-3,1
83,9.988892,22.666666,-16.11111,3
11,0.255559,150.11111,-19.333334,2
94,0.551852,127.55556,-18.88889,2
42,0.869226,47.77778,-14,4
182,1.794023,56.333332,-11.111111,6
167,0.518518,13.777778,-5.111111,7
19,1.18634,58.77778,-21.555555,4
89,1.605546,13,-6.333334,5
81,3.751853,26.11111,-1.111111,1
194,1.200309,50.444443,-12.555555,6
208,1.396296,17.666668,-11.111111,7
46,1.629631,141,-30.11111,2
52,0.596301,129.22223,-31.88889,2
194,1.274074,16.666668,-10.666667,7
169,0.388889,15.666667,-11.444445,7
200,4.324349,72.66667,-19.11111,6
146,0.474074,15.666667,-7.777778,4
122,0,1,-1,3
46,0.62361,132.88889,-41.22222,2
17,0.95258,86.55556,-24.222221,4
192,1.007407,7.444445,-3.888889,7
182,4.213295,72.55556,-17.555555,6
207,0.928957,10.333334,-7.777778,7
244,1.470702,11.666667,-9.777778,7
149,0,0,0,5
63,0.562963,23.666666,-2.555556,1
57,0.196297,139,-33,2
163,2.285186,48,-16.333334,6
201,2.018434,74,-20.333334,6
14,0.53403,130.66667,-41.22222,2
90,2.562966,10,-7.111111,5
186,0.691215,11.777778,-5.111111,7
19,0.443052,132.33334,-39.77778,2
88,0.329632,127.55556,-27.11111,2
195,1.866865,76.55556,-19.88889,6
128,0.077778,6.666666,4,1
182,5.455552,35.444447,-7.666666,6
96,0.68853,61,-3.111111,4
128,0.044444,5.444445,5.555555,1
143,1.103866,64.77778,-22.11111,4
100,0.774075,66.88889,-15.111111,4
147,0,0,0,5
117,0.620632,39,-11.444445,4
131,0.177778,1.888889,-1.444444,5
191,2.999382,78.111115,-22.777779,6
197,3.255195,9.555555,-9.222222,7
62,1.310924,139.33334,-33.444443,2
193,1.652159,76.55556,-23.222221,6
76,192.20744,19.444445,-15.222222,3
86,0.691214,124.111115,-38.666668,2
116,1.633333,27.555555,-1.444444,1
152,0,0,0,5
132,0.998147,4.222222,-3.888889,3
92,4.02963,12.666667,-12.666667,3
208,2.640738,14.888889,-9.333333,7
138,0.501848,66.77778,-16.555555,4
85,2.942033,6.777778,-5.888889,3
152,0,0,0,5
41,1.674074,29.777779,-5.111111,1
91,752.24066,52.666668,-17.555555,3
111,0.349603,23.777779,-11.666667,5
188,2.108185,76.55556,-21.666666,6
100,1.362964,25.555555,0.777778,1
186,2.043961,59.88889,-14,6
66,2.08889,61.22222,-11.444445,4
130,0.596297,7.222222,5.444445,1
180,1.185186,36.333336,-8.777778,6
39,0.574136,140.33334,-30.88889,2
159,1.420746,22.333334,-0.555556,4
239,1.451691,9.666667,-8.111111,7
134,0.981307,15.888889,-15.111111,3
116,0.151852,20,2.444444,1
149,0.251852,8.666667,-4,1
79,1.851852,10.555555,-10.888889,3
107,2.029629,23,2.444444,1
177,0.551852,18.444445,-11.444445,7
161,0.729634,49.666668,-15.333333,6
104,9.713106,23.444445,-11.222222,3
154,2.551852,39.555557,-19.777779,4
101,0.118519,29.222221,-2.666667,1
62,0.250924,11.444445,-6.888889,5
44,3.201852,75.55556,-25.666666,4
42,0.712325,36.22222,-11.444445,4
68,203.35188,60.11111,-25.88889,3
54,0.408248,127.111115,-36.333332,2
172,0.298143,16.333334,-7.666666,7
124,112.57778,64.44444,-14.333333,4
195,1.574073,6.888889,-6.555555,7
100,8.296297,9.444445,-9.444445,3
187,2.048487,69.66667,-18.777779,6
189,0.311111,40.666668,-11.333333,6
124,0.062963,8.777778,3.444444,1
180,0.874074,18.11111,-9.444445,7
33,0.329628,132,-40.666668,2
123,0.077778,2,-2.111111,3
238,0.596297,16.555555,-8.333333,7
68,0.574135,126.333336,-39.444443,2
137,8.654905,42.333336,-6.111111,4
110,0.518518,7.444445,-4.333334,5
105,2.313408,19.777779,-7.555555,5
26,1.496289,146.77777,-16.777779,2
89,2.907407,27.777779,-1.666667,1
125,1.110556,30.666666,-22.333334,3
129,0.02963,1.555556,-1.555556,3
185,0.349603,9.777778,-4.222222,7
194,1.025599,55.444443,-14.555555,6
111,1.655518,38.22222,-12.444445,4
86,0.02963,20.444445,-13.333333,5
70,5.897896,26.666666,-14.444445,3
127,0.834443,6.777778,-7.444445,3
162,1.074968,15.888889,-10.666667,7
180,0.722649,22,-15.333333,7
100,0.774075,66.88889,-15.111111,4
135,0.136083,3,-1.444444,5
145,0,0,0,5
236,6.829628,16.666668,-8.888889,7
86,0.389682,28.555555,-13.666667,5
66,3.040741,38.22222,-9.222222,1
144,0,0,0,5
166,1.096297,16.333334,-13.888889,7
205,2.195112,61.77778,-16.11111,6
90,1.455513,15,-7.444445,5
153,0,0,0,5
43,1.772214,82.55556,-29.444445,4
124,4.774935,12.888889,-10.444445,3
199,1.861898,71,-19.333334,6
116,0.433334,23.222221,-9.888889,5
108,0.8,21.11111,4,1
172,0.507407,15,-11.222222,7
102,0.607408,29.777779,-2.888889,1
154,1.083547,1.222222,-0.555556,5
75,1.911109,31.666666,-2.555556,1
37,0.240739,121.111115,-47.444443,2
126,0.311111,3.666667,-4.222222,3
129,0.02963,1.555556,-1.555556,3
41,0.577774,131.22223,-28.555555,2
96,0.574134,77,-22.444445,4
200,2.621847,55.77778,-13.888889,6
180,1.585185,37.77778,-8.333333,6
137,0.544331,1.777778,-1.222222,5
112,0.344265,0.444444,-0.444444,3
104,1.840741,28.333334,-2.666667,1
45,1.544406,63.77778,-14.888889,4
139,0.516398,1.777778,-2,3
180,2.984528,77.55556,-21.555555,6
154,2.740737,10.777778,-6.444445,5
85,0.720082,3.444444,-4,3
86,1.218519,31.333334,-2.222222,1
181,1.200001,17.88889,-7.555555,7
155,0.459468,20.666668,-10,7
99,8.018518,9,-9.111111,3
99,0.474074,118,-43.22222,2
124,0.02963,7.444445,4,1
138,0.172133,3.111111,-1.111111,5
164,0.211111,15,-6,7
180,0.936898,62.333332,-15.555555,6
50,0.272166,138.88889,-35.88889,2
101,6.53679,39.444443,-11.888889,4
81,1.144447,47.22222,-11.111111,4
126,0.211111,8.222222,4.444445,1
44,0.240742,126.77778,-39,2
69,1.144444,32.555557,-7,1
48,0.9963,129.11111,-39.333332,2
103,0.32963,22.555555,2.666667,1
103,0.577778,5.666666,-6.111111,3
139,0.507408,8.555555,-6.888889,5
64,0.800003,118.666664,-46.77778,2
56,0.4,36,-9.333333,1
65,1.762964,26.777779,-2.111111,1
102,0.507407,6.333334,-6.666666,3
89,0.952579,24.444445,-11.777778,5
70,0.611112,64.88889,-10.444445,4
136,3.708349,25.333334,-19.555555,3
106,0.45542,24,-10.111111,5
36,0.327731,84.77778,-29.444445,4
162,1.885184,50.11111,-18.222221,6
60,0.207408,128.22223,-30.666666,2
130,0.340741,8.666667,3.777778,1
84,1.277777,30,-0.888889,1
73,0.966091,47.333332,-5.111111,4
190,1.451853,40.11111,-11,6
171,1.005539,57.22222,-14.777778,6
107,0.699206,35.11111,-13,5
217,0.474074,4.222222,-3.888889,7
143,0.122222,9.444445,-9.888889,3
244,0.640741,9.777778,-2.111111,7
12,1.481991,17.666668,-9,5
182,0.688531,12.777778,-6.666666,7
97,0.329631,145.44444,-23.444445,2
153,12.266663,38.77778,-20,4
116,1.262963,5.111111,-5.555555,3
196,1.244444,18.555555,-11.888889,7
132,0.02963,1.111111,-1.111111,3
178,1.051855,41.88889,-12,6
113,1.01111,43.77778,-22,5
40,0.574132,129,-43.444443,2
224,1.840741,11.888889,-10.333333,7
13,0.196294,145.44444,-28.444445,2
65,1.23678,64.44444,-12.111111,4
135,0.107407,43.11111,-21.555555,5
77,1.496295,34.444447,-5.555555,1
133,0.444444,7.888889,4,1
146,7.055555,31.555555,-13.888889,4
36,0.172137,130.33334,-41.11111,2
162,2.062962,12,-5.111111,4
62,0.250924,11.444445,-6.888889,5
89,4.577317,41,-13.111111,4
194,1.14342,61.666668,-15.888889,6
194,1.784708,74.888885,-19.444445,6
99,0.82963,5.555555,-5.777778,3
48,0.250925,52.444443,-16.222221,4
35,0.133333,122.55556,-46.22222,2
57,0.712326,140.33334,-33.77778,2
199,0.788811,11.777778,-5,7
204,1.282358,71.22222,-19.11111,6
90,2.208569,24.444445,-11.888889,5
42,0.462963,146.44444,-21.555555,2
60,0.785184,24.777779,-1.333333,1
53,0.518518,27.444445,-2,1
20,0.062963,132.33334,-33.555557,2
91,0.355556,8,-7.666666,3
91,0.894427,21,-10.333333,5
150,0.196296,20,-16.444445,7
151,0.389682,18.333334,-11.333333,7
125,0.471405,23.666666,-11.888889,3
111,1.047041,75.333336,-17.444445,4
193,0.516399,55.333332,-13,6
20,1.192568,142.33334,-32.666668,2
161,3.040736,52.22222,-18.11111,6
