@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,13,20'

@attribute Region-centroid-row numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
220,8.333334,7
28,108.333336,2
58,5.333334,5
125,0.333333,3
85,6.111111,3
209,16.88889,7
107,44.88889,4
58,5.333334,5
88,15.666667,1
120,18.444445,1
130,3.333333,1
84,7.555555,4
210,42.77778,6
72,20.11111,1
13,126.111115,2
143,2.666667,1
42,40,4
125,37.555557,4
229,18.333334,7
154,0,5
107,6.666666,3
189,25.666666,6
202,52.88889,6
118,2.555556,1
36,0,5
232,18.11111,7
113,26.11111,5
120,0.222222,3
196,43.88889,6
185,14.333333,7
30,4.666667,5
46,131.55556,2
182,37.77778,6
109,42.77778,4
114,26.222221,5
70,35.11111,4
227,17.333334,7
30,108.44444,2
102,12.777778,3
182,39,6
76,7.666666,3
138,0.111111,3
25,39.88889,4
89,99.666664,2
127,36,4
114,12.555555,1
119,15.888889,3
117,13.777778,5
27,133,2
96,59.88889,4
181,28,7
154,6.333334,5
145,0,5
93,5.222222,3
97,15.666667,5
216,20.555555,7
131,3,1
105,40.11111,3
181,50.666668,6
181,48.22222,6
67,17.555555,1
35,132,2
104,16.88889,5
208,48.333332,6
96,103.22222,2
62,15.777778,1
110,2,1
79,102.77778,2
42,122.333336,2
194,36.333336,6
25,111.333336,2
133,1.888889,5
183,48.555557,6
130,1.777778,3
170,30.88889,7
162,37.444443,6
25,107.55556,2
175,20.11111,7
162,37,6
112,3.111111,3
85,15.444445,1
190,43,6
198,16.333334,7
74,17.666668,1
203,18.222221,7
45,118,2
191,51.22222,6
16,105.22222,2
173,22.333334,7
126,1.777778,3
245,14.666667,7
36,94.333336,2
72,2.555556,3
103,56.88889,4
172,37.77778,6
62,54.666668,4
88,19.444445,5
77,6.777778,3
107,13.888889,1
17,126.333336,2
195,17.11111,7
196,44.77778,6
97,43.333332,4
246,20,7
192,40.333336,6
71,35.11111,4
94,6.666666,3
76,30.666666,4
20,31.666666,4
95,3.111111,3
20,122.55556,2
112,3.555556,1
13,5.888889,5
186,22,7
82,100.77778,2
210,19.88889,7
134,1.333333,5
243,18,7
102,1.666667,3
12,3.555556,5
234,11.111111,7
199,19.88889,7
184,48.555557,6
67,100.55556,2
60,17.88889,1
101,56.77778,4
145,0.777778,3
90,5.666666,3
105,57.88889,4
227,17.444445,7
49,114.666664,2
186,42.555557,6
190,52.333332,6
136,3.777778,1
191,18.555555,7
114,3.222222,1
111,52.444443,4
68,50.11111,4
25,93.77778,2
187,41.555557,6
51,19.444445,1
54,119.111115,2
71,16.666668,1
237,18.777779,7
111,0,3
105,39.666668,4
125,1,3
202,53.88889,6
101,12.555555,1
77,35.22222,4
226,21.777779,7
62,3.777778,5
193,36.555557,6
125,53.77778,4
84,13.666667,5
27,135.11111,2
91,39.88889,3
186,46.22222,6
123,3.555556,1
209,16.11111,7
110,6.333334,5
109,10.555555,3
122,0.444444,3
201,36.11111,6
68,120.666664,2
32,121.333336,2
153,6.222222,5
124,3.333333,1
125,37.444443,4
140,0,5
50,101.888885,2
143,2,1
72,121.111115,2
191,51.555557,6
102,13.333333,1
154,4.777778,5
189,22.88889,6
118,3.666667,1
137,3.444444,3
199,47.77778,6
56,14.666667,1
123,3.222222,1
34,14.888889,1
121,2.555556,3
129,0,3
165,16.777779,7
133,3.888889,1
120,13.555555,3
196,18.11111,7
183,21,7
140,2.888889,1
155,11.333333,5
113,129,2
145,2,3
98,17.222223,5
90,15.777778,5
198,20.777779,7
21,122.666664,2
133,18.666668,4
17,39.444443,4
166,16.777779,7
90,18.666668,1
233,19.555555,7
133,32,4
22,132.88889,2
38,11.222222,5
68,4.666667,5
62,120.77778,2
33,6.666666,5
124,3.555556,1
115,6.222222,3
117,33.77778,4
182,30.444445,6
161,38.555557,6
158,35,4
195,41.88889,6
63,100.888885,2
115,0.333333,5
56,121.44444,2
18,59.77778,4
87,1.888889,3
48,37.555557,4
106,33.22222,4
245,21.444445,7
154,0,5
122,15.111111,3
108,52,4
177,29,6
89,18,5
34,41.666668,4
141,0,5
