@relation segment

@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
-7.555555,7.666666,-0.87829,1
-14.777778,25.444445,-1.585609,1
-8.111111,8.666667,-0.963931,1
-17.333334,30.444445,-1.664008,1
-18,29.666666,-1.66796,1
-14.777778,27.333334,-1.785147,1
-17.666666,32.555557,-1.811203,1
-8,8.222222,-1.233256,1
-13.888889,21.222221,-1.162844,1
-7.222222,7.333334,-0.862108,1
-16.666666,27.222221,-1.620398,1
-7.222222,7.111111,-0.960827,1
-8.333333,8.444445,-0.924817,1
-16.11111,27.555555,-1.632243,1
-14.777778,25.444445,-1.585609,1
-7.444445,7.444445,-0.787376,1
-18.333334,30.333334,-1.637777,1
-15.444445,23.555555,-1.457591,1
-14,22.11111,-1.425885,1
-15.777778,25.777779,-1.650048,1
-7,6.888889,-1.004936,1
-7.555555,7.666666,-0.963048,1
-6.555555,5.444445,-0.959485,1
-18.11111,31.222221,-1.610448,1
-18.88889,35.11111,-1.873032,1
-7.222222,7.333334,-0.944272,1
-20.222221,38.22222,-1.844993,1
-7.666666,7.888889,-1.0108,1
-6.888889,7,-1.068968,1
-17.666666,31.11111,-1.771163,1
-6.444445,6.222222,-0.969119,1
-17.88889,31.666666,-1.652768,1
-7.111111,7.666666,-1.561754,1
-6.555555,6.444445,-0.730465,1
-19.555555,37.666668,-1.819915,1
-5.555555,8.777778,-2.009108,1
-14.444445,24.11111,-1.440963,1
-14.666667,25.11111,-1.755505,1
-19.777779,36.22222,-1.837675,1
-20.333334,35.444447,-1.807866,1
-5.666666,8.666667,-1.985703,1
-18.777779,31.555555,-1.620451,1
-8.444445,8.333334,-1.19107,1
-17,28.11111,-1.659879,1
-7.444445,7.333334,-1.065066,1
-15.666667,30.444445,-1.76489,1
-7.777778,7.888889,-1.175773,1
-14,20.555555,-1.176662,1
-14.111111,21,-1.453114,1
-16.222221,26.777779,-1.558599,1
-19.333334,36,-1.863182,1
-18.11111,31.333334,-1.748835,1
-16,27.333334,-1.620749,1
-18.88889,31.333334,-1.650844,1
-16.666666,27.333334,-1.627145,1
-14.222222,23.666666,-1.683847,1
-19.222221,35.22222,-1.776113,1
-5.666666,8.666667,-1.985703,1
-16.222221,26.777779,-1.558599,1
-15.777778,26.777779,-1.665853,1
-14.222222,22.222221,-1.333792,1
-15.555555,26.666666,-1.567327,1
-13.888889,23.333334,-1.783602,1
-7.777778,7.555555,-0.837598,1
-7.222222,8.444445,-1.18068,1
-17.555555,29.333334,-1.641882,1
-15.222222,25.222221,-1.753726,1
-7.666666,7.555555,-0.965946,1
-20.88889,38.333336,-1.937482,1
-7.111111,6.666666,-0.907416,1
-15.777778,29.666666,-1.813886,1
-16.11111,27.555555,-1.632243,1
-15.333333,25.88889,-1.528895,1
-17.777779,30.222221,-1.60859,1
-13.444445,21.444445,-1.345096,1
-14.555555,21.88889,-1.386867,1
-14.777778,26.777779,-1.730306,1
-13.111111,20.222221,-1.21111,1
-14.444445,19.777779,-1.131973,1
-7,6.888889,-0.752669,1
-8.111111,7.888889,-1.175454,1
-8.333333,8.444445,-0.924817,1
-7.222222,7.222222,-0.964797,1
-7.888889,7.666666,-1.005054,1
-16.333334,25.88889,-1.623202,1
-15,24.777779,-1.623392,1
-19.666666,34.444447,-1.79139,1
-17.222221,29.777779,-1.68544,1
-7.888889,8,-0.914324,1
-16,27.777779,-1.611365,1
-19.11111,34,-1.74518,1
-8.111111,7.666666,-1.02473,1
-7.666666,7.666666,-1.05144,1
-12.444445,20.777779,-1.360437,1
-13,21.88889,-1.54801,1
-15.777778,28,-1.619549,1
-7.555555,6.111111,-0.87829,1
-7.666666,8.222222,-0.932783,1
-14.555555,21.88889,-1.386867,1
-7.888889,7.888889,-0.95784,1
-7.333334,7,-0.880521,1
-20.11111,35.88889,-1.768356,1
-15.666667,28.11111,-1.670314,1
-18.222221,30,-1.709389,1
-6.777778,6.555555,-0.829712,1
-17,27.11111,-1.603957,1
-15,23,-1.357871,1
-8.111111,7.777778,-1.076198,1
-7.666666,8,-1.011484,1
-6.888889,7,-1.068968,1
-15.333333,22.555555,-1.397414,1
-18.555555,34.444447,-1.768872,1
-7.888889,9,-1.056659,1
-20.11111,37.666668,-1.888408,1
-7.222222,8.888889,-0.913675,1
-6.777778,6.333334,-0.776334,1
-19.555555,34.333336,-1.836328,1
-8.111111,7.666666,-0.872666,1
-15.777778,25.666666,-1.68129,1
-15,26.333334,-1.574477,1
-7.444445,8,-0.924607,1
-14.222222,23.88889,-1.544214,1
-8,8.111112,-1.273992,1
-16.88889,28.777779,-1.737293,1
-7.333334,6.666666,-1.047198,1
-13.777778,18.333334,-0.9757,1
-16.333334,28.444445,-1.625587,1
-15.333333,24.444445,-1.507007,1
-15.555555,26.666666,-1.567327,1
-14.222222,24.11111,-1.570588,1
-7.555555,7.777778,-0.744272,1
-7.222222,6.888889,-0.897859,1
-16.333334,27.88889,-1.823148,1
-15.888889,26.777779,-1.675465,1
-7.222222,7,-0.843732,1
-14.555555,24.555555,-1.55225,1
-17,27.333334,-1.530686,1
-7.666666,7.222222,-0.953435,1
-14.444445,24.88889,-1.58144,1
-7.888889,7.777778,-0.820403,1
-7.555555,6.888889,-0.989308,1
-7.444445,7.888889,-0.7213,1
-16.222221,27.222221,-1.650123,1
-19.555555,34.444447,-1.739017,1
-7.555555,8.111112,-0.83212,1
-17.555555,30,-1.598867,1
-18.11111,31.555555,-1.68954,1
-7.666666,8.222222,-0.932783,1
-15.333333,25.11111,-1.55762,1
-13.444445,21.444445,-1.345096,1
-6.444445,6.666666,-0.91061,1
-7.444445,7.111111,-0.808383,1
-6.777778,6.888889,-0.688601,1
-17.666666,29.222221,-1.674318,1
