@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R1-2,8,14-15,17,20'

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
61,197,2.611111,-16.11111,35.88889,61.555557,6
243,120,1.555555,-9.222222,25.444445,56.333332,4
146,97,0.611111,-5.888889,19.11111,54.333332,4
43,152,1.222222,-1.555556,4.111111,2.888889,5
88,89,3.666667,-2,18.333334,28.444445,1
140,124,1.111111,-6.888889,10.777778,6.111111,3
245,238,2.333333,-7.777778,-7.111111,13.888889,7
129,157,2.222222,-14.777778,26.555555,32,4
69,75,1.5,-2.222222,19.777779,29.333334,1
181,15,1.444443,-19.222221,27.777779,149.55556,2
201,125,8.555554,-5.111111,16.88889,49,4
45,108,27.277779,-24.11111,33.88889,61.11111,3
206,61,0.5,-7.222222,15.444445,12.222222,5
151,163,18.166666,-16.333334,24,48.11111,6
161,154,0,0,0,0,5
23,172,9.166667,-13,26.666666,51.22222,6
63,13,0.944445,-14.111111,21.222221,148.88889,2
140,125,2.666667,-7.111111,11.555555,7.777778,3
86,193,2.222222,-23.222221,45.444443,76.55556,6
23,25,0.611111,-29.333334,55.666668,89,4
222,131,0,0,0,0,5
86,187,1.444444,-6.222222,-10.222222,19.222221,7
13,191,7.777778,-5.222222,13.777778,30.11111,6
22,87,1.166667,-24.777779,48.88889,80.333336,4
96,94,0.444445,-12.666667,25.666666,28.777779,5
216,151,0.111111,-0.333333,0.666667,0.333333,5
33,142,0.888889,-6.555555,10.111111,7.222222,3
2,44,2.38889,-4.222222,19.444445,25.222221,1
155,20,0.611112,-39.77778,53.555557,129.55556,2
37,167,7.555555,-7.222222,8.111111,17.666668,7
20,134,0.611111,-5.555555,10.444445,6.444445,5
108,113,0.444444,4.111111,3.444444,6.888889,1
141,68,2.166667,-8.888889,29.11111,36.88889,1
37,126,0.444445,5,3,7.444445,1
108,212,1.555556,-6.111111,-3.777778,11.333333,7
80,95,0.944444,-0.222222,15.777778,26.666666,1
208,240,2.444444,-9.777778,-3.444444,18.555555,7
179,101,0.611109,-25.444445,36.88889,147.22223,2
28,114,1.166667,-5.222222,8.444445,4.666667,3
70,177,1.666666,-13.333333,34.666668,61,6
154,120,0.444445,5.444445,2.444444,7.777778,1
132,223,1.777778,-9.888889,-9.222222,22.88889,7
32,113,0.277778,3.222222,4.888889,7.888889,1
81,67,0.888889,-31.666666,46.666668,138.44444,2
226,83,1.055552,-48.22222,78.77778,116.888885,2
252,181,2.055555,-8.222222,-7.222222,21.444445,7
92,56,0.833333,-30.333334,44,140.66667,2
58,58,0.888891,-31.333334,43.333332,137.44444,2
114,242,4.666667,-14.555555,-4.888889,30.555555,7
62,140,1.388889,-15.333333,27.666666,32.22222,4
250,131,0,0,0,0,5
206,61,0.5,-7.222222,15.444445,12.222222,5
233,124,2.055555,-15.444445,31.555555,51.444443,4
223,141,0.777778,-11.555555,20.11111,16.555555,5
31,106,0.722222,1.333333,13.666667,23.666666,1
124,29,1.055553,-27.666666,43.333332,142.88889,2
191,107,10.333333,-7,20,35.88889,4
190,186,6.055555,-13.222222,30.444445,60.22222,6
199,144,0.333333,-1,2,1.111111,5
18,123,0.611111,-2.888889,4.777778,2.666667,3
20,117,0,0,0,0,3
17,18,1.277777,-34.88889,49.11111,142,2
79,47,1.000001,-31.11111,45.88889,141.66667,2
240,26,0.888888,-17.666666,29,146.55556,2
207,215,2.5,-17.11111,-3.444444,30.666666,7
29,125,0.666667,4.111111,3.111111,7.333334,1
24,58,1.388889,-2.777778,19.222221,27.333334,1
191,47,1.111109,-20.222221,31.777779,146.33334,2
103,125,0.833333,-4,6.333334,3.888889,3
148,192,4.944445,-19,41.666668,72,6
127,120,0.722222,-4.222222,7.777778,4.111111,3
68,103,1.111111,-6.111111,10.555555,5.666666,3
180,179,4.555556,-12.444445,25.88889,44.11111,6
149,92,2.333333,-1.666667,20,30.333334,1
91,115,3.888889,1.888889,12.555555,24.11111,1
32,240,2.277778,-7.111111,-8.444445,17.333334,7
161,89,0.166667,-0.666667,2,3.777778,5
71,197,4.555556,-19,42.333332,69.55556,6
118,38,0.888888,-34.555557,50.444443,141.66667,2
95,141,0.722222,-4.333334,6.333334,3.666667,3
189,142,0,0,0,0,5
63,179,1.555556,-6.111111,-7.111111,16.222223,7
26,211,1.666667,-7.777778,-5.111111,20.666668,7
152,199,0.833334,-8.222222,-7.555555,23.222221,7
201,92,0.77778,-46.333332,75.333336,115.44444,2
200,165,1.777778,-13.333333,-2.666667,22.666666,7
33,99,2.444444,-12.777778,24.88889,23.777779,5
187,36,0.5,-8.222222,16.444445,13,5
140,73,0.777777,-1.888889,14.444445,51.11111,4
30,91,3.277778,-11.444445,17.555555,12.111111,3
23,188,7.38889,-9.444445,21.555555,37.77778,6
231,124,1.833333,-4.666666,8.666667,5.888889,3
113,128,0.388889,-2.222222,4.444445,2.222222,3
178,185,3.111111,-15.111111,34.88889,60.666668,6
189,68,1.111111,-0.777778,11.222222,42.333336,4
151,143,0.5,5.666666,2.333333,7.555555,1
88,115,4.166667,-2.111111,17.88889,28,1
46,88,1.555556,-7.888889,13.111111,7.666666,3
44,162,1.944445,-14.888889,-1.222222,29.88889,7
42,57,0.999999,-18.777779,41.22222,79.44444,4
13,103,2.277778,4.555555,8.888889,19.444445,1
22,60,1.277778,-1.777778,17.555555,25.777779,1
200,250,1.444444,-8,-5.666666,13.777778,7
221,195,2.944445,-9.222222,-6.888889,20.11111,7
243,48,1.277781,-21.88889,33.77778,146.11111,2
162,159,2.222222,-2.666667,10.333333,29.555555,4
34,93,0.388889,-13.111111,25.88889,23.444445,5
238,211,1.611111,-13.222222,-3.888889,26.222221,7
79,58,1.055559,-38.22222,52.11111,126.44444,2
146,124,0.388889,4.222222,3.888889,7.666666,1
36,207,6.444444,-19.11111,39.88889,70.111115,6
16,246,1.722222,0.444444,2.111111,10.333334,7
43,152,1.222222,-1.555556,4.111111,2.888889,5
116,184,10.611111,-8.777778,18.88889,38.333336,6
210,232,1.5,-6.777778,-4.777778,12.666667,7
29,111,0.611111,4.444445,2.777778,6.888889,1
83,133,1.166666,-21.333334,41.666668,62.555557,4
241,90,6.777779,-12.666667,20,15.666667,3
240,58,1.000001,-47.444443,77.55556,118.55556,2
212,81,0.833332,-44.88889,78.77778,118.44444,2
41,61,1.555555,-4.222222,21.11111,28.777779,1
89,68,2.388889,-0.111111,15.888889,23,1
62,26,0.444444,-41.666668,56,130.88889,2
230,180,1.944444,-12.555555,-2.222222,18.777779,7
127,143,0.888889,-9.888889,15.777778,9.444445,3
59,141,2.166667,-14.333333,17.666666,18.555555,3
239,123,0.5,-4.555555,8.111111,4.222222,3
138,133,1.166667,4,4.333334,8.222222,1
118,126,1.833334,-13.333333,24.333334,28.666666,4
210,114,0.611111,-14.222222,26.444445,25,5
183,185,5.777777,-12.888889,30.11111,55,6
76,64,2.888888,-5.555555,22.777779,31.222221,1
78,72,1.055559,-30.666666,45,140.55556,2
174,188,3.611111,-14.888889,34.77778,62,6
51,237,2.333333,-9.111111,-3.444444,18.333334,7
187,75,5.666666,-11.777778,25.555555,48.22222,4
191,101,1.111111,-18.11111,36.22222,57.11111,4
177,130,0.222222,-1.555556,5.111111,2.888889,5
223,185,2.388889,-4.222222,-9.555555,17.555555,7
212,48,0.555555,-30.444445,47.22222,138.11111,2
100,111,1.611111,-0.444444,14.888889,24.88889,1
222,38,2.111111,-39.11111,53.88889,131.44444,2
151,138,0.444444,4.666666,2.666667,7,1
66,101,2.222222,1.888889,13.555555,23.555555,1
189,124,1.277779,-8.111111,22.88889,46.22222,4
45,126,2.555556,-15.888889,21.11111,17.222223,3
124,191,3.277778,-20.555555,45.11111,74.77778,6
80,83,1.500001,-11.333333,27.666666,58.666668,4
198,185,2.5,-14.333333,33.333332,61.333332,6
72,235,5.277778,-9.222222,-0.222222,18.222221,7
102,203,1.333333,-7,-10,15.444445,7
194,118,0.444445,3.888889,4.222222,7.777778,1
99,156,2.5,-12.666667,24.666666,29.222221,4
205,83,8.333333,-10.555555,15.777778,28.555555,3
205,82,2.5,-10,19.333334,21.666666,5
217,45,1.555557,-31.222221,47.444443,137.33334,2
226,131,0,0,0,0,5
2,171,3.666667,-14.333333,31.666666,56.333332,6
104,112,1.055556,-20.777779,42.555557,73.333336,4
94,13,1.666664,-20.11111,24.88889,149.88889,2
121,55,1.444447,-39.22222,63.11111,124.111115,2
114,102,1.166667,-9.111111,13.222222,8.444445,3
216,15,1.222225,-46.88889,73.77778,131.11111,2
189,62,0.444444,-7.888889,16.444445,13.111111,5
225,143,0.444444,4,4,7,1
24,188,6.611112,-9.888889,22.11111,38,6
247,174,3.166667,-20.222221,44.11111,70.88889,6
109,100,0.444445,-16.777779,37.555557,69.66667,4
230,124,0.277778,-2,4,2,3
76,249,2.333334,-3.444444,-0.777778,15,7
14,90,3.333333,-7.333334,7,7.333334,3
182,186,1.777777,-14,34.333332,59.88889,6
190,136,2.833333,-5.888889,11.111111,8.555555,4
116,245,2.222222,-9.333333,-3.333333,18.444445,7
194,183,2.944444,-16.555555,39.11111,67.77778,6
35,62,1.222223,-1.333333,18,27.222221,1
221,201,2.444445,-13.444445,-4.444445,25.11111,7
9,130,2.611111,-2.222222,4.444445,3.222222,5
252,71,1.333333,-49.11111,79.22222,115.55556,2
178,183,4.666666,-18.222221,41.77778,69.66667,6
216,126,0.555556,4.555555,2.555556,6.555555,1
58,109,2.833333,-8.555555,12.444445,8.444445,3
206,105,0.611111,-13.555555,32.11111,60.88889,4
121,112,0.5,-12.777778,25.88889,32.333336,5
201,191,2.944444,-13.555555,31.777779,59.77778,6
90,134,0.944444,-3.333333,7.666666,4.666667,5
86,197,1.277779,-21,43.666668,77.77778,6
137,147,2.055556,-20,34.333332,38.666668,4
236,115,0.444444,-12.222222,22.444445,22.222221,5
219,132,1.111111,-17,31.333334,45.666668,4
75,240,2.111111,-12.444445,-9.777778,28.555555,7
97,63,0.333332,-38.11111,51.555557,126.111115,2
219,80,0.666667,-10.111111,25.555555,48.22222,4
219,176,5.111111,-20.88889,46.11111,75.66667,6
