@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,12-13,20'

@attribute Region-centroid-row numeric
@attribute Rawblue-mean numeric
@attribute Rawgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
173,52.88889,38.333336,6
51,25.666666,14.333333,1
115,29.444445,20,5
64,25.11111,14,1
130,3.333333,0.666667,3
64,38,30.333334,3
123,8,4,1
96,7.777778,2,3
184,54.444443,39.444443,6
120,47.77778,34.77778,4
153,3.888889,3.222222,5
144,1,0.444444,5
139,1.333333,0,3
83,24.444445,14.333333,1
57,140.44444,122.111115,2
109,21,13.111111,1
51,140.22223,121.77778,2
78,51.88889,38.444443,4
195,76.66667,53.444443,6
189,72.44444,51.444443,6
191,79.55556,54.333332,6
235,8,12.777778,7
47,128.77779,99.333336,2
13,88.111115,62.333332,4
242,10.777778,15.777778,7
68,68.22222,50.11111,4
117,8.222222,3.777778,1
83,26.88889,14.444445,5
133,0,0,3
45,28.777779,16.444445,1
129,1.555556,0,3
27,146.55556,135.11111,2
188,76,53.444443,6
92,30,17.555555,1
79,49.666668,36.555557,4
192,59.22222,41,6
238,10.666667,19.11111,7
63,10.555555,3.666667,5
137,2.222222,0.111111,3
134,1.555556,0,5
134,3.111111,0,5
161,51.11111,37.333336,6
187,72.55556,50.88889,6
99,118,83.22222,2
234,4.444445,8.777778,7
13,128.44444,95.666664,2
184,11,19.333334,7
34,21,11.555555,5
66,118.77778,85.888885,2
116,4.888889,0.333333,5
79,53.88889,40.666668,4
90,22.11111,13.444445,1
187,68,47.333332,6
103,45.22222,30.88889,4
104,26.11111,16.88889,5
24,61.22222,44,4
119,4.222222,0.111111,3
190,41.11111,28.444445,6
133,9,3.444444,5
116,37.11111,26.666666,5
67,35.88889,20.444445,1
208,14.444445,21.11111,7
220,6.444445,11.555555,7
34,21,11.555555,5
176,11.777778,17.11111,7
196,58.555557,41.444443,6
128,25.88889,13.444445,3
73,26.777779,15.333333,1
194,76.22222,53.666668,6
17,87.333336,62.88889,4
154,28.555555,15.666667,4
62,0,0,5
12,143.11111,123.666664,2
123,3.666667,0.555556,3
24,137.77779,116.333336,2
194,60.333332,42.555557,6
175,13.555555,20.11111,7
137,6.444445,3.333333,1
88,10.111111,4.111111,3
50,80.333336,57.666668,4
121,68.66667,48.444443,4
187,74.111115,51.333332,6
219,13.555555,19.666668,7
29,126.333336,94.666664,2
121,40.555557,27.88889,4
50,125.77778,101.888885,2
142,5.777778,2.777778,1
96,8,2.333334,3
81,18.88889,10.888889,3
135,2.333334,0,5
90,6.888889,1,3
156,15.555555,21.777779,7
12,11.333333,3.555556,5
196,75.66667,54.11111,6
184,17.11111,22.222221,7
73,10.666667,4.444445,3
162,53.666668,39.22222,6
122,7.333334,3.444444,1
25,142.22223,121.55556,2
190,70,51,6
