@relation segment

@attribute Hedge-sd numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
1.485186,-1.68544,1
0.033333,-0.796918,1
0.429631,-1.507007,1
2.285186,-1.685074,1
0.107407,-1.02473,1
0.462963,-1.724894,1
0.122222,-1.181388,1
0.862963,-1.680812,1
9.496296,-1.707392,1
3.496296,-1.544214,1
2.562964,-1.79139,1
0.074074,-0.907416,1
1.277778,-1.548296,1
1.6,-1.759414,1
8.296293,-1.652768,1
3.096295,-1.72683,1
0.577778,-0.909267,1
0.907407,-1.623301,1
1.051853,-1.620398,1
0.151852,-0.988413,1
0.207407,-1.19107,1
3.129627,-1.524253,1
0.877778,-1.570588,1
0.311111,-0.985811,1
0.611111,-1.163245,1
0.107407,-0.987873,1
0.311111,-0.95784,1
0.151852,-1.985703,1
0.418519,-0.612886,1
4.211112,-1.619549,1
0.32963,-0.969119,1
0.062963,-0.761648,1
4.029627,-1.76489,1
1.229631,-1.768356,1
0.566666,-1.056659,1
0.177778,-0.944272,1
0.151852,-0.776334,1
0.088889,-1.273992,1
0.666667,-0.764077,1
0.207407,-1.004936,1
0.962963,-1.386867,1
1.140741,-1.477019,1
1.318518,-1.804829,1
0.3,-0.862108,1
1.422222,-1.755505,1
6.56296,-1.677308,1
0.844445,-1.118131,1
0.518519,-1.453114,1
2.151852,-1.219211,1
1.322222,-1.446641,1
0.151852,-0.688601,1
9.440739,-1.659879,1
2.285188,-1.598867,1
1.485186,-1.68544,1
0.388889,-1.700913,1
0.118519,-1.041434,1
3.855554,-1.676921,1
0.122222,-0.959485,1
0.062963,-1.623392,1
1.54074,-1.397414,1
2.355557,-1.665853,1
1.777778,-1.77166,1
0.133333,-0.965144,1
0.340741,-1.037663,1
2.477778,-1.66658,1
2.888891,-1.627145,1
0.207407,-0.942558,1
0.107407,-1.02473,1
0.444444,-0.924607,1
0.862964,-1.634416,1
1.92963,-1.312499,1
0.874074,-1.632243,1
4.374074,-1.318373,1
0.162963,-0.808383,1
0.177778,-1.210357,1
1.174074,-1.48458,1
3.555556,-1.669752,1
0.162963,-1.076198,1
0.177778,-0.932783,1
1.822224,-1.425885,1
3.14074,-1.55762,1
0.074074,-1.093148,1
5.144446,-1.733544,1
0.062963,-1.068968,1
0.074074,-0.880521,1
3.396294,-1.512555,1
0.122222,-1.151837,1
0.877779,-1.848523,1
2.740741,-1.357871,1
0.311111,-1.121818,1
0.088889,-0.783647,1
0.151852,-1.683529,1
0.088889,-0.621222,1
0.577778,-0.871495,1
0.433333,-1.662177,1
0.077778,-0.924817,1
2.577779,-1.650844,1
0.355555,-0.807848,1
0.207407,-0.874641,1
0.118519,-0.853547,1
0.074074,-0.877707,1
5.585183,-1.57896,1
1.529629,-1.753726,1
1.185185,-1.670171,1
2.033333,-1.823148,1
2.444443,-1.740736,1
3.229632,-1.528895,1
0.607407,-1.21111,1
0.151852,-0.872666,1
0.507407,-2.018631,1
3.262961,-1.447037,1
0.596297,-1.508658,1
0.444444,-0.924607,1
0.151852,-0.897859,1
0.118518,-1.053347,1
1.9,-1.773594,1
0.388889,-0.91962,1
0.388889,-1.011484,1
0.077778,-0.924817,1
3.688889,-1.664008,1
0.133333,-1.099624,1
0.133333,-0.87829,1
2.107407,-1.68129,1
0.444445,-1.574477,1
0.474074,-0.744272,1
2.162964,-1.60859,1
0.207407,-1.19107,1
2.874074,-1.776113,1
1.540741,-1.131973,1
0.444444,-0.730465,1
0.651851,-1.682651,1
0.522222,-0.965946,1
0.533333,-1.0108,1
3.644445,-1.519702,1
0.088889,-0.963931,1
6.374074,-1.888408,1
0.296296,-0.966318,1
1.277777,-1.748835,1
0.177778,-0.953435,1
1.44074,-1.811203,1
9.140738,-1.730306,1
0.162963,-1.058277,1
1.218517,-1.563972,1
2.151851,-1.420087,1
1.01111,-1.569253,1
0.062963,-0.912631,1
3.822222,-1.637777,1
0.374074,-0.829712,1
2.874074,-1.776113,1
0.122222,-0.837598,1
1.44074,-1.73537,1
0.122222,-0.692028,1
0.551853,-1.360437,1
0.655555,-1.603957,1
0.596295,-1.674318,1
0.118519,-0.989308,1
0.874074,-0.843904,1
3.011111,-1.937482,1
0.077778,-1.475643,1
6.029632,-1.68954,1
0.296296,-0.912766,1
0.429629,-1.175773,1
0.8,-1.555097,1
2.829631,-1.440963,1
0.211111,-1.077659,1
0.151852,-0.851202,1
1.529629,-1.753726,1
1.244444,-2.009108,1
0.444444,-1.157082,1
2.374073,-1.539762,1
0.196296,-1.590164,1
0.133333,-1.646671,1
0.907407,-1.554234,1
0.074074,-1.047198,1
0.577778,-0.909267,1
1.544446,-1.524771,1
0.962963,-1.386867,1
0.651852,-1.457591,1
0.711111,-0.850783,1
6.296294,-1.846158,1
0.118519,-0.942559,1
0.4,-1.134543,1
2.374072,-1.456819,1
0.888889,-1.873032,1
0.385185,-0.843732,1
0.311111,-0.914813,1
0.166667,-0.83212,1
0.211111,-1.179692,1
1.144442,-1.649603,1
0.311111,-1.233256,1
1.274074,-1.179347,1
2.266665,-1.370369,1
1.529629,-1.585609,1
4.862958,-1.611365,1
0.488889,-0.837598,1
1.485185,-1.699326,1
0.551851,-1.567327,1
0.118518,-0.820403,1
2.462962,-1.813886,1
2.72963,-1.695804,1
3.185185,-1.623202,1
0.151852,-0.675123,1
0.785185,-1.771163,1
0.074074,-0.892179,1
0.062963,-0.752669,1
2.285188,-1.598867,1
0.818518,-1.58144,1
0.074074,-0.896533,1
0.685185,-0.963048,1
1.718517,-1.739017,1
1.718517,-1.739017,1
1.022222,-1.333792,1
0.355555,-0.913675,1
7.188887,-1.555549,1
0.151852,-0.897859,1
0.162963,-1.048222,1
0.800001,-1.276562,1
1.940741,-1.737293,1
0.3,-1.05144,1
0.251852,-0.895807,1
1.84074,-1.863182,1
1.022222,-1.622211,1
0.266667,-0.985729,1
2.399998,-1.606794,1
1.174074,-1.169517,1
0.077778,-0.722894,1
0.374074,-0.787376,1
0.177778,-0.932783,1
0.374074,-0.57094,1
1.022223,-1.345096,1
1.885187,-1.520125,1
2.21111,-1.641882,1
0.385187,-1.43724,1
4.044442,-1.625587,1
1.022222,-1.408242,1
4.96296,-1.54801,1
2.507408,-1.675465,1
0.874074,-1.632243,1
5.096297,-1.700324,1
1.94074,-1.709389,1
3.362961,-1.530686,1
0.062963,-0.806042,1
0.700001,-1.683847,1
1.277778,-1.630409,1
0.474074,-0.744272,1
2.000002,-1.72879,1
0.133333,-1.099624,1
0.966668,-1.650123,1
0.522222,-0.965946,1
0.429629,-1.175773,1
1.096296,-1.334127,1
1.01111,-1.472378,1
0.399999,-1.705942,1
0.785185,-1.771163,1
0.151852,-1.175454,1
1.574072,-1.819915,1
0.207407,-1.233945,1
5.618516,-1.768872,1
