@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R12,14,20'

@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
2.555556,-2.666667,3
33.22222,-9.555555,4
68.111115,-16.444445,6
6.444445,5.888889,1
76.44444,-20.222221,6
3.111111,-3.222222,3
1.222222,-0.444444,5
62.666668,-14,6
117.111115,-42.666668,2
21.444445,-12,7
7.333334,2,1
14.333333,-9.888889,7
4.888889,6.333334,1
7.666666,3.444444,1
33.11111,-25.555555,3
10.777778,-2.555556,5
9.777778,-6.444445,7
74.333336,-24,4
66.88889,-18.777779,6
27.88889,-10.444445,5
6.777778,1.666667,1
7.444445,-1.444444,1
14,-7.888889,5
132.55556,-39.22222,2
26.444445,-16.444445,3
3,-3,3
9.666667,-6.888889,7
13.666667,-8.777778,5
15.666667,-7.777778,4
78.44444,-19.222221,4
72,-19.333334,6
142.55556,-30.333334,2
30.444445,-11.111111,5
62.22222,-17,6
6.666666,4.111111,1
75.44444,-20.555555,6
7.444445,4.777778,1
26.777779,-0.222222,1
29.11111,-1.888889,1
58.444443,-19,4
130.44444,-44.666668,2
31.555555,-1.444444,1
9.888889,-3.777778,3
28.444445,-2.444444,1
2.666667,-2.444444,5
121.55556,-43.77778,2
13.333333,-4.777778,7
12.888889,-6.222222,5
23.333334,-4.555555,1
79.55556,-25.333334,3
26.777779,-0.222222,1
140.88889,-31.222221,2
6.555555,-7.222222,3
71.66667,-19.333334,4
139.66667,-31.666666,2
7.888889,3.111111,1
64.44444,-13.666667,4
2.555556,0.444444,5
7.111111,-4.777778,5
142.44444,-32.22222,2
54,-12.777778,4
27.333334,-2.666667,1
50.555557,-17.444445,6
29.555555,-20.88889,3
23.444445,-16.444445,7
29.666666,-2.666667,1
69.66667,-14.333333,4
11.333333,-9.888889,3
10.777778,-8.222222,7
40.22222,-18.88889,3
116.888885,-48.22222,2
29,-12.777778,4
12.777778,-6,7
140.44444,-32.77778,2
19.777779,-9.555555,7
61.555557,-12.333333,4
0.111111,-0.111111,3
140.66667,-30.333334,2
52.22222,-18.11111,6
20.88889,-14.555555,7
2.555556,-2.777778,3
5.888889,-4.666666,3
69.66667,-17.777779,6
28.666666,-12.777778,5
6.111111,-6.888889,3
42.22222,-8.888889,6
10.333334,-6.111111,5
