@relation segment

@attribute Region-centroid-row numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Exgreen-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
147,-4,12.666667,-8.666667,0.643678,1
65,-2.111111,17.88889,-15.777778,0.419418,1
111,3,4.666666,-7.666666,0.60119,1
69,-7,24.666666,-17.666666,0.431547,1
147,-1.444444,8.555555,-7.111111,0.698445,1
126,3.555556,4.555555,-8.111111,0.551587,1
123,5.222222,2.555556,-7.777778,0.573413,1
114,4.777778,7.777778,-12.555555,0.408644,1
100,-1.333333,18.666666,-17.333334,0.421994,1
130,5.444445,1.777778,-7.222222,0.501014,1
143,4.555555,2.555556,-7.111111,0.595238,1
118,4.777778,2.777778,-7.555555,0.537698,1
41,-5.111111,21.88889,-16.777779,0.432047,1
92,-2,19.666666,-17.666666,0.414356,1
111,3.555556,3.888889,-7.444445,0.566138,1
62,-1.888889,18.11111,-16.222221,0.419469,1
114,2,5.666666,-7.666666,0.603175,1
138,4.666666,2.666667,-7.333334,0.56746,1
124,4,3.666667,-7.666666,0.542108,1
117,4,3.333333,-7.333334,0.510362,1
123,2.777778,4.444445,-7.222222,0.475,1
62,-10.777778,30.88889,-20.11111,0.450305,1
137,5.777778,1.777778,-7.555555,0.573633,1
120,-4.666666,20.333334,-15.666667,0.394863,1
59,-8.222222,27.777779,-19.555555,0.459427,1
121,4.777778,3.111111,-7.888889,0.528219,1
112,3.555556,3.888889,-7.444445,0.544092,1
124,4.666666,2.666667,-7.333334,0.608466,1
143,5.666666,2.333333,-8,0.60119,1
141,4.777778,2.444444,-7.222222,0.574074,1
98,2.555556,9.888889,-12.444445,0.356724,1
84,-0.888889,18.444445,-17.555555,0.398791,1
60,-6.222222,25.444445,-19.222221,0.4223,1
133,5,3.333333,-8.333333,0.53858,1
108,-2.777778,18.88889,-16.11111,0.412134,1
109,5.888889,8.222222,-14.111111,0.384997,1
135,4.777778,2.777778,-7.555555,0.599427,1
138,4.777778,2.444444,-7.222222,0.543871,1
120,5.444445,2.444444,-7.888889,0.569444,1
123,3.888889,3.222222,-7.111111,0.531746,1
118,-2.666667,18.666666,-16,0.416884,1
101,0.777778,14.777778,-15.555555,0.404038,1
101,1.888889,13.555555,-15.444445,0.410267,1
130,4.444445,3.111111,-7.555555,0.570106,1
143,4.111111,2.777778,-6.888889,0.556437,1
125,3.444444,4.444445,-7.888889,0.545635,1
74,-0.444444,17.222221,-16.777779,0.419204,1
88,-2.444444,18.88889,-16.444445,0.413308,1
108,5.666666,8.333333,-14,0.378839,1
116,3.444444,4.111111,-7.555555,0.575397,1
71,-1.666667,18.666666,-17,0.416299,1
98,0.333333,15,-15.333333,0.389147,1
56,-4.888889,22.444445,-17.555555,0.440708,1
75,-2.555556,20.444445,-17.88889,0.40212,1
128,5.888889,1.555556,-7.444445,0.563713,1
142,6.333334,0.666667,-7,0.662037,1
111,0.888889,5.222222,-6.111111,0.715608,1
117,3,4.666666,-7.666666,0.553571,1
146,1.666667,5,-6.666666,0.571429,1
110,2.888889,10.555555,-13.444445,0.368848,1
61,-3.222222,20.777779,-17.555555,0.415751,1
87,2.666667,11,-13.666667,0.391731,1
107,3.444444,10.444445,-13.888889,0.395253,1
139,4.333334,3.333333,-7.666666,0.532628,1
123,5.666666,2,-7.666666,0.555776,1
104,-2.666667,19.666666,-17,0.430399,1
108,4,10.333333,-14.333333,0.388756,1
64,-4.222222,23.444445,-19.222221,0.446354,1
138,5.444445,1.444444,-6.888889,0.603836,1
102,1.888889,11.888889,-13.777778,0.390329,1
88,-5.444445,20.222221,-14.777778,0.424904,1
118,3.666667,3.666667,-7.333334,0.617063,1
118,3.333333,5,-8.333333,0.56433,1
102,-2.888889,20.11111,-17.222221,0.417763,1
116,3.444444,4.111111,-7.555555,0.580026,1
89,-2,18.333334,-16.333334,0.403687,1
40,-4.555555,18.444445,-13.888889,0.46306,1
100,0.777778,14.777778,-15.555555,0.394331,1
101,-2.666667,20.333334,-17.666666,0.432819,1
84,-0.888889,18.444445,-17.555555,0.398791,1
122,5.111111,2.444444,-7.555555,0.520062,1
70,-4.777778,23.88889,-19.11111,0.421281,1
67,-1.333333,17.666666,-16.333334,0.436939,1
123,4.444445,3.777778,-8.222222,0.524471,1
134,5.333334,2.333333,-7.666666,0.577601,1
140,4.666666,3,-7.666666,0.537017,1
