@relation segment

@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Saturatoin-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
31.11111,23,0.43507,1
36.88889,29.11111,0.445652,1
6.444445,1.777778,0.573633,1
7.444445,4.666666,0.56746,1
6.555555,2.666667,0.597443,1
6.888889,3.222222,0.531746,1
25.222221,19.444445,0.457681,1
34.444447,24.11111,0.413217,1
31.555555,21.222221,0.415737,1
22.88889,12,0.394656,1
6.555555,3.777778,0.564153,1
27.555555,17.555555,0.407364,1
6.222222,2.777778,0.556437,1
30.444445,20.333334,0.394863,1
6.666666,3.333333,0.561508,1
30.444445,19.666666,0.405022,1
24.11111,12.666667,0.381277,1
8.111112,5.666666,0.559171,1
21.88889,11.777778,0.399751,1
7.333334,3.888889,0.563492,1
6.222222,3.666667,0.617063,1
6.444445,2.222222,0.565476,1
6.222222,1.444444,0.529982,1
28.777779,20.88889,0.445142,1
6.333334,2.777778,0.564153,1
29.333334,19.777779,0.423501,1
21.444445,10.555555,0.368848,1
6.222222,2.444444,0.574074,1
23.666666,16.777779,0.435021,1
5.444445,1.333333,0.613757,1
24.11111,15.111111,0.421504,1
7,4.666666,0.60119,1
22.11111,12,0.38846,1
5.666666,1.666667,0.595899,1
5.888889,2.555556,0.595238,1
6.777778,4,0.601852,1
30.222221,19.222221,0.405541,1
28.444445,20.555555,0.440354,1
7.222222,3.333333,0.532628,1
25.444445,16.777779,0.422689,1
7.222222,3.333333,0.532628,1
29.777779,20.11111,0.417763,1
7.777778,4.888889,0.563492,1
24.777779,16.333334,0.419248,1
27.444445,17.666666,0.404138,1
24.666666,14.444445,0.394964,1
5.777778,2.222222,0.574735,1
21,11,0.391731,1
27.333334,16.333334,0.406451,1
7.333334,3,0.537017,1
5.555555,5.222222,0.715608,1
7.777778,3.333333,0.53858,1
28.88889,19.222221,0.426923,1
8.777778,9.777778,0.588163,1
7.888889,4.333334,0.558201,1
19.11111,8.888889,0.398903,1
8.111112,5,0.56433,1
5.444445,1.444444,0.603836,1
8.222222,5.222222,0.559171,1
6.555555,3.777778,0.564153,1
7.444445,3.666667,0.542108,1
5.222222,1.888889,0.630159,1
22.222221,10.777778,0.374312,1
24.222221,15.777778,0.419522,1
6.444445,2.333333,0.60119,1
34.444447,26.333334,0.44486,1
6.666666,2.555556,0.573413,1
5.444445,2.777778,0.674074,1
23.222221,13.444445,0.399927,1
27.222221,18.11111,0.419469,1
32.22222,22.11111,0.420598,1
23.88889,14.777778,0.402507,1
7.111111,3.111111,0.529982,1
6.666666,3.333333,0.581349,1
25.444445,15.555555,0.396589,1
27.88889,16.88889,0.414836,1
7,4,0.59127,1
5.444445,1.222222,0.593915,1
7.555555,2.666667,0.530556,1
7.111111,3.666667,0.545855,1
29.88889,20.555555,0.423346,1
7.222222,3.888889,0.544092,1
6.111111,2.333333,0.592813,1
6,2.444444,0.566138,1
26.222221,15.333333,0.388363,1
28.555555,18.666666,0.416299,1
7.444445,3.666667,0.537919,1
23.555555,13.555555,0.410267,1
25.666666,18.222221,0.442861,1
20.777779,9.888889,0.356724,1
7.555555,5.333334,0.543651,1
7.111111,3.666667,0.545855,1
26.11111,16.88889,0.412662,1
21,9.666667,0.376024,1
28.777779,18.88889,0.420716,1
35.88889,26.222221,0.429308,1
5,2.777778,0.655556,1
30.666666,20.777779,0.415751,1
25.88889,17.666666,0.436939,1
24.88889,14.888889,0.391701,1
8,3.555556,0.526235,1
35.22222,25.444445,0.4223,1
34.77778,26.444445,0.429663,1
29.88889,21.777779,0.438246,1
19.444445,8.222222,0.399311,1
25.444445,15.555555,0.396589,1
30,18.444445,0.398791,1
6.888889,2.888889,0.581349,1
